Area,Eutrophication Potential,Acidification Potential,Particulate Matter Formation Potential,Photochemical Smog Formation Potential,Global Warming Potential,Ozone Depletion Potential,Water Consumption
"Alcoa Power Generating, Inc. - Yadkin Division",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona Public Service Company,0.103,1.79,0.112,49.6,834,1.1E-05,2607
"Arlington Valley, LLC - AVBA",0.065,0.91,0.025,32.0,628,7.3E-07,1157
"Associated Electric Cooperative, Inc.",0.112,2.80,0.174,49.5,796,1.6E-05,9878
Avista Corporation,0.023,0.34,0.023,9.3,235,9.6E-06,1146
Balancing Authority of Northern California,0.050,0.73,0.019,24.3,452,4.1E-07,138
Bonneville Power Administration,0.022,0.29,0.019,7.5,129,2.8E-06,1094
California Independent System Operator,0.058,0.80,0.036,32.1,396,1.9E-06,333
"City of Tacoma, Department of Public Utilities, Light Division",0.012,0.52,0.028,5.2,235,8.8E-07,343
Duke Energy Carolinas,0.041,0.60,0.050,13.1,371,4.9E-06,617
"Duke Energy Florida, Inc.",0.081,1.36,0.119,33.8,766,6.6E-06,1804
Duke Energy Progress East,0.051,0.85,0.080,17.9,438,7.8E-06,1122
El Paso Electric Company,0.096,1.43,0.068,44.2,764,5.7E-06,2487
"Electric Energy, Inc.",0.105,3.76,0.262,39.1,"1,147",3.1E-05,15550
"Electric Reliability Council of Texas, Inc.",0.095,1.82,0.131,41.7,663,7.6E-06,3328
Florida Municipal Power Pool,0.068,1.18,0.126,28.8,740,7.7E-06,-2196
Florida Power & Light Co.,0.066,0.94,0.049,28.0,479,1.3E-06,-11365
Gainesville Regional Utilities,0.087,1.29,0.086,37.3,816,7.4E-06,-2089
"Gila River Power, LLC",0.113,1.65,0.052,57.5,611,8.0E-07,254
"Griffith Energy, LLC",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Homestead, City of",1.362,19.45,0.361,676.5,"1,534",1.3E-05,3984
Idaho Power Company,0.026,0.28,0.015,8.9,119,7.5E-07,352
Imperial Irrigation District,0.020,0.36,0.011,9.3,330,2.3E-07,376
ISO-NE,0.051,0.67,0.033,18.6,400,6.7E-06,270
JEA,0.086,1.72,0.138,38.1,855,9.5E-06,-3900
LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,0.061,1.37,0.277,24.8,985,1.2E-05,2742
Los Angeles Department of Water and Power,0.059,0.92,0.067,26.1,583,8.0E-06,1398
"Midcontinent Independent System Operator, Inc.",0.085,1.89,0.150,35.4,753,1.6E-05,5855
"NaturEner Power Watch, LLC (GWA)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"NaturEner Wind Watch, LLC",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nevada Power Company,0.063,0.96,0.055,42.7,553,2.1E-06,811
"New Harquahala Generating Company, LLC - HGBA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New York Independent System Operator,0.050,0.70,0.034,18.5,323,9.8E-07,565
NorthWestern Corporation,0.056,1.41,0.135,22.4,758,1.7E-05,16282
Ohio Valley Electric Corporation,0.091,2.30,0.269,42.1,"1,254",2.5E-05,1195
PacifiCorp East,0.073,1.61,0.106,33.0,866,1.8E-05,5368
PacifiCorp West,0.030,0.36,0.014,11.1,225,2.1E-06,347
"PJM Interconnection, LLC",0.055,1.13,0.115,19.2,572,7.3E-06,1328
Portland General Electric Company,0.042,0.58,0.052,19.4,273,1.4E-06,709
PowerSouth Energy Cooperative,0.092,1.47,0.126,41.5,777,7.3E-06,1091
Public Service Company of Colorado,0.067,1.02,0.144,23.5,654,1.0E-05,-8220
Public Service Company of New Mexico,0.077,1.27,0.068,35.5,920,1.8E-05,1791
Public Utility District No. 1 of Chelan County,0.006,0.07,0.003,2.2,38,1.5E-07,55
"Public Utility District No. 2 of Grant County, Washington",0.000,0.00,0.000,0.0,4,0.0E+00,0
PUD No. 1 of Douglas County,0.000,0.00,0.000,0.0,1,0.0E+00,0
"Puget Sound Energy, Inc.",0.060,0.69,0.026,20.6,337,1.4E-06,509
Salt River Project Agricultural Improvement and Power District,0.055,0.83,0.076,22.4,497,6.8E-06,1991
Seattle City Light,0.007,0.10,0.005,2.9,35,7.0E-07,274
Seminole Electric Cooperative,0.059,1.33,0.225,22.7,910,1.3E-05,1088
South Carolina Electric & Gas Company,0.052,0.89,0.064,18.9,553,6.2E-06,594
South Carolina Public Service Authority,0.065,1.13,0.138,23.1,912,1.6E-05,2076
Southeastern Power Administration,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Southern Company Services, Inc. - Trans",0.070,1.12,0.103,27.9,635,6.9E-06,3126
Southwest Power Pool,0.073,1.61,0.129,26.7,707,1.5E-05,7872
Southwestern Power Administration,0.027,1.02,0.114,8.2,302,6.7E-06,4368
"Tallahassee, City of",0.074,1.00,0.065,30.4,612,2.6E-06,1463
Tampa Electric Company,0.080,1.54,0.141,33.5,797,7.1E-06,466
Tennessee Valley Authority,0.048,1.09,0.153,17.7,528,7.9E-06,1715
Tucson Electric Power,0.068,1.47,0.160,28.3,892,2.1E-05,6001
Turlock Irrigation District,0.055,0.75,0.040,27.5,471,1.3E-06,276
Western Area Power Administration - Desert Southwest Region,0.046,0.78,0.043,22.2,428,5.9E-06,1600
Western Area Power Administration - Rocky Mountain Region,0.061,1.30,0.081,26.6,991,1.6E-05,10618
Western Area Power Administration - Upper Great Plains West,0.014,0.31,0.029,4.9,181,3.7E-06,3502
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
