Area,EP,AP,Particulate Matter Formation Potential,SFP,GWP,ODP,Water Consumption
"Alcoa Power Generating, Inc. - Yadkin Division",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona Public Service Company,0.102719688,1.791784915,0.111800963,49.61019233,8.34E+02,1.1162E-05,2606.603655
"Arlington Valley, LLC - AVBA",0.065093848,0.908884578,0.024748729,32.00431996,6.28E+02,7.25972E-07,1157.120147
"Associated Electric Cooperative, Inc.",0.112429254,2.802167619,0.17391654,49.48026499,7.96E+02,1.63794E-05,9878.281827
Avista Corporation,0.022873934,0.336281359,0.022576846,9.343029907,2.35E+02,9.58447E-06,1145.65014
Balancing Authority of Northern California,0.049704036,0.72620766,0.019388817,24.28867429,4.52E+02,4.08951E-07,138.0691759
Bonneville Power Administration,0.021981045,0.293656026,0.019418369,7,1.29E+02,2.79552E-06,1094.10846
California Independent System Operator,0.058201097,0.799421958,0.036319378,32.07972332,3.96E+02,1.89686E-06,333.1412174
"City of Tacoma, Department of Public Utilities, Light Division",0.011924501,0.520424453,0.028243936,5.165466417,2.35E+02,8.76512E-07,343.0719926
Duke Energy Carolinas,0.041366346,0.603583418,0.049643406,13.13330177,370.607106,4.93317E-06,617.2223458
"Duke Energy Florida, Inc.",0.080756308,1.362901118,0.119019421,33.8073153,7.66E+02,6.62597E-06,1803.829541
Duke Energy Progress East,0.050596729,0.847117479,0.079936145,17.85293958,4.38E+02,7.81561E-06,1122.15104
El Paso Electric Company,0.09646446,1.432137117,0.068457322,44.24392175,7.64E+02,5.67377E-06,2487.456947
"Electric Energy, Inc.",0.104894414,3.760844047,0.261555744,39.10124881,1.15E+03,3.09187E-05,15549.78218
"Electric Reliability Council of Texas, Inc.",0.095050825,1.823001552,0.131460018,41.70097453,662.6615476,7.64114E-06,3328.220423
Florida Municipal Power Pool,0.068013534,1.182644189,0.12574163,28.7850047,739.855371,7.74954E-06,-2196.314737
Florida Power & Light Co.,0.066258996,0.940653311,0.049129026,27.95393616,4.79E+02,1.302E-06,-11365.09
Gainesville Regional Utilities,0.086793244,1.285854312,0.086204247,37.25301412,8.16E+02,7.40932E-06,-2088.735087
"Gila River Power, LLC",0.112692934,1.646245392,0.052114363,57.52893837,6.11E+02,8.02783E-07,253.8229309
"Griffith Energy, LLC",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Homestead, City of",1.361529519,19.45092024,0.361090824,676.4634,1.53E+03,1.25503E-05,3983.897614
Idaho Power Company,0.026268041,0.282116316,0.015082657,8.901167159,1.19E+02,7.48606E-07,351.910298
Imperial Irrigation District,0.01995813,0.355247501,0.010930894,9.258244414,3.30E+02,2.29166E-07,376.0949092
ISO-NE,0.051314008,0.672226567,0.032972007,18.58576582,4.00E+02,6.68579E-06,269.8785883
JEA,0.086237425,1.722379973,0.138054195,38.0510272,8.55E+02,9.48783E-06,-3900.222927
LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,0.060636535,1.371935939,0.27728281,24.78224909,984.5638401,1.17481E-05,2741.910894
Los Angeles Department of Water and Power,0.058897622,0.920076369,0.067476245,26.08579398,5.83E+02,7.99252E-06,1398.433304
"Midcontinent Independent System Operator, Inc.",0.085278931,1.891058173,0.150193674,35.41845485,7.53E+02,1.56307E-05,5854.7822
"NaturEner Power Watch, LLC (GWA)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"NaturEner Wind Watch, LLC",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nevada Power Company,0.062976606,0.961699684,0.054800048,42.65581692,5.53E+02,2.0866E-06,810.6265914
"New Harquahala Generating Company, LLC - HGBA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New York Independent System Operator,0.050127846,0.695827585,0.033736097,18.52026301,323.1892791,9.81658E-07,564.6327594
NorthWestern Corporation,0.056239596,1.409226274,0.135257395,22.36337361,757.9519111,1.73478E-05,16281.99708
Ohio Valley Electric Corporation,0.09071781,2.298875343,0.269176299,42.09898198,1254.163115,2.49496E-05,1195.327249
PacifiCorp East,0.072836729,1.611382811,0.10597374,32.98602525,866.2127226,1.83554E-05,5368.092881
PacifiCorp West,0.02968628,0.358974041,0.013840693,11.05698482,224.5897538,2.06051E-06,347.0686683
"PJM Interconnection, LLC",0.054651622,1.131903691,0.114917091,19.20699179,572.3470254,7.28316E-06,1327.568331
Portland General Electric Company,0.041709445,0.58435667,0.051757507,19.36104537,273.2583111,1.35758E-06,709.0471752
PowerSouth Energy Cooperative,0.092341482,1.467586232,0.126437402,41.47622494,776.5999197,7.29952E-06,1090.824887
Public Service Company of Colorado,0.06721387,1.023483666,0.143669908,23.47366795,653.7594784,1.01908E-05,-8220.354606
Public Service Company of New Mexico,0.076626616,1.269562697,0.067522597,35.50418197,919.8896244,1.77626E-05,1791.137891
Public Utility District No. 1 of Chelan County,0.006484329,0.074338043,0.002793531,2.236694306,38.38583184,1.4727E-07,55.10927115
"Public Utility District No. 2 of Grant County, Washington",2.58286E-23,9.9139E-22,3.985E-23,2.35677E-05,3.845486585,0,0
PUD No. 1 of Douglas County,1.0665E-23,4.09359E-22,1.64546E-23,4.38132E-06,0.725753945,0,0
"Puget Sound Energy, Inc.",0.059762693,0.685182467,0.025752893,20.61457641,337.3335965,1.35822E-06,508.8049805
Salt River Project Agricultural Improvement and Power District,0.054774588,0.834155406,0.075674098,22.37648965,496.7587828,6.84426E-06,1991.267454
Seattle City Light,0.007335619,0.102070611,0.005306816,2.882192093,35.12271573,7.00002E-07,273.9202554
Seminole Electric Cooperative,0.058530771,1.331373213,0.225318836,22.65051122,909.8598127,1.33785E-05,1087.910121
South Carolina Electric & Gas Company,0.051862621,0.88564506,0.064482587,18.85679407,553.2862145,6.2345E-06,594.0484519
South Carolina Public Service Authority,0.064574771,1.130191845,0.137655818,23.12523518,912.4953648,1.64217E-05,2076.404515
Southeastern Power Administration,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Southern Company Services, Inc. - Trans",0.069809739,1.121414299,0.103081852,27.94586554,634.8085838,6.898E-06,3125.973222
Southwest Power Pool,0.072684627,1.614555206,0.128527542,26.68641671,707.1386264,1.49518E-05,7872.017959
Southwestern Power Administration,0.027092241,1.016586569,0.114280271,8.162298291,302.1200289,6.65802E-06,4367.530951
"Tallahassee, City of",0.074487871,0.996196261,0.06491816,30.44907101,611.6202328,2.61219E-06,1463.106446
Tampa Electric Company,0.079740216,1.543665293,0.141063086,33.45881232,796.5616679,7.11674E-06,466.4570322
Tennessee Valley Authority,0.048030894,1.088238017,0.15257394,17.67360371,528.0868055,7.85672E-06,1714.780304
Tucson Electric Power,0.068147475,1.467336584,0.160122726,28.32627442,892.1231084,2.09973E-05,6000.812202
Turlock Irrigation District,0.054645594,0.750893283,0.040100969,27.5423113,471.1874279,1.28029E-06,276.4110197
Western Area Power Administration - Desert Southwest Region,0.046458344,0.780556403,0.04321563,22.20269874,427.6700721,5.88E-06,1599.611698
Western Area Power Administration - Rocky Mountain Region,0.060982879,1.296534446,0.080806252,26.59930099,991.3300532,1.58574E-05,10617.81132
Western Area Power Administration - Upper Great Plains West,0.014175126,0.307059131,0.029425671,4.853116418,181.2072944,3.73214E-06,3502.033602
