balancing_authority,FERC_region
"Alcoa Power Generating, Inc. - Yadkin Division",Southeast
Arizona Public Service Company,Southwest
"Arlington Valley, LLC - AVBA",Southwest
"Associated Electric Cooperative, Inc.",MISO
Avista Corporation,Northwest
Balancing Authority of Northern California,CAISO
Bonneville Power Administration,Northwest
California Independent System Operator,CAISO
"City of Tacoma, Department of Public Utilities, Light Division",Northwest
Duke Energy Carolinas,Southeast
"Duke Energy Florida Inc",Southeast
Duke Energy Progress East,Southeast
Duke Energy Progress West,Southeast
El Paso Electric Company,Southwest
"Electric Energy, Inc.",MISO
"Electric Reliability Council of Texas, Inc.",ERCOT
Florida Municipal Power Pool,Southeast
Florida Power & Light Company,Southeast
Gainesville Regional Utilities,Southeast
"Gila River Power, LLC",Southwest
"Gridforce Energy Management, LLC",Northwest
Gridforce South,Southwest
"Griffith Energy, LLC",Southwest
"City of Homestead",Southeast
Idaho Power Company,Northwest
Imperial Irrigation District,CAISO
"ISO New England Inc.",ISO-NE
JEA,Southeast
Louisville Gas and Electric Company and Kentucky Utilities Company,MISO
Los Angeles Department of Water and Power,CAISO
"Midcontinent Independent Transmission System Operator, Inc.",MISO
"NaturEner Power Watch, LLC (GWA)",Northwest
"NaturEner Wind Watch, LLC",Northwest
Nevada Power Company,Northwest
"New Harquahala Generating Company, LLC - HGBA",Southwest
"New Smyrna Beach, Utilities Commission of",Southeast
New York Independent System Operator,NYISO
NorthWestern Energy (NWMT),Northwest
Ohio Valley Electric Corporation,PJM
PacifiCorp - East,Northwest
PacifiCorp - West,Northwest
"PJM Interconnection, LLC",PJM
Portland General Electric Company,Northwest
PowerSouth Energy Cooperative,Southeast
Public Service Company of Colorado,Northwest
Public Service Company of New Mexico,Southwest
Public Utility District No. 1 of Chelan County,Northwest
"Public Utility District No. 2 of Grant County, Washington",Northwest
PUD No. 1 of Douglas County,Northwest
Puget Sound Energy,Northwest
Salt River Project,Southwest
Seattle City Light,Northwest
Seminole Electric Cooperative,Southeast
South Carolina Electric & Gas Company,Southeast
South Carolina Public Service Authority,Southeast
Southeastern Power Administration,Southeast
"Southern Company Services, Inc. - Trans",Southeast
Southwest Power Pool,SPP
Southwestern Power Administration,SPP
City of Tallahassee,Southeast
Tampa Electric Company,Southeast
Tennessee Valley Authority,Southeast
Tucson Electric Power Company,Southwest
Turlock Irrigation District,CAISO
Western Area Power Administration - Desert Southwest Region,Southwest
Western Area Power Administration - Rocky Mountain Region,Northwest
Western Area Power Administration UGP West,Northwest
Western Area Power Administration - Upper Great Plains West,Northwest
Anchorage Municipal Light & Power,Alaska
Chugach Electric Assn Inc,Alaska
Hawaiian Electric Co Inc,Hawaii
New Brunswick System Operator,ISO-NE
