zip code,FERC Region
1001,ISO-NE
1002,ISO-NE
1003,ISO-NE
1005,ISO-NE
1007,ISO-NE
1008,ISO-NE
1009,ISO-NE
1010,ISO-NE
1011,ISO-NE
1012,ISO-NE
1013,ISO-NE
1020,ISO-NE
1022,ISO-NE
1026,ISO-NE
1027,ISO-NE
1028,ISO-NE
1029,ISO-NE
1030,ISO-NE
1031,ISO-NE
1032,ISO-NE
1033,ISO-NE
1034,ISO-NE
1035,ISO-NE
1036,ISO-NE
1037,ISO-NE
1038,ISO-NE
1039,ISO-NE
1040,ISO-NE
1050,ISO-NE
1053,ISO-NE
1054,ISO-NE
1056,ISO-NE
1057,ISO-NE
1060,ISO-NE
1062,ISO-NE
1063,ISO-NE
1066,ISO-NE
1068,ISO-NE
1069,ISO-NE
1070,ISO-NE
1071,ISO-NE
1072,ISO-NE
1073,ISO-NE
1074,ISO-NE
1075,ISO-NE
1077,ISO-NE
1079,ISO-NE
1080,ISO-NE
1081,ISO-NE
1082,ISO-NE
1083,ISO-NE
1084,ISO-NE
1085,ISO-NE
1086,ISO-NE
1088,ISO-NE
1089,ISO-NE
1092,ISO-NE
1093,ISO-NE
1094,ISO-NE
1095,ISO-NE
1096,ISO-NE
1097,ISO-NE
1098,ISO-NE
1103,ISO-NE
1104,ISO-NE
1105,ISO-NE
1106,ISO-NE
1107,ISO-NE
1108,ISO-NE
1109,ISO-NE
1118,ISO-NE
1119,ISO-NE
1128,ISO-NE
1129,ISO-NE
1151,ISO-NE
1199,ISO-NE
1201,ISO-NE
1201,NYISO
1220,ISO-NE
1222,ISO-NE
1223,ISO-NE
1224,ISO-NE
1225,ISO-NE
1226,ISO-NE
1229,ISO-NE
1230,ISO-NE
1230,NYISO
1235,ISO-NE
1236,ISO-NE
1237,ISO-NE
1237,NYISO
1238,ISO-NE
1240,ISO-NE
1242,ISO-NE
1243,ISO-NE
1244,ISO-NE
1245,ISO-NE
1247,ISO-NE
1253,ISO-NE
1254,ISO-NE
1254,NYISO
1255,ISO-NE
1256,ISO-NE
1257,ISO-NE
1258,ISO-NE
1258,NYISO
1259,ISO-NE
1260,ISO-NE
1262,ISO-NE
1264,ISO-NE
1266,ISO-NE
1266,NYISO
1267,ISO-NE
1267,NYISO
1270,ISO-NE
1301,ISO-NE
1330,ISO-NE
1331,ISO-NE
1337,ISO-NE
1338,ISO-NE
1339,ISO-NE
1340,ISO-NE
1341,ISO-NE
1342,ISO-NE
1343,ISO-NE
1344,ISO-NE
1346,ISO-NE
1347,ISO-NE
1349,ISO-NE
1350,ISO-NE
1351,ISO-NE
1354,ISO-NE
1355,ISO-NE
1360,ISO-NE
1364,ISO-NE
1366,ISO-NE
1367,ISO-NE
1368,ISO-NE
1370,ISO-NE
1373,ISO-NE
1375,ISO-NE
1376,ISO-NE
1378,ISO-NE
1379,ISO-NE
1420,ISO-NE
1430,ISO-NE
1431,ISO-NE
1432,ISO-NE
1434,ISO-NE
1436,ISO-NE
1438,ISO-NE
1440,ISO-NE
1450,ISO-NE
1451,ISO-NE
1452,ISO-NE
1453,ISO-NE
1460,ISO-NE
1462,ISO-NE
1463,ISO-NE
1464,ISO-NE
1467,ISO-NE
1468,ISO-NE
1469,ISO-NE
1473,ISO-NE
1474,ISO-NE
1475,ISO-NE
1501,ISO-NE
1503,ISO-NE
1504,ISO-NE
1505,ISO-NE
1506,ISO-NE
1507,ISO-NE
1510,ISO-NE
1515,ISO-NE
1516,ISO-NE
1518,ISO-NE
1519,ISO-NE
1520,ISO-NE
1521,ISO-NE
1522,ISO-NE
1523,ISO-NE
1524,ISO-NE
1525,ISO-NE
1527,ISO-NE
1529,ISO-NE
1531,ISO-NE
1532,ISO-NE
1534,ISO-NE
1535,ISO-NE
1536,ISO-NE
1537,ISO-NE
1540,ISO-NE
1541,ISO-NE
1542,ISO-NE
1543,ISO-NE
1545,ISO-NE
1550,ISO-NE
1560,ISO-NE
1561,ISO-NE
1562,ISO-NE
1564,ISO-NE
1566,ISO-NE
1568,ISO-NE
1569,ISO-NE
1570,ISO-NE
1571,ISO-NE
1581,ISO-NE
1583,ISO-NE
1585,ISO-NE
1588,ISO-NE
1590,ISO-NE
1602,ISO-NE
1603,ISO-NE
1604,ISO-NE
1605,ISO-NE
1606,ISO-NE
1607,ISO-NE
1608,ISO-NE
1609,ISO-NE
1610,ISO-NE
1611,ISO-NE
1612,ISO-NE
1701,ISO-NE
1702,ISO-NE
1718,ISO-NE
1719,ISO-NE
1720,ISO-NE
1721,ISO-NE
1730,ISO-NE
1731,ISO-NE
1740,ISO-NE
1741,ISO-NE
1742,ISO-NE
1745,ISO-NE
1746,ISO-NE
1747,ISO-NE
1748,ISO-NE
1749,ISO-NE
1752,ISO-NE
1754,ISO-NE
1756,ISO-NE
1757,ISO-NE
1760,ISO-NE
1770,ISO-NE
1772,ISO-NE
1773,ISO-NE
1775,ISO-NE
1776,ISO-NE
1778,ISO-NE
1801,ISO-NE
1803,ISO-NE
1810,ISO-NE
1821,ISO-NE
1824,ISO-NE
1826,ISO-NE
1827,ISO-NE
1830,ISO-NE
1832,ISO-NE
1833,ISO-NE
1834,ISO-NE
1835,ISO-NE
1840,ISO-NE
1841,ISO-NE
1843,ISO-NE
1844,ISO-NE
1845,ISO-NE
1850,ISO-NE
1851,ISO-NE
1852,ISO-NE
1854,ISO-NE
1860,ISO-NE
1862,ISO-NE
1863,ISO-NE
1864,ISO-NE
1867,ISO-NE
1876,ISO-NE
1879,ISO-NE
1880,ISO-NE
1886,ISO-NE
1887,ISO-NE
1890,ISO-NE
1901,ISO-NE
1902,ISO-NE
1904,ISO-NE
1905,ISO-NE
1906,ISO-NE
1907,ISO-NE
1908,ISO-NE
1913,ISO-NE
1915,ISO-NE
1921,ISO-NE
1922,ISO-NE
1923,ISO-NE
1929,ISO-NE
1930,ISO-NE
1937,ISO-NE
1938,ISO-NE
1940,ISO-NE
1944,ISO-NE
1945,ISO-NE
1949,ISO-NE
1950,ISO-NE
1951,ISO-NE
1952,ISO-NE
1960,ISO-NE
1966,ISO-NE
1969,ISO-NE
1970,ISO-NE
1982,ISO-NE
1983,ISO-NE
1984,ISO-NE
1985,ISO-NE
2019,ISO-NE
2021,ISO-NE
2025,ISO-NE
2026,ISO-NE
2030,ISO-NE
2032,ISO-NE
2035,ISO-NE
2038,ISO-NE
2043,ISO-NE
2045,ISO-NE
2047,ISO-NE
2048,ISO-NE
2050,ISO-NE
2052,ISO-NE
2053,ISO-NE
2054,ISO-NE
2056,ISO-NE
2061,ISO-NE
2062,ISO-NE
2066,ISO-NE
2067,ISO-NE
2071,ISO-NE
2072,ISO-NE
2081,ISO-NE
2090,ISO-NE
2093,ISO-NE
2108,ISO-NE
2109,ISO-NE
2110,ISO-NE
2111,ISO-NE
2113,ISO-NE
2114,ISO-NE
2115,ISO-NE
2116,ISO-NE
2118,ISO-NE
2119,ISO-NE
2120,ISO-NE
2121,ISO-NE
2122,ISO-NE
2124,ISO-NE
2125,ISO-NE
2126,ISO-NE
2127,ISO-NE
2128,ISO-NE
2129,ISO-NE
2130,ISO-NE
2131,ISO-NE
2132,ISO-NE
2134,ISO-NE
2135,ISO-NE
2136,ISO-NE
2138,ISO-NE
2139,ISO-NE
2140,ISO-NE
2141,ISO-NE
2142,ISO-NE
2143,ISO-NE
2144,ISO-NE
2145,ISO-NE
2148,ISO-NE
2149,ISO-NE
2150,ISO-NE
2151,ISO-NE
2152,ISO-NE
2155,ISO-NE
2163,ISO-NE
