zip code,reeds ba
98001,p1
98002,p1
98003,p1
98004,p1
98005,p1
98006,p1
98007,p1
98008,p1
98009,p1
98010,p1
98011,p1
98012,p1
98013,p1
98014,p1
98015,p1
98019,p1
98020,p1
98021,p1
98022,p1
98023,p1
98024,p1
98025,p1
98026,p1
98027,p1
98028,p1
98029,p1
98030,p1
98031,p1
98032,p1
98033,p1
98034,p1
98035,p1
98036,p1
98037,p1
98038,p1
98039,p1
98040,p1
98041,p1
98042,p1
98043,p1
98045,p1
98046,p1
98047,p1
98050,p1
98051,p1
98052,p1
98053,p1
98055,p1
98056,p1
98057,p1
98058,p1
98059,p1
98061,p1
98062,p1
98063,p1
98064,p1
98065,p1
98068,p1
98070,p1
98071,p1
98072,p1
98073,p1
98074,p1
98075,p1
98077,p1
98082,p1
98083,p1
98087,p1
98089,p1
98092,p1
98093,p1
98101,p1
98102,p1
98103,p1
98104,p1
98105,p1
98106,p1
98107,p1
98108,p1
98109,p1
98110,p1
98111,p1
98112,p1
98113,p1
98114,p1
98115,p1
98116,p1
98117,p1
98118,p1
98119,p1
98121,p1
98122,p1
98124,p1
98125,p1
98126,p1
98127,p1
98129,p1
98131,p1
98133,p1
98134,p1
98136,p1
98138,p1
98139,p1
98141,p1
98144,p1
98145,p1
98146,p1
98148,p1
98154,p1
98155,p1
98158,p1
98160,p1
98161,p1
98164,p1
98165,p1
98166,p1
98168,p1
98170,p1
98174,p1
98175,p1
98177,p1
98178,p1
98181,p1
98185,p1
98188,p1
98190,p1
98191,p1
98194,p1
98195,p1
98198,p1
98199,p1
98201,p1
98203,p1
98204,p1
98206,p1
98207,p1
98208,p1
98213,p1
98220,p1
98221,p1
98222,p1
98223,p1
98224,p1
98225,p1
98226,p1
98227,p1
98228,p1
98229,p1
98230,p1
98231,p1
98232,p1
98233,p1
98235,p1
98236,p1
98237,p1
98238,p1
98239,p1
98240,p1
98241,p1
98243,p1
98244,p1
98245,p1
98247,p1
98248,p1
98249,p1
98250,p1
98251,p1
98252,p1
98253,p1
98255,p1
98256,p1
98257,p1
98258,p1
98259,p1
98260,p1
98261,p1
98262,p1
98263,p1
98264,p1
98266,p1
98267,p1
98270,p1
98271,p1
98272,p1
98273,p1
98274,p1
98275,p1
98276,p1
98277,p1
98278,p1
98279,p1
98280,p1
98281,p1
98282,p1
98283,p1
98284,p1
98286,p1
98287,p1
98288,p1
98290,p1
98291,p1
98292,p1
98293,p1
98294,p1
98295,p1
98296,p1
98297,p1
98303,p1
98304,p1
98310,p1
98311,p1
98312,p1
98314,p1
98315,p1
98321,p1
98322,p1
98323,p1
98327,p1
98328,p1
98329,p1
98330,p1
98332,p1
98333,p1
98335,p1
98337,p1
98338,p1
98340,p1
98342,p1
98344,p1
98345,p1
98346,p1
98348,p1
98349,p1
98351,p1
98352,p1
98353,p1
98354,p1
98359,p1
98360,p1
98364,p1
98366,p1
98367,p1
98370,p1
98371,p1
98372,p1
98373,p1
98374,p1
98375,p1
98378,p1
98380,p1
98383,p1
98384,p1
98385,p1
98386,p1
98387,p1
98388,p1
98390,p1
98391,p1
98392,p1
98393,p1
98394,p1
98395,p1
98396,p1
98397,p1
98398,p1
98401,p1
98402,p1
98403,p1
98404,p1
98405,p1
98406,p1
98407,p1
98408,p1
98409,p1
98411,p1
98412,p1
98413,p1
98415,p1
98416,p1
98417,p1
98418,p1
98419,p1
98421,p1
98422,p1
98424,p1
98430,p1
98431,p1
98433,p1
98438,p1
98439,p1
98443,p1
98444,p1
98445,p1
98446,p1
98447,p1
98448,p1
98464,p1
98465,p1
98466,p1
98467,p1
98471,p1
98481,p1
98490,p1
98493,p1
98496,p1
98497,p1
98498,p1
98499,p1
98501,p1
98502,p1
98503,p1
98504,p1
98505,p1
98506,p1
98507,p1
98508,p1
98509,p1
98511,p1
98512,p1
98513,p1
98516,p1
98530,p1
98540,p1
98556,p1
98558,p1
98576,p1
98579,p1
98580,p1
98589,p1
98597,p1
98599,p1
98801,p1
98807,p1
98811,p1
98815,p1
98816,p1
98817,p1
98821,p1
98822,p1
98826,p1
98828,p1
98831,p1
98836,p1
98847,p1
98852,p1
98922,p1
98925,p1
98926,p1
98934,p1
98940,p1
98941,p1
98943,p1
98946,p1
98950,p1
98305,p2
98320,p2
98324,p2
98325,p2
98326,p2
98331,p2
98336,p2
98339,p2
98343,p2
98350,p2
98355,p2
98356,p2
98357,p2
98358,p2
98361,p2
98362,p2
98363,p2
98365,p2
98368,p2
98376,p2
98377,p2
98381,p2
98382,p2
98520,p2
98522,p2
98524,p2
98526,p2
98527,p2
98528,p2
98531,p2
98532,p2
98533,p2
98535,p2
98536,p2
98537,p2
98538,p2
98539,p2
98541,p2
98542,p2
98544,p2
98546,p2
98547,p2
98548,p2
98550,p2
98552,p2
98554,p2
98555,p2
98557,p2
98559,p2
98560,p2
98561,p2
98562,p2
98563,p2
98564,p2
98565,p2
98566,p2
98568,p2
98569,p2
98570,p2
98571,p2
98572,p2
98575,p2
98577,p2
98581,p2
98582,p2
98583,p2
98584,p2
98585,p2
98586,p2
98587,p2
98588,p2
98590,p2
98591,p2
98592,p2
98593,p2
98595,p2
98596,p2
98601,p2
98602,p2
98603,p2
98604,p2
98605,p2
98606,p2
98607,p2
98609,p2
98610,p2
98611,p2
98612,p2
98613,p2
98614,p2
98616,p2
98617,p2
98619,p2
98620,p2
98621,p2
98622,p2
98623,p2
98624,p2
98625,p2
98626,p2
98628,p2
98629,p2
98631,p2
98632,p2
98635,p2
98637,p2
98638,p2
98639,p2
98640,p2
98641,p2
98642,p2
98643,p2
98644,p2
98645,p2
98647,p2
98648,p2
98649,p2
98650,p2
98651,p2
98660,p2
98661,p2
98662,p2
98663,p2
98664,p2
98665,p2
98666,p2
98668,p2
98670,p2
98671,p2
98672,p2
98673,p2
98674,p2
98675,p2
98682,p2
98683,p2
98684,p2
98685,p2
98686,p2
98687,p2
98901,p2
98902,p2
98903,p2
98904,p2
98907,p2
98908,p2
98909,p2
98920,p2
98921,p2
98923,p2
98930,p2
98932,p2
98933,p2
98935,p2
98936,p2
98937,p2
98938,p2
98939,p2
98942,p2
98944,p2
98947,p2
98948,p2
98951,p2
98952,p2
98953,p2
99320,p2
99322,p2
99323,p2
99324,p2
99328,p2
99329,p2
99336,p2
99337,p2
99338,p2
99345,p2
99346,p2
99347,p2
99348,p2
99350,p2
99352,p2
99353,p2
99354,p2
99356,p2
99359,p2
99360,p2
99361,p2
99362,p2
99363,p2
99401,p2
99402,p2
99403,p2
98812,p3
98814,p3
98819,p3
98827,p3
98829,p3
98833,p3
98834,p3
98840,p3
98841,p3
98844,p3
98846,p3
98849,p3
98855,p3
98856,p3
