Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
power plant construction - ngcc_const,5faf0d5f-993f-3906-bda9-b10eb58f5474,1,Item(s),12856.85063,38.02805784,36.36871847,0.002869992,780.5475059,11193.10809,43.79339347,0.357011898
"Electricity; at grid; generation mix - Homestead, City of",f39a68dd-fd0f-3072-93da-7b3cbe6e6cff,1,MJ,0.405704387,0.005177104,0.000383798,5.15E-09,0.179675295,0.365913776,0.001380025,2.01E-06
"Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington",b591cc47-d607-3875-97df-2b696348855b,1,MJ,0.001023123,2.65E-25,6.90E-27,0,6.29E-09,0.001010871,4.38E-07,1.56E-25
Electricity; at grid; generation mix - Gainesville Regional Utilities,d4031d82-ca6e-3548-b07c-2acd79f47a3f,1,MJ,0.237151989,0.000364071,2.41E-05,2.36E-09,0.01050168,0.228689869,0.000278146,2.37E-06
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,db982038-127d-3359-ac5b-f55f989ab875,1,MJ,0.258150528,0.00038086,1.86E-05,3.21E-09,0.006814407,0.24884229,0.000292281,4.06E-06
Electricity; at grid; generation mix - Florida Municipal Power Pool,df4f9548-b463-3033-9dc7-98fd2ddb11d7,1,MJ,0.195930424,0.000294936,1.70E-05,2.23E-09,0.007149894,0.186387623,0.000320112,2.07E-06
Electricity; at grid; consumption mix - Southeast - FERC,f6579b75-679d-38ed-b7b8-e5026887b008,1,MJ,0.153506734,0.000284298,1.65E-05,1.78E-09,0.006474493,0.146065932,0.000247715,1.72E-06
petroleum extraction and processing - RFO PADD 5,ae9b0228-e29a-3e91-91fa-3855285b663c,1,MJ,0.019845843,2.01E-05,1.19E-06,2.41E-11,0.000537459,0.016346978,0.000123049,1.84E-07
Electricity; at grid; consumption mix - PacifiCorp West - BA,afd157a1-c37c-3f33-bd41-227114c381f8,1,MJ,0.058495704,9.47E-05,7.90E-06,5.26E-10,0.002910122,0.054553883,0.000134281,6.44E-07
natural gas extraction and processing - South Oklahoma,02ff55dd-7b02-307d-a1cf-1d6e8ead399c,1,MJ,0.020535483,0.000172015,1.08E-05,0,0.006043622,0.014763596,0.000204938,1.27E-07
Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,cab7d877-234b-3e69-8b8e-240cb7196021,1,MJ,0.26439807,0.000350623,1.65E-05,4.26E-09,0.007213078,0.258231061,0.000181544,3.95E-06
Electricity; at user; consumption mix - South Carolina Electric & Gas Company - BA,d217ffa6-1cbb-3253-be12-143b6349cc53,1,MJ,0.152034455,0.000247485,1.45E-05,1.74E-09,0.005258185,0.145816685,0.000200299,2.10E-06
"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,1,MJ,0.210050054,0.000382373,2.26E-05,1.86E-09,0.009461119,0.20043638,0.000321697,2.17E-06
Electricity; at grid; generation mix - Western Area Power Administration - Desert Southwest Region,a09a80f0-84ca-3b65-81d9-984eb4fd5d14,1,MJ,0.057708113,0.000110467,7.02E-06,1.09E-09,0.002970353,0.054117173,0.000121387,6.66E-07
"Electricity; at grid; generation mix - Griffith Energy, LLC",efff7f7a-91cc-3714-ab36-77e9c7f4c761,1,MJ,0.160293761,0.000243409,1.66E-05,1.25E-10,0.008581506,0.13502671,0.000897173,4.95E-07
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",cd9c001f-0160-3ae9-82a5-81decd6beb4f,1,MJ,0.200217385,0.000364474,2.15E-05,1.78E-09,0.009018234,0.191053737,0.000306638,2.06E-06
Electricity; at user; consumption mix - ERCOT - FERC,b16ca0d0-3f5c-3a24-a398-3bda3ffe06bd,1,MJ,0.181106862,0.000512412,2.67E-05,2.13E-09,0.011747768,0.170534916,0.000360389,1.68E-06
petroleum extraction and processing - DFO PADD 1,28a4dbbe-c940-3d65-a006-cbacbda7d2fb,1,MJ,0.025159173,3.07E-05,1.80E-06,2.22E-11,0.000748302,0.020341275,0.000170168,1.77E-07
Electricity; at user; consumption mix - Nevada Power Company - BA,f80d17d0-8756-3933-9b8f-67f55495b5db,1,MJ,0.149720497,0.00026703,1.71E-05,5.49E-10,0.011882766,0.136697076,0.000457081,7.71E-07
