Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity; at grid; generation mix - Tennessee Valley Authority,1.0,MJ,ee71aa8d-c4d2-35b3-b515-f4f7052a3a8b,0.13887486712706434,0.00029456704883182403,1.303791269567243e-05,2.119715458446145e-09,0.004778404452825845,0.1329032843282786,0.00019485381195128145,1.7389934699664886e-06
petroleum extraction and processing - RFO PADD 1,1.0,MJ,8fe45891-8f21-3009-883c-7f3ccb47d248,0.023870673821298465,2.734755581027574e-05,1.6078892617553285e-06,2.042030747116537e-11,0.0006551267541328371,0.019138096198464648,0.00016742192769500947,1.5345218563943727e-07
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",1.0,MJ,b42ca74f-a649-32d5-9a9f-6a9846e7af51,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.1274602841817318e-09,0.011747768003185579,0.1705349156141438,0.00036038913849271217,1.6778511182891537e-06
natural gas extraction and processing - Fort Worth,1.0,MJ,3bb3995c-5f0f-356d-8811-ed38be5b5def,0.015668123453175288,9.29980269317159e-05,5.778304365707125e-06,0.0,0.00327651690807007,0.010160318483954182,0.00019551432781358036,1.2605203400771805e-07
Electricity; at grid; consumption mix - Idaho Power Company - BA,1.0,MJ,b62e0b13-f036-3b07-aa74-c36a6c505d1a,0.030763034044087825,7.408246011419638e-05,7.087202356144685e-06,1.89103154091762e-10,0.002331758888832232,0.02838991307734732,8.235953757264848e-05,1.9916984990531425e-07
petroleum extraction and processing - RFO PADD 2,1.0,MJ,dc23b370-e5cb-30b6-8245-d5801cc0f7d5,0.0148529233190526,1.1991890600658284e-05,7.14306491325047e-07,2.1155380661766178e-11,0.00032149679220389764,0.011404495392848915,0.00012199889411593996,1.0942115555562434e-07
Electricity; at user; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,1.0,MJ,c3557d8e-c91a-3e9c-bb90-47fe970a00ec,0.11682066826752584,0.0002177863858862341,1.288481710802622e-05,1.6316800182657017e-09,0.006196858517142057,0.10977383347060335,0.00023782314276752194,1.373100300374895e-06
"Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",1.0,MJ,ff87ed0b-db00-312a-bca8-2b9f2d3b3456,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,1.0,MJ,ba6c7a86-9e38-357a-a11b-6fd0945a2e5e,0.12460724231015946,0.00024894331354560756,1.7213359651297614e-05,3.176799291994885e-10,0.007397820313513343,0.11715748149436514,0.00025578662627150566,9.590803404300339e-07
petroleum extraction and processing - DFO PADD 2,1.0,MJ,bdad9c51-928c-3577-b823-2c81a667c4fb,0.018209382272673765,1.7991291206555043e-05,1.048236690233748e-06,2.0891216224977678e-11,0.00048440566992487445,0.014057213396692907,0.00014665022503213224,1.4689570949225e-07
Electricity; at grid; generation mix - Tampa Electric Company,1.0,MJ,e596ff4f-6050-3c0b-9689-e65620b395a3,0.2057766147758198,0.0004224188016202234,2.193813406459608e-05,1.7883524363413103e-09,0.0092112012373413,0.1955131115366561,0.0003425326389965073,2.41615292956116e-06
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,1.0,MJ,db0fc1d8-d8ca-3875-8058-f9b4b4d01ac5,0.10216810436859507,0.00016926026071182102,1.1750353310569536e-05,1.38619379303748e-09,0.003673086061995741,0.09727954117007352,0.00015993468251721034,1.267795370058877e-06
Electricity; at grid; consumption mix - ISO-NE - BA,1.0,MJ,bf2c7baa-45b5-30ae-b2a0-afe99ae2f9a5,0.10533484167272274,0.00017863126378159033,1.5020186994572404e-05,1.7960444038233881e-09,0.004923070339600559,0.1003062413072649,0.0001629700297691578,1.5652666787983568e-06
Electricity; at grid; consumption mix - Turlock Irrigation District - BA,1.0,MJ,d0481c35-49ba-3f00-9213-1b087ac9198e,0.12169460773109347,0.0001992555614908638,1.4699805730145294e-05,3.5547866817747075e-10,0.007329168393219057,0.11020757033911839,0.0004032106978382541,6.360242041205927e-07
natural gas extraction and processing - South Oklahoma,1.0,MJ,02ff55dd-7b02-307d-a1cf-1d6e8ead399c,0.020535483318146686,0.00017201548822429587,1.0767544793283435e-05,0.0,0.006043621607633475,0.014763596140891976,0.00020493804714723758,1.2687492719234086e-07
power plant construction - ngcc_const,1.0,Item(s),5faf0d5f-993f-3906-bda9-b10eb58f5474,12856.850631964895,38.02805784268156,36.36871846714888,0.002869992331264214,780.5475058589318,11193.108094478053,43.7933934662767,0.35701189752740825
Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,1.0,MJ,f03e070d-463f-3d2f-82aa-b5bffa1cabd8,0.2499610150591906,0.0003864018592445464,1.6660202988952778e-05,3.794344617724922e-09,0.006534266367820183,0.24043587669286748,0.00030659282975592885,3.4078876967870963e-06
Electricity; at grid; consumption mix - PowerSouth Energy Cooperative - BA,1.0,MJ,b11b441f-ee64-3f38-b52a-8ad61471cec0,0.20581441525453462,0.0004021861887605875,2.4791688901392244e-05,1.981804245509986e-09,0.011260199732560108,0.1957411038967901,0.0003416114137372629,1.790983942810674e-06
natural gas extraction and processing - Strawn,1.0,MJ,b1db8b2c-363a-3f62-914c-1f259066feb5,0.013959568762094993,8.610871117858436e-05,5.343382122388705e-06,0.0,0.003012592970322145,0.0096721648849864,0.00015192791924681853,1.2612127081880176e-07
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.",1.0,MJ,d6a2dbb1-9391-3306-b712-d7706e4eadb8,0.1726715066020895,0.000488545635878996,2.5498208291970618e-05,2.0283702531902257e-09,0.011200596004642524,0.16259196589189373,0.0003436034099093086,1.5997023883003573e-06
Electricity; at grid; consumption mix - SPP - FERC,1.0,MJ,f21316ee-5206-3cb6-80ac-9516cfd74abf,0.18530487514831928,0.00043071644242700176,1.9650733788241314e-05,3.965252944685864e-09,0.007107382885637373,0.17872249920874855,0.00021069864880656492,2.4214494840588694e-06
"nuclear fuel extraction, prococessing, and transport",1.0,MJ,98a4522b-da0c-3239-88db-74b15ba0288d,0.004919169934378936,6.607903928333334e-05,5.934900131539117e-06,1.1338497360022672e-12,0.0005560822357612999,0.0035875215257222207,4.224246194444444e-05,2.184966666666667e-07
"Electricity; at user; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",1.0,MJ,ec6a9894-9221-34d6-9814-b0179435bac8,0.0010645485377933617,2.7538618828116977e-25,7.17462016410177e-27,0.0,6.546585338965662e-09,0.0010518009072831077,4.552725182233606e-07,1.6199187545951162e-25
Electricity; at grid; generation mix - PUD No. 1 of Douglas County,1.0,MJ,c714a6f6-3aa6-3607-9613-076dde33909b,0.00019310254934356294,1.0928595846177005e-25,2.8472206472187037e-27,0.0,1.1696724832428942e-09,0.00019082494172640668,8.134312918415265e-08,6.428585791868827e-26
Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,1.0,MJ,a32b02de-c81f-3fba-bb48-58f5f5d9c2c8,0.24166928234868762,0.0003111316638836659,1.7509715162153545e-05,4.40697370577801e-09,0.006311438574703747,0.22928385579645144,0.00040969010511153736,3.254943531198081e-06
Electricity; at grid; consumption mix - PacifiCorp West - BA,1.0,MJ,afd157a1-c37c-3f33-bd41-227114c381f8,0.05849570423733727,9.466620111951766e-05,7.89800718781924e-06,5.25566877156044e-10,0.0029101216484596786,0.05455388328330775,0.00013428116360282165,6.439337271797879e-07
Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,1.0,MJ,cab7d877-234b-3e69-8b8e-240cb7196021,0.2643980701007301,0.0003506231525334107,1.652621559313148e-05,4.26376935247246e-09,0.0072130783811056205,0.25823106056220796,0.00018154357785164625,3.945474726379449e-06
Electricity; at grid; generation mix - Arizona Public Service Company,1.0,MJ,ee9eb53a-3a0f-31cb-b1f3-ab3588e72891,0.22557783133269368,0.0005055228363285177,2.852766715796115e-05,3.307200667837212e-09,0.013764258804776936,0.21558030512840443,0.00032365149522290624,3.330738824195388e-06
Electricity; at grid; consumption mix - Tampa Electric Company - BA,1.0,MJ,c06b0df8-1d75-39c6-aa87-49100c889658,0.20814820242084703,0.00041658627577683224,2.1455270583514478e-05,1.930259029238953e-09,0.008973782399084073,0.19800763485622053,0.00033761484910407885,2.4710269672715476e-06
Electricity; at user; consumption mix - Turlock Irrigation District - BA,1.0,MJ,dc255d13-6512-372d-8738-48739679d529,0.12756992420040433,0.00020887545758860966,1.5409500369145522e-05,3.72640888530297e-10,0.007683014669318524,0.11552830200610344,0.00042267738167724693,6.66730934279149e-07
Electricity; at grid; consumption mix - Southwestern Power Administration - BA,1.0,MJ,ec5c89b7-509e-3fd7-9308-f51554c1b529,0.07974161099913006,0.0002714082612640945,7.272830918504703e-06,1.7758478912955031e-09,0.0021952777725843843,0.07718155814530837,8.02450219350805e-05,1.1402966244034409e-06
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",1.0,MJ,afb0a8ed-7e33-37ec-aa70-2286f8f84935,0.17415602104226732,0.0003153085748320109,1.9633689610350293e-05,1.9398939313685752e-09,0.007824782995053835,0.16610462256039238,0.000268355099965971,1.8515121239646443e-06
natural gas extraction and processing - Uinta,1.0,MJ,39c5666d-d128-3ccc-8c39-813b27342e0e,0.01626510695431954,8.440957932515806e-05,5.22389446592562e-06,0.0,0.002920711694917292,0.009638416255043393,0.00023545861469101163,1.2773391130674882e-07
petroleum extraction and processing - DFO PADD 5,1.0,MJ,b5f585ea-a588-39bb-81dd-fac996980d86,0.03691643062049335,4.149035880487058e-05,2.4433614655725126e-06,3.8140610030989327e-11,0.001126527546908443,0.030442017334891137,0.00022751352057984544,3.465002200937477e-07
natural gas extraction and processing - Permian,1.0,MJ,830a756a-1b95-38da-bc4b-86f0ca4ee07c,0.013944752874751132,8.870923371087726e-05,5.454795713643437e-06,0.0,0.002923034878263919,0.009831002454284692,0.00014565265415439972,1.3387208569398319e-07
Electricity; at user; consumption mix - ERCOT - FERC,1.0,MJ,b16ca0d0-3f5c-3a24-a398-3bda3ffe06bd,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.1274602841817318e-09,0.011747768003185579,0.1705349156141438,0.00036038913849271217,1.6778511182891537e-06
Electricity; at grid; consumption mix - El Paso Electric Company - BA,1.0,MJ,a2a22977-2b95-358b-90ca-ca7f1fbeb167,0.20017500757280135,0.00038223526774601484,2.5554361381341484e-05,1.5008670105851835e-09,0.011785767573857638,0.18928784690966524,0.0003739399717090332,1.426238444997114e-06
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",1.0,MJ,ef86245c-837b-3555-b556-d1f5346f2f76,0.1670499490124108,0.00030244306819618856,1.8832577987863603e-05,1.8607406185856589e-09,0.007505509097728429,0.15932707099862456,0.00025740543162533556,1.775965045900358e-06
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,1.0,MJ,b55ec9c6-062f-3cd6-aee0-940f3c589726,0.11338250286149384,0.0002279536716446936,1.3616067480740098e-05,2.0883271951203353e-09,0.004776764674302497,0.10399120767167506,0.0003177720275880667,1.6010698197514289e-06
"Electricity; at grid; generation mix - Griffith Energy, LLC",1.0,MJ,efff7f7a-91cc-3714-ab36-77e9c7f4c761,0.16029376122782127,0.00024340894369696925,1.661275694126162e-05,1.2511888452175061e-10,0.008581506460189722,0.13502670966724192,0.0008971732451006188,4.952865561141813e-07
petroleum extraction and processing - RFO PADD 5,1.0,MJ,ae9b0228-e29a-3e91-91fa-3855285b663c,0.0198458430149563,2.008211520192235e-05,1.1850691028176215e-06,2.407503738163063e-11,0.0005374587274253132,0.016346978443439422,0.00012304856093921544,1.8370778878179012e-07
natural gas extraction and processing - San Juan,1.0,MJ,c28e4f4e-efca-360e-9917-4062f8a1d5f0,0.022558377059500968,0.00010832813720397393,6.746542758481047e-06,0.0,0.0038369431026511612,0.01099807282474013,0.0004116706309105743,1.2651535030739839e-07
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,1.0,MJ,d48a6fc0-ff40-3124-997a-ba5e7955fef2,0.259072532623223,0.0003815270473441146,1.864009508141909e-05,3.2220454849971314e-09,0.006830145656257051,0.24973850275516282,0.00029303420596363716,4.074605878087619e-06
natural gas extraction and processing - East Texas,1.0,MJ,111b690d-a86d-3388-8980-8fb6f1d1bb34,0.015034794567699444,8.562058126058988e-05,5.308944950478842e-06,0.0,0.0029890079361745976,0.009621165131867077,0.0001921454379886516,1.266308329020555e-07
Electricity; at grid; generation mix - Florida Municipal Power Pool,1.0,MJ,df4f9548-b463-3033-9dc7-98fd2ddb11d7,0.19593042405142885,0.0002949361549070205,1.6962384658144307e-05,2.2322389620090427e-09,0.00714989407464077,0.18638762291076155,0.00032011245968388194,2.0747688315199763e-06
Electricity; at grid; consumption mix - Tucson Electric Power - BA,1.0,MJ,e06c46bf-e2d6-33bf-90e7-1f90eeb98dcb,0.2413497524261621,0.00041312977141292733,1.9413110290448668e-05,5.715738864562644e-09,0.007868397338483685,0.23380600657638717,0.00023080474184314974,3.560854314107515e-06
Electricity; at user; consumption mix - PJM - FERC,1.0,MJ,a2522eb7-a557-3242-8d26-042fc4b41195,0.15723886174669732,0.00032244384422488065,1.56418562419157e-05,2.089768104765269e-09,0.005460880077459705,0.14508785533098392,0.0004121015487154048,2.0765270432827823e-06
Electricity; at user; consumption mix - Nevada Power Company - BA,1.0,MJ,f80d17d0-8756-3933-9b8f-67f55495b5db,0.14972049663336573,0.0002670295384860325,1.7103009523331422e-05,5.485359299877204e-10,0.011882765596256633,0.13669707612075876,0.00045708089697867933,7.708573583378511e-07
Electricity; at grid; generation mix - Ohio Valley Electric Corporation,1.0,MJ,a00ea62a-baec-367d-bcef-35ab852b8f66,0.32501095590867785,0.0006337129578995836,2.5020676052784864e-05,6.735429834539221e-09,0.011501942460108062,0.29944216502207566,0.0008636389793943949,5.0172788870522395e-06
"Electricity; at grid; generation mix - Gila River Power, LLC",1.0,MJ,fa3c1da6-732d-3554-93ec-6e9dd02a6705,0.15632152621353343,0.0004400904530133872,2.955832248881394e-05,1.6665318198011267e-10,0.0153884218388977,0.13205055369613736,0.0008614877175345414,4.883168480889168e-07
"Electricity; at user; consumption mix - Arlington Valley, LLC - AVBA - BA",1.0,MJ,c8caa143-b258-3aa7-8c7e-4615424941eb,0.16686477889441617,0.00025186785550439613,1.7507725987474964e-05,1.5637053488704048e-10,0.008877771839821315,0.14065087407082846,0.000930651914995743,5.168579543363157e-07
petroleum extraction and processing - RFO PADD 4,1.0,MJ,cb4146a8-6e57-37f1-9366-0913ebe21ee4,0.0165952945443058,1.4216121081409993e-05,7.184122377241994e-07,1.7005433865064543e-11,0.00033692883638771485,0.013282129929153706,0.00011655968380236764,1.525767400667602e-07
"Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington",1.0,MJ,b591cc47-d607-3875-97df-2b696348855b,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25
Electricity; at grid; generation mix - Hydro-Quebec TransEnergie,1.0,MJ,ca0ea6b1-b7d8-3972-b5e7-0258f5c70365,0.003405796677571575,5.7407192128877276e-06,1.3204271145756127e-05,3.0052559900102037e-10,5.618220225228311e-05,0.003058015283815388,1.1585145329189712e-05,9.582890113900395e-09
Electricity; at grid; consumption mix - Southwest - FERC,1.0,MJ,ccbab212-154f-3421-b714-c24346bece5b,0.15965238558280054,0.00027290787482727537,1.6746735236515617e-05,2.4538445524249342e-09,0.007412859538603373,0.15095613057982582,0.00029059442018720825,1.915614169554423e-06
Electricity; at user; consumption mix - PowerSouth Energy Cooperative - BA,1.0,MJ,c8ef80e2-6e54-3f08-b030-d007405d48c8,0.21270808661439242,0.0004156572539790289,2.562207658599961e-05,2.0481839845152487e-09,0.011637355610133735,0.20229737372954912,0.0003530535511413349,1.8509722322473012e-06
Electricity; at grid; generation mix - El Paso Electric Company,1.0,MJ,d4a6ced3-335c-3f08-a156-725e806334d8,0.18441772884311558,0.0003902027448140907,2.74293840823766e-05,2.2702630431431752e-10,0.012750534473807508,0.1720903095853185,0.0004326136181252683,6.970173793547934e-07
Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,1.0,MJ,eb5a96ac-8afe-33f5-9d84-989feb43565e,0.14563451983226253,0.0002370670464415379,1.3860976955771797e-05,1.662426460102759e-09,0.005036839821912271,0.13967848873633718,0.00019186722866683847,2.0102113160118155e-06
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans",1.0,MJ,a69192a9-0193-350f-ae7a-b24357e2838f,0.1700641374021918,0.00030767223388900733,1.919430510491311e-05,1.8890905179392065e-09,0.007657136054003446,0.16219860494525165,0.0002622170202092091,1.8045453773464996e-06
power plant construction - coal_const,1.0,Item(s),5614332b-4bc3-3959-9c83-7f8eb03a734b,26346.933776260477,80.29455840515107,43.70216332639506,0.005860787985074636,1660.6843983641654,22925.78237528293,86.1705260076552,0.7684247350004405
"Electricity; at grid; generation mix - NaturEner Wind Watch, LLC",1.0,MJ,fdb04d8f-f47f-3ec0-9e65-c4afc66f38ed,0.0053577858787588455,1.5080015347659509e-05,9.941729478234027e-06,2.718358847305042e-12,0.00016336585445605683,0.00500948889191063,1.1778607938005568e-05,1.85204323399188e-08
"Electricity; at grid; generation mix - New Harquahala Generating Company, LLC - HGBA",1.0,MJ,a33bcf89-5448-302e-bb89-7f181c41c6a5,0.15155701814835826,0.00023255594385607155,1.6311937096789513e-05,1.5656198298098905e-10,0.008187585057299647,0.12752538712648226,0.0008531058388554108,4.7532382385560857e-07
natural gas extraction and processing - Anadarko,1.0,MJ,7285b97b-c655-3352-8f7f-b0709c45922b,0.01706481537763951,9.892762904496597e-05,6.104103805982783e-06,0.0,0.0033237400260908443,0.010320776676116722,0.00023958873229061681,1.341667771206411e-07
petroleum extraction and processing - RFO PADD 3,1.0,MJ,e66feab0-54e1-347e-bb0a-2e93dca7d48f,0.024097616991327092,2.9374176152038814e-05,1.7240844979743495e-06,3.764671820026866e-11,0.0007081426638564179,0.0196002245904687,0.00015870041600709976,1.8280440845773202e-07
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,1.0,MJ,e4fcd21b-a651-31c8-a123-ff308a80e080,0.03262851946234272,7.402213714457275e-05,6.0363684790881465e-06,6.66358934999044e-10,0.0018375225894446063,0.031078621183004022,5.1536920517575944e-05,3.463550957995158e-07
natural gas extraction and processing - Gulf,1.0,MJ,f744690b-98a0-3a09-bf7d-70ec6fcb4cae,0.024926560507813684,0.0002112505184762138,1.3215825512550272e-05,0.0,0.007334119188963788,0.01729812185932712,0.0002711956977033621,1.319211749424182e-07
"Electricity; at grid; generation mix - Homestead, City of",1.0,MJ,f39a68dd-fd0f-3072-93da-7b3cbe6e6cff,0.4057043872785936,0.005177104419357815,0.0003837980993482982,5.1507445343639436e-09,0.17967529549485844,0.3659137762900286,0.001380025429716636,2.0104501232757504e-06
