Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],N2O [kg],CH4 [kg]
natural gas extraction and processing - Piceance,f7cbad89-16f4-3c18-90b9-f7340aab68e4,1.0,MJ,0.017510154955510757,8.566253973356968e-05,5.29742495190162e-06,0.0,0.0029668314657371924,0.009604434626735877,1.2761094521303496e-07,0.00028113940810250195
petroleum extraction and processing - RFO PADD 1,8fe45891-8f21-3009-883c-7f3ccb47d248,1.0,MJ,0.023870673821298465,2.734755581027574e-05,1.6078892617553283e-06,2.042030747116537e-11,0.0006551267541328371,0.019138096198464648,1.5345218563943727e-07,0.00016742192769500947
Electricity; at grid; consumption mix - Southwestern Power Administration - BA,ec5c89b7-509e-3fd7-9308-f51554c1b529,1.0,MJ,0.07974161099913006,0.0002714082612640945,7.272830918504703e-06,1.7758478912955031e-09,0.0021952777725843843,0.07718155814530837,1.1402966244034409e-06,8.02450219350805e-05
natural gas extraction and processing - San Juan,c28e4f4e-efca-360e-9917-4062f8a1d5f0,1.0,MJ,0.022558377059500968,0.00010832813720397393,6.746542758481047e-06,0.0,0.0038369431026511612,0.01099807282474013,1.2651535030739839e-07,0.0004116706309105743
"Electricity; at user; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ec6a9894-9221-34d6-9814-b0179435bac8,1.0,MJ,0.0010645485377933617,2.7538618828116977e-25,7.17462016410177e-27,0.0,6.546585338965662e-09,0.0010518009072831077,1.6199187545951162e-25,4.552725182233606e-07
Electricity; at grid; generation mix - El Paso Electric Company,d4a6ced3-335c-3f08-a156-725e806334d8,1.0,MJ,0.18441772884311555,0.0003902027448140907,2.74293840823766e-05,2.2702630431431752e-10,0.012750534473807506,0.1720903095853185,6.970173793547934e-07,0.0004326136181252683
Electricity; at grid; generation mix - Tampa Electric Company,e596ff4f-6050-3c0b-9689-e65620b395a3,1.0,MJ,0.20577661477581977,0.0004224188016202234,2.193813406459608e-05,1.7883524363413103e-09,0.0092112012373413,0.1955131115366561,2.41615292956116e-06,0.0003425326389965073
Electricity; at grid; consumption mix - Southwest - FERC,ccbab212-154f-3421-b714-c24346bece5b,1.0,MJ,0.15965238558280054,0.00027290787482727537,1.6746735236515617e-05,2.4538445524249342e-09,0.007412859538603373,0.15095613057982582,1.915614169554423e-06,0.00029059442018720825
"nuclear fuel extraction, prococessing, and transport",98a4522b-da0c-3239-88db-74b15ba0288d,1.0,MJ,0.004919169934378936,6.607903928333334e-05,5.934900131539117e-06,1.1338497360022672e-12,0.0005560822357612998,0.0035875215257222207,2.184966666666667e-07,4.224246194444444e-05
Electricity; at grid; consumption mix - Arizona Public Service Company - BA,b47455f1-fc68-33b2-a2a8-217485ef8bba,1.0,MJ,0.22020211274694926,0.000481692782632977,2.7489550906205065e-05,2.984726787842652e-09,0.013338254599244752,0.20868828629675587,3.0143064056625898e-06,0.00038100508003969976
