UUID,heating_value
b6884185-30b8-391a-9dff-dbded4429a66,20.92
7906c042-7330-3046-9b9a-92a4af4f2150,20.92
106bcee8-0d5f-30c6-ac98-fa6dab41d4d1,20.92
f3b8fc97-f519-3da0-80de-72a7d5551fda,20.92
5b12a6bf-921f-3e80-9bd4-1c250a6696fb,20.92
8a62a285-537e-36b0-bdc3-3af4bfd205a3,20.92
a555a537-a0f1-3e54-9008-1d56c5e342a6,20.92
2d43bb55-3817-37dc-a7b4-20c3304f07af,20.92
61d04f2c-c8df-3b9c-8def-60328506efd2,20.92
db291182-7d45-38c4-8529-a9abc78e55e9,20.92
2c6df723-416e-3164-a5f1-bb97081fc64f,20.92
2fdc10ce-f75d-30d0-b1e7-672af0eb98fe,20.92
e389edf2-979a-372c-b6e0-8de8bfd28c93,20.92
66cf43e1-e3fe-36b4-8653-bb5b739b0f5e,20.92
3a98c0e1-2ba4-33f1-8d88-35b7f92af534,20.92
3455f918-4a43-3b09-b06e-7402c12b8d45,20.92
80fa4691-56d0-3019-a021-30c3b187e63e,20.92
c7aaeef5-a019-304e-959d-92fdccaf0896,20.92
27e8fce4-a5c1-37af-84b9-763582a5ca3e,28.49304
26465530-69ff-3c68-834f-c67ccb6ee1b2,30.1248
accc6b3b-6793-3964-b89d-82066f6977fc,30.1248
53804132-4bd6-3b18-bfbd-14ac762431ef,38158.08
0924e625-e201-374c-8628-0c44df929cdd,38158.08
d6ad7035-5498-3237-8abd-50e93b1eef89,38158.08
d3e13675-1455-375f-a557-bb8234de75ff,36066.08
32a3732b-30c8-3605-8306-ca12599f8e91,36066.08
1b0f75b8-e749-3eb2-8727-de6a22f60646,16.69416
4eec7a31-b920-3f91-b7c3-924f2aa92ecc,26150
d549cd32-3e84-327e-86e8-452772ff7c56,26150
f347daea-82be-4e62-8872-a0dc0ca24ca3,39.082744
39abf743-0b9e-33e3-8752-b418609504f1,39.082744
29d771d7-71ec-3a22-bbd0-8709d5a328e2,39.082744
0f528ea6-57a9-365a-a4af-4132ebe27cae,39.082744
8a0090ee-4054-322f-a65d-15c8ee6ca915,39.082744
4d7e8233-af87-31fc-b497-592383d4008a,39.082744
b355f122-dc4e-4224-aafa-d43c3b57db7b,39.082744
9d9b6815-9349-30af-869b-57362428c42e,41756.32
7ee5b4ca-1a5e-3d26-8e79-0805a115e444,41756.32
a515132e-c816-34ea-9773-d56c11dc1cb0,37.80926713
