scenario,country code,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,h2-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
MidCase,US,2025,4318479400,27692020,30127716,42901236,4419200500,4163226436,2989942300,0.0359,0.054,0.1548,118558.16,984107.4,0.6,0.6,253.4,20.5,2.92,17.6,1180.2,0.16,254.8,52.8,307.7,266.7,21.6,3.07,18.6,1243.3,0.17,268.2,55.7,323.8,400.5,26.9,3.82,30.5,2161.9,0.23,402.3,95,497.3,608.7,49.7,7.1,39.5,2736.2,0.33,612.1,121.1,733.2,1119935374,90648.3,12890.1,77889805.3,5215360.9,714.7,1126155684,233502665.8,1359658350,0,27.31,23.89,0.62,51.82,29.11,26.18,0.66,55.95,52470716,19136176,71705040,4419203000,1429258100,23537292,33739520,0,72627640,725881100,0,0,73081940,989424300,0,20685882,20357580,292848400,766009340,20603086,24230602,0,525732000,811463200,18981042,17079.3,5724.9,0,168308.2,0,0,47960.8,290911.2,0,123172.3,2746.9,80676.9,95902.6,65472.6,23052.7,0,215001.5,5400.6,238275.3,68317.1,184421.6,0,0
MidCase,US,2030,4690646500,77807510,79660120,51183744,4899298000,4522007132,2469588500,0.0359,0.054,0.1548,118613.07,1055650.1,0.77,0.76,114.3,6.5,0.88,11.3,619.1,0.09,114.8,29.8,144.5,122.7,6.9,0.95,12.1,664.8,0.09,123.2,32,155.1,163,5.9,0.76,16.8,1049.8,0.08,163.4,48.2,211.6,409.3,27.8,3.9,33.3,1936.1,0.22,411.2,91.1,502.3,560161293.1,31636.4,4333.2,55366216,3033367.7,428.5,562287008.2,145877565.5,708164573.7,0,17.46,22.25,0.4,40.11,18.86,24.81,0.42,44.1,155293340,77818090,233179300,4899298000,2429709300,66118650,31918764,0,87636200,221840160,0,0,139456030,861147650,0,22726460,39861240,297948800,766009340,10499095,63882240,0,780735900,1402826900,106690610,47640.1,5571.6,0,141653.4,0,0,97797.6,305036.2,0,130906,5361.9,84152.5,95902.6,54752.7,36149.6,0,335019.4,28779,414830.7,190560.4,289196.6,0,0
MidCase,US,2035,5274484700,143221890,134077864,55386136,5607170600,5084848605,2294927000,0.0359,0.054,0.1548,118040.76,1164088.7,0.84,0.83,85.9,5.6,0.77,7.9,427.2,0.07,86.2,20.7,106.9,93.2,6,0.84,8.6,462.8,0.07,93.6,22.4,116,118.8,4.5,0.59,12.2,757.9,0.06,119.1,34.8,153.9,353.5,24.9,3.5,27.5,1618,0.19,355.2,75.8,431,481481927.6,31165.8,4332.1,44393348.3,2395661.8,380.3,483593339.4,115887887.3,599481226.7,0,15.47,21.19,0.78,37.49,16.91,23.99,0.8,41.76,349098500,225152720,574376100,5607170600,3312243700,121850700,24401780,0,80085096,233325220,0,0,178951660,633495230,0,23234942,51397690,286301820,726879200,6529814,107425576,0,1188642400,1776863900,167785740,90800.8,4443.5,0,133018,0,0,132964.4,314071.7,0,146093.9,6918.7,84476.9,91003.6,46251.1,53090.9,0,545412.9,47081,558856.5,363203.2,424727.4,0,0
MidCase,US,2040,5832429000,211169650,199914580,58547130,6302060500,5622730764,2328102000,0.0359,0.054,0.1547,121122.39,1293440.4,0.86,0.86,75.3,5.1,0.71,6.7,365.3,0.06,75.7,17.6,93.3,80.6,5.5,0.77,7,386.2,0.06,80.9,18.5,99.5,118,6.6,0.9,10.4,645,0.06,118.4,29.6,148,316,20.7,2.88,25.5,1544.1,0.16,317.4,71.6,389,474786907.6,32072,4468.8,42124816.6,2301874,363.1,476962647.6,110819800.4,587782447.9,0,15.57,21.46,1.2,38.3,17.26,24.71,1.28,43.31,525859230,367038850,893160600,6302060500,3973959000,179754880,22980926,0,73444420,245006940,0,0,189022850,595971100,0,26355750,54657880,282663420,684793000,2257334.2,160216270,0,1522584400,2086580900,175770510,139837.8,4250.6,0,126015.7,0,0,145629.4,326634.1,0,205382.7,7375.1,84722.9,85734.5,32945.8,77101.8,0,723464.5,49381,666709.7,562466.6,616814.7,0,0
MidCase,US,2045,6365363700,295638140,242535580,60977164,6964515000,6136506716,2424623600,0.0359,0.054,0.1548,125493.38,1426573.8,0.87,0.87,68.1,4.1,0.57,6.4,356.2,0.05,68.4,17,85.4,72.1,4.5,0.62,6.6,369.8,0.05,72.4,17.6,90,92.8,4.4,0.59,8.8,550.6,0.05,93.1,25.2,118.3,288.3,16.7,2.29,25.2,1527,0.15,289.4,70.7,360.1,474227045.1,28802.1,3962.7,44360876.5,2481091.1,347.1,476167150.9,118392149.6,594559300.5,0,15.14,22.26,0.72,38.15,16.96,25.99,0.82,43.79,689006200,590214500,1279666000,6964515000,4539891000,251655980,21802404,0,73217840,210145980,0,0,198432670,679523600,0,34985292,57576120,276185920,623869300,1418521.2,194242560,0,1858648000,2306371300,176439100,199833.7,4090.6,0,109577.2,0,0,159189.8,325630.4,0,292580.8,7792.4,85049.5,78107,25804.3,89424.4,0,930971.4,49381,756246.1,812090.3,715395,0,0
MidCase,US,2050,6841765000,291878800,254850080,64222840,7452716000,6595785524,2530031900,0.0359,0.054,0.1548,123813.15,1557062.5,0.84,0.84,73.8,3.5,0.46,7.5,440.4,0.05,74,20.6,94.6,75.9,3.7,0.5,7.5,445.8,0.05,76.1,20.8,96.9,123.4,4.4,0.56,13.1,812.1,0.07,123.7,37.4,161.1,284.2,13.5,1.82,27.6,1648.5,0.15,285.1,76.8,361.9,549731615.9,25927.7,3444.5,55687757.7,3282527.4,344.8,551444596.1,153601200.3,705045796.5,0,15.92,22.38,1.07,39.4,17.84,26.04,1.2,45.1,790210700,863322500,1653638100,7452716000,4922685000,248460460,21559334,0,70969224,162302110,0,0,210309380,942230500,0,80329260,59923336,285267040,452073060,2823865.8,204093620,0,2054648000,2479279900,178447650,190121.4,4057.6,0,79256.4,0,0,175718.3,354972.9,0,449441.5,8061,85283,56598.5,13048.4,89424.4,0,1101988.1,49381,811078.9,773241,715395,0,0
LowRECost,US,2025,4318472700,29736148,30475508,43025660,4421710300,4163220259,2967243800,0.0359,0.054,0.1548,117178.77,984107.4,0.61,0.6,249.6,20.2,2.87,17.4,1161.7,0.16,251,52.1,303,262.8,21.3,3.02,18.3,1224.6,0.17,264.2,54.9,319.1,391.3,26.9,3.81,29.3,2070.8,0.22,393.1,91.1,484.2,602,49,7,39.3,2717.9,0.33,605.4,120.4,725.8,1103565289,89369.6,12708.4,76891069.6,5136794.9,706.6,1109697904,230160469.3,1339858373,0,27.28,23.57,0.5,51.36,29.09,25.85,0.53,55.47,57200780,20562136,77871430,4421712400,1454466600,25259786,35665972,0,72528504,715882700,0,0,75399270,974012800,0,20301408,20363592,292556800,766009340,20145030,24519666,0,534365120,825006850,19695280,18349.4,6094,0,168321.6,0,0,49561.4,289763.3,0,123083.9,2749.1,80762.6,95902.6,65210.7,23052.7,0,218156.3,5499.3,239746.9,73397.7,184421.6,0,0
LowRECost,US,2030,4690640400,90582136,88005690,51875700,4921104000,4522001331,2326681300,0.0359,0.054,0.1548,117162.32,1055650.1,0.8,0.8,98.6,5.5,0.75,10,537.8,0.08,99,26.1,125.1,106.4,5.9,0.81,10.8,580.4,0.09,106.8,28.1,134.9,153.1,6.7,0.9,14.8,913.6,0.08,153.5,42,195.5,381.6,25.9,3.63,31.4,1805.1,0.21,383.4,85.2,468.6,485328654.6,27094,3706.6,49341086.3,2646496.1,392.9,487147948,128313923.3,615461871.3,0,16.14,21.7,0.27,38.13,17.5,24.3,0.29,42.1,187323570,105015850,292438430,4921104400,2594422500,77003780,31918764,0,86540040,189104700,0,0,153998020,748262900,0,22655814,36150972,288912580,766009340,9573675,70549110,0,841472060,1487876700,111075670,55112.6,5571.6,0,141770.5,0,0,109620.7,295182.9,0,129556.4,4867.8,83963.6,95902.6,54616.1,37685.8,0,366986.4,28779,430543.2,220450.3,301486.5,0,0
LowRECost,US,2035,5274475500,210480300,141160960,55307064,5681424000,5084839880,2066286200,0.0359,0.054,0.1548,107741.9,1164088.7,0.87,0.86,70.1,4.7,0.65,6.4,342.5,0.06,70.5,16.6,87.1,77.2,5.1,0.72,7,376.3,0.06,77.6,18.3,95.8,94.8,4.9,0.67,9.6,528.2,0.08,95.1,25.4,120.5,291.8,18.3,2.55,24.9,1441.4,0.16,293,67.9,360.9,398480318.9,26421.8,3683.6,36333892.4,1945810.9,315.1,400273313.6,94405073.9,494678387.6,0,13.65,18.9,0.4,32.98,15.13,21.66,0.42,37.25,417012030,380548100,797840500,5681424000,3615138300,179188130,26172738,0,79911820,200297940,0,0,208564350,505717660,0,17855402,71742300,273937200,592285760,6051267,113125900,0,1375312000,1859103100,172158480,136834.1,4791.5,0,133142.1,0,0,163090.4,294916.6,0,137152.4,9671.6,84237.6,74152.8,46320,53941.5,0,668828.1,47081,569930.4,547336.5,431531.8,0,0
LowRECost,US,2040,5832426500,318828380,141722670,58114170,6351091700,5622728019,2004559600,0.0359,0.054,0.1547,118558.78,1293440.4,0.9,0.89,59.2,4.2,0.59,5.1,274.2,0.04,59.5,13.2,72.8,63.8,4.6,0.65,5.3,291.2,0.05,64.1,14,78.1,94.1,6,0.83,8.3,474.9,0.07,94.5,22.5,117,264.6,15.9,2.2,23,1359.5,0.14,265.6,63.5,329.2,376288860.4,26846.2,3764.1,32093072.1,1741388.5,284.9,378116480.2,84064238,462180718.1,0,14.22,20.61,0.99,35.9,15.9,23.89,1.08,40.94,734324400,622170300,1356801200,6351091700,4346532000,271613120,24699538,0,73640050,209423870,0,0,232819380,426878600,0,19160106,82568184,268254540,512091800,2760146.8,113469590,0,1645855900,2286118400,181738530,217366.5,4591.5,0,126019.7,0,0,186842,286781.8,0,216202.1,11128.9,84582.3,64112.7,33008.8,54804.8,0,853563.1,49381,736623.7,896762.8,438438.6,0,0
