Name,Impact data,type,LC stage,qty,unit,transported item,density,weight unit
Portland Cement,Portland Cement,Product,A1,367.4098197,kg,,,
Fly Ash,Fly Ash,Product,A1,94.34721296,kg,,,
Slag cement,Slag cement,Product,A1,11.33980925,kg,,,
Mixing water,Tap water_ROW_[ecoinvent],Product,A1,185.5192793,kg,,,
Process water,Tap water_ROW_[ecoinvent],Product,A1,239.6806577,kg,,,
Crushed coarse aggregate,Gravel_crushed_ROW_[ecoinvent],Product,A1,71.66759446,kg,,,
Natural coarse aggregate,Gravel_round_ROW_[ecoinvent],Product,A1,900.3808545,kg,,,
Crushed fine aggregate,Gravel_crushed_ROW_[ecoinvent],Product,A1,42.18409041,kg,,,
Natural fine aggregate,Gravel_round_ROW_[ecoinvent],Product,A1,712.1400209,kg,,,
Air entraining admixture,Air entrainers_[EFCA],Product,A1,0.03685438,kg,,,
Plasticizer and Superplasticizer,Plasticizer and Superplasticizers_[EFCA],Product,A1,0.255145708,kg,,,
Set accelerator,Set accelerators_[EFCA],Product,A1,0.368543801,kg,,,
Electricity,Electricity_US,Energy,A3,4.72,kWh,,,
Natural gas,Natural gas,Energy,A3,14.22,ft3,,,
Diesel,Diesel,Energy,A3,0.35,gal,,,
Liquefied Propane Gas (LPG),Liquefied Propane Gas (LPG),Energy,A3,0.05,gal,,,
Hazardous solid waste,Hazardous solid waste,Waste,A3,0.213188414,kg,,,
Non-hazardous solid waste,Non-hazardous solid waste,Waste,A3,17.64020727,kg,,,
cement by truck,Truck,Transportation,A2,60.8332032,km,Portland Cement,,
cement by rail,Rail,Transportation,A2,198.9149184,km,Portland Cement,,
cement across ocean,Ocean,Transportation,A2,2105.66569,km,Portland Cement,,
cement on barge,Barge,Transportation,A2,18.6683904,km,Portland Cement,,
flyash by truck,Truck,Transportation,A2,121.3445376,km,Fly Ash,,
flyash by rail,Rail,Transportation,A2,74.1907584,km,Fly Ash,,
slag by truck,Truck,Transportation,A2,18.507456,km,Slag cement,,
slag across ocean,Ocean,Transportation,A2,2704.341658,km,Slag cement,,
agg (cc) by truck,Truck,Transportation,A2,14.484096,km,Crushed coarse aggregate,,
agg (cc) by rail,Rail,Transportation,A2,2.0921472,km,Crushed coarse aggregate,,
agg (nc) by Truck,Truck,Transportation,A2,16.7371776,km,Natural coarse aggregate,,
agg (nc) by Rail,Rail,Transportation,A2,5.632704,km,Natural coarse aggregate,,
agg (nc) across Ocean,Ocean,Transportation,A2,3.3796224,km,Natural coarse aggregate,,
agg (cf) by Truck,Truck,Transportation,A2,3.0577536,km,Crushed fine aggregate,,
agg (cf) by Rail,Rail,Transportation,A2,22.0480128,km,Crushed fine aggregate,,
agg (cf) across Ocean,Ocean,Transportation,A2,0.1609344,km,Crushed fine aggregate,,
agg (cf) by Barge,Barge,Transportation,A2,17.8637184,km,Crushed fine aggregate,,
agg (nf) by truck,Truck,Transportation,A2,16.898112,km,Natural fine aggregate,,
agg (nf) by Rail,Rail,Transportation,A2,5.632704,km,Natural fine aggregate,,
agg (nf) across Ocean,Ocean,Transportation,A2,3.3796224,km,Natural fine aggregate,,
agg (nf) by Barge,Barge,Transportation,A2,0.6437376,km,Natural fine aggregate,,
