"market for synthetic gas | synthetic gas | EN15804, U",11565faf-5638-4e50-8727-5afeca382d8c,1,m3
"market for synthetic gas | synthetic gas | EN15804, U",f0cf88ac-920f-48c1-82e4-2fbcbee9e923,1,m3
"synthetic gas production, from wood, at fixed bed gasifier | synthetic gas | EN15804, U",e9463b41-bdb3-4643-8c61-740b84766f32,1,m3
"synthetic gas production, from wood, at fixed bed gasifier | synthetic gas | EN15804, U",cfac3b26-4611-4980-bdf4-de0bdc59353f,1,m3
"synthetic gas production, from wood, at fluidized bed gasifier | synthetic gas | EN15804, U",c2b46ddf-b4d8-4408-ad15-a30d2f6c4fbe,1,m3
"synthetic gas production, from wood, at fluidized bed gasifier | synthetic gas | EN15804, ",55ea1c23-3618-4c79-9acb-79537499891a,1,m3
"charcoal production | charcoal | EN15804, U",1ad4eaf7-439c-49c6-9f5b-7411d88f95e1,1,kg
"market for charcoal | charcoal | EN15804, U",b7ba8888-00e3-413f-9161-788fc2764b73,1,kg
"hardwood forestry, birch, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",2b2371f4-84c5-4cc0-bb10-4de9be9a4e21,1,kg
"hardwood forestry, birch, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",1b416563-bef5-4e52-b2eb-c5b04a1a3897,1,kg
"market for bundle, energy wood, measured as dry mass | bundle, energy wood, measured as dry mass | EN15804, U",b05fe3ac-3bfd-421b-b79f-b875b3325aa1,1,kg
"market for bundle, energy wood, measured as dry mass | bundle, energy wood, measured as dry mass | EN15804, U",6cd6c546-502a-4207-aea6-17c3b497ae1f,1,kg
"softwood forestry, pine, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",1c50c30b-52e1-44db-9ade-7183f25e4031,1,kg
"softwood forestry, pine, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",795dfa16-ee80-4860-8fe8-ba53db7073a3,1,kg
"softwood forestry, spruce, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",2c4f1903-5fcd-420b-b321-330b71ad7682,1,kg
"softwood forestry, spruce, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",397336d2-7583-4d7a-a2b5-0935c6298efc,1,kg
"biogas purification to biomethane by amino washing | biomethane, high pressure | EN15804, U",475acd16-ed1d-4af3-aabf-af99ba659468,1,m3
"biogas purification to biomethane by amino washing | biomethane, high pressure | EN15804, U",25055a72-8e64-42b7-a18c-3a0397f63ca4,1,m3
"biogas purification to biomethane by membrane technique | biomethane, high pressure | EN15804, U",c2a00b2b-a9d1-4134-9617-937cdcd9f141,1,m3
"biogas purification to biomethane by membrane technique | biomethane, high pressure | EN15804, U",034f6766-5e72-480a-a2bf-ed8412127b24,1,m3
"biogas purification to biomethane by pressure swing adsorption | biomethane, high pressure | EN15804, U",f3593937-7ac7-447f-8acf-3f3b3012a023,1,m3
"biogas purification to biomethane by pressure swing adsorption | biomethane, high pressure | EN15804, U",b83da472-bd68-4b65-a9d2-d18cb3e139e4,1,m3
"biomethane production, high pressure from synthetic gas, wood, fixed bed technology | biomethane, high pressure | EN15804, U",3f829e7a-555a-4f99-adb7-6299a4a4ed56,1,m3
"biomethane production, high pressure from synthetic gas, wood, fixed bed technology | biomethane, high pressure | EN15804, U",c9c057b6-a355-4aac-ae5a-249a1f843c51,1,m3
"biomethane production, high pressure from synthetic gas, wood, fluidised technology | biomethane, high pressure | EN15804, U",70771e00-5d66-4ae5-aa56-ca72f25c2ecb,1,m3
"biomethane production, high pressure from synthetic gas, wood, fluidised technology | biomethane, high pressure | EN15804, U",5a3d133e-e964-42bf-ae94-11cb648c4a11,1,m3
"market for biomethane, high pressure | biomethane, high pressure | EN15804, U",4d313168-39ac-4029-b280-055aed7b81db,1,m3
"market for biomethane, high pressure | biomethane, high pressure | EN15804, U",b2c8d806-f750-43ff-a5c7-139db5dbe9d0,1,m3
"biomethane production, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",55729ccf-fa1d-4069-945e-8b62458ae02c,1,kg
"biomethane production, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",e7a75aab-34a2-4250-b781-42cc1e23842b,1,kg
"market for biomethane, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",5af8ef89-d8ab-4971-8deb-c4114eec5c6c,1,kg
"market for biomethane, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",9a3a355e-2ab6-41ab-bef3-38a5e367037e,1,kg
"biomethane pressure reduction, from high to low pressure | biomethane, low pressure | EN15804, U",b1720b03-a206-4fd9-af7f-92fde70d93d7,1,MJ
