scenario,r,state,gea,interconnect,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,h2-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_shadow_price,rps_f,ces_shadow_price,ces_f,co2_shadow_price
MidCase,p1,WA,NorthernGrid_West,wscc,2025,51721024,0,0,239468.1,51960492,49860823.5,46604564,30190220,0,0.036,0.054,0.1435,112210.58,9794.4,0.95,0.97,20.2,0.4,0.04,2.4,188.8,0.01,20.2,8.1,28.3,15.4,0.7,0.09,1.7,116.7,0.01,15.4,5.2,20.6,77,4.1,0.55,6.7,524.3,0.04,77.3,22.4,99.6,451.5,33.7,4.74,32.2,2337.5,0.22,453.8,102,555.7,439888.1,8.3,0.8,52784,4110.8,0.2,440361.4,175339.6,615701,0,22.24,19.84,0,42.07,23.53,21.17,0,44.7,0,0,0,21770268,5355925.5,0,24716.3,0,7622513.5,0,0,0,592824.1,1134354.2,0,0,0,7632758.5,0,0,0,0,33413.5,4729688,0,0,5.4,0,0,0,0,526.4,800.9,0,0,0,2043.4,0,0,0,0,15.9,0,1448.7,0,0,0,0,0.13,0,0.56,0
MidCase,p1,WA,NorthernGrid_West,wscc,2030,56889320,0,0,268492.1,57157812,54843391.7,50833292,33682640,0,0.036,0.054,0.1435,112210.58,10562.3,0.97,1,12.9,0.2,0.02,1.6,97.6,0.01,12.9,4.5,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,31.6,4.47,28.4,1757.1,0.2,412.2,80.8,493,303333.5,5.7,0.6,37083.4,2290.5,0.1,303660,105378.8,409038.7,0,15.83,19.56,0.02,35.41,16.74,20.86,0.02,37.62,0,0,0,23475172,6324520.5,0,45313.7,0,7686944,0,0,0,1453687.1,786310,0,0,0,8632083,0,0,0,0,33413.5,4837420,0,0,9.9,0,0,0,0,1290.9,800.9,0,0,0,2291,0,0,0,0,15.9,0,1478,0,0,0,0,0.13,0,1,0
MidCase,p1,WA,NorthernGrid_West,wscc,2035,63404970,0,0,317232.5,63722200,61124789,56919384,40485450,0,0.036,0.054,0.1435,120211.88,11886.4,0.98,1,7.5,0.1,0.01,0.9,56.6,0,7.5,2.6,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.6,29.3,4.15,24.3,1504.5,0.18,367.6,69.2,436.9,174216.9,3.3,0.3,21400.1,1315.7,0.1,174404.4,60628.8,235033.2,0,14.83,21,0,35.83,15.69,22.4,0,38.09,0,0,0,23236754,6802813,0,24716.3,0,7363033.5,0,0,0,1931979,453334.8,0,0,0,8592856,0,0,0,0,33413.5,4837420,0,0,5.4,0,0,0,0,1715.6,800.9,0,0,0,2303.8,0,0,0,0,15.9,0,1478,0,0,0,0,0.13,0,1,0
MidCase,p1,WA,NorthernGrid_West,wscc,2040,69740910,0,0,343067.7,70083980,67232941,63401484,44168480,0,0.036,0.054,0.1435,115009.49,13125,0.88,1,43.2,0.8,0.08,5.1,326.3,0.02,43.3,14.9,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.5,16.1,2.23,21.6,1314.3,0.13,259.5,60.8,320.3,1120493,21.1,2.1,133184.1,8456.4,0.5,1121698.8,385319.6,1507018.4,0,14.53,20.39,0,34.92,15.38,21.76,0,37.13,0,0,0,25915502,6682497,0,24716.3,0,7462881,0,0,0,1991323.8,3144771.2,0,0,0,8600637,0,0,0,0,33413.5,4657760,0,0,5.4,0,0,0,0,1768.3,2225.3,0,0,0,2316.7,0,0,0,0,15.9,0,1287.3,0,0,0,0,0.13,0,1,0
MidCase,p1,WA,NorthernGrid_West,wscc,2045,75583416,0,0,355481.4,75938904,72865380.7,67288960,46042316,7659.6,0.036,0.054,0.1435,109889.17,14181.8,0.82,1,64.9,1.2,0.12,7.7,489.6,0.03,64.9,22.3,87.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,11.8,1.59,20.3,1231.8,0.11,220.8,57,277.8,1940161.8,36.6,3.7,230012,14641.8,0.8,1942249.7,666568.2,2608817.9,0,13.24,19.37,0,32.62,14.02,20.68,0,34.7,0,0,0,29904246,8649938,0,24716.3,0,7462881,0,0,0,2053786.4,4968417.5,0,325138.3,0,8473157,0,0,0,0,33413.5,6562737.5,0,0,5.4,0,0,0,0,1823.8,3260.3,0,2721.9,0,2329.6,0,0,0,0,15.9,0,1760,0,0,0,0,0.13,0,1,0
MidCase,p1,WA,NorthernGrid_West,wscc,2050,81082180,0,0,364408.2,81446584,78166438.6,73181470,46854976,129875.5,0.036,0.054,0.1435,107132.7,15165.2,0.7,1,108.2,2,0.2,12.8,816.4,0.05,108.3,37.1,145.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.1,10.5,1.38,24.2,1450.8,0.12,237.8,67.4,305.2,3756264.5,70.8,7.1,444548.9,28346.4,1.6,3760306.8,1289718,5050024.7,0,15.49,18.89,0,34.38,16.4,20.18,0,36.58,0,0,0,34721484,8265110.5,0,24716.3,0,7462881,0,0,0,2097021.8,9678452,0,621191,0,8669132,0,0,0,0,32761.6,6135326.5,0,0,5.4,0,0,0,0,1862.2,4170.6,0,5173.4,0,2329.6,0,0,0,0,15.6,0,1623.2,0,0,0,0,0.13,0,1,0
MidCase,p10,CA,CAISO,wscc,2025,150169090,8667657,4486382.5,1980933.2,165304060,144771522.6,82204744,62982028,37217936,0.0359,0.0539,0.182,131695.21,35433.9,0.76,0.73,91.9,1.7,0.17,11.3,858.4,0.04,92,36.9,128.9,136.8,7.3,0.98,12.7,930.7,0.07,137.3,40.4,177.7,186.7,5.9,0.71,19.9,1569.1,0.08,187.1,66.7,253.8,485,32.8,4.57,38.2,2750.1,0.24,487.2,120.2,607.3,12818207.2,241.7,24.2,1579019.4,119788,5.9,12832017.1,5150300.6,17982317.7,0,26.75,25.31,0,52.06,29.63,29.76,0,59.38,10755.3,262798.6,305911.8,139539970,83099310,7377213,1809294.8,0,0,0,0,0,12129687,32482982,0,949016.6,7316929,2905416.8,0,8414.7,3591380.8,0,59107596,11862025,0,5145.1,295.8,0,0,0,0,6908.1,10015.9,0,5956.4,986.9,1151.5,0,798.9,1623,0,20096.7,0,4289.3,20580.4,12984,0,0,0.45,0,0,0
MidCase,p10,CA,CAISO,wscc,2030,171996130,8686982,18328036,2051676.4,201062820,165813775.3,112972200,71607130,36930748,0.0359,0.0539,0.182,131695.21,40444.3,0.84,0.83,60.6,1.1,0.11,7.5,457.6,0.03,60.7,21.2,81.8,81.6,3.6,0.46,8.5,504.4,0.05,81.8,23.5,105.3,140.2,4.3,0.52,15.1,963.5,0.06,140.4,43.8,184.2,484.7,37.4,5.29,34.3,2072.1,0.24,487.2,96.2,583.4,10081115.7,190,19,1252882.4,76140.5,4.7,10091968.2,3523140.1,13615108.3,0,18.61,24.15,0,42.76,21.24,30.2,0,51.44,3720.3,64163.3,111984.4,166386430,88090616,7383318.5,1753709.2,0,0,0,0,0,17006572,25618152,0,743603.7,25226746,2910347.5,0,2037.5,14657906,0,59216904,11867141,0,5144.1,289.2,0,0,0,0,9611.3,9983.4,0,5894.1,3393.5,1153.5,0,490,6750.9,0,20096.7,0,4223.6,20576.4,54007.3,0,0,0.57,0,0.57,0
MidCase,p10,CA,CAISO,wscc,2035,210092590,8562490,26101934,2108414.8,246865440,202540929.3,155627580,89726110,21619628,0.0359,0.0539,0.182,129850.97,48524.2,0.88,0.88,46.7,0.9,0.09,5.8,352.7,0.02,46.8,16.3,63.1,59.8,2.7,0.35,6.2,366,0.03,59.9,17.1,77,52.5,1.4,0.16,5.8,374.1,0.02,52.6,17,69.6,339.7,18.7,2.54,30.9,1870.6,0.17,341,86.7,427.7,8352456.4,157.5,15.8,1031042.9,63055.6,3.8,8361456.3,2911145.7,11272602,0,17.92,23.43,8.8,50.76,20.61,29.47,9.76,60.39,3510.4,4444.7,23027.4,178758940,91237840,7268126.5,1315788.8,0,0,0,0,0,20013920,20454808,0,1160998.2,33212524,3220555.8,0,6248.8,20882050,0,59260904,11963020,0,4999.9,228.8,0,0,0,0,11300.4,9873.4,0,6670.5,4462,1201.5,0,485.8,9014.5,0,20096.7,0,3982.6,19999.6,72115.7,0,0,0.57,16.5,0.86,0
MidCase,p10,CA,CAISO,wscc,2040,243613540,7546697,39939570,2115284.8,293215070,234856653.5,173754720,95888150,20565154,0.0359,0.0539,0.182,130271.7,57720.2,0.91,0.9,36.5,0.7,0.07,4.5,275.5,0.02,36.5,12.7,49.2,45.2,1.6,0.2,5,300.7,0.03,45.3,14,59.3,29,1.2,0.15,2.9,184.6,0.01,29.1,8.4,37.5,281.2,11.4,1.47,29.6,1771.3,0.14,282,82.4,364.4,7952827.1,149.9,15,970140.3,60040.1,3.6,7961389.9,2760314.1,10721704.1,0,18.23,23.59,7.16,49.46,21.49,30.47,8.17,60.54,33341.3,111739.4,281928.3,217892060,119460376,6413985.5,969598,0,0,0,0,0,21264104,19033804,0,1424070,35432290,3219869.8,0,2792.4,31935308,0,85713570,12482702,0,4393.3,181.8,0,0,0,0,12037.5,9873.4,0,8960.1,4776.5,1201.5,0,41.8,12881.4,0,28607.7,0,3960.7,17573.3,103051.2,0,0,0.57,14.1,0.9,0
