Region,Technology Type,Qty,Unit,EP,AP,Particulate Matter Formation Potential,POCP,GWP,ODP,Water Consumption,CO2,N2O,CH4
CAISO,Biomass,1,MWh,0.261126087,4.427884375,0.225697233,143.4427973,1208.653832,6.95711E-05,35.45,1190.812693,0.036132263,0.290118351
CAISO,Coal,1,MWh,0.076411154,2.225691389,0.253458357,31.42369157,1139.842529,2.39963E-05,8168.47,1096.014539,0.017983343,1.388098356
CAISO,Natural gas,1,MWh,0.083912065,1.181336648,0.038373762,40.0311672,642.5134284,8.81225E-07,426.73,574.2658725,0.002197654,2.41285249
CAISO,Geothermal,1,MWh,0.00341074,0.382081773,0.010631799,0.46642089,115.0387633,9.91843E-12,127.69,91.44702658,2.18E-05,0.842069082
CAISO,Hydro,1,MWh,0.000188523,0.002635434,0.004168491,0.034354975,12.6554522,1.87772E-09,0.58,11.3013884,5.98E-07,0.04834575
CAISO,Mixed,1,MWh,0.100022777,1.740746684,0.152026739,49.33616599,987.4208801,1.99271E-05,1590.89,945.0144634,0.013842819,1.379147116
CAISO,Nuclear,1,MWh,0.022424012,0.249836136,0.013482937,2.11084432,18.55868365,4.27771E-09,259.45,13.53474358,0.000824329,0.159369327
CAISO,Other fossil,1,MWh,0.337003016,5.373260727,0.080792271,183.5434179,999.3154082,3.71002E-08,0.27,997.1415435,0.002282533,0.056029305
CAISO,Petroleum,1,MWh,0.226873499,6.394057421,0.471553623,100.4310708,1143.0354,6.24012E-06,428.47,1099.673859,0.009775194,1.439564823
CAISO,Other fuels,1,MWh,0.414636946,8.61871115,3.168306901,160.2772084,1.212223073,2.69216E-10,-0.02,1.163416885,1.01E-05,0.001644295
CAISO,Solar,1,MWh,0.006942481,0.10026714,0.02029868,1.14120138,22.02441874,4.82154E-07,-0.02,20.23320667,7.09E-05,0.048960039
CAISO,Solar thermal,1,MWh,0.076084862,0.518201576,0.011234197,638.5727028,84.05755334,7.16113E-09,-4955.81,79.85415402,0.00014623,0.148690971
CAISO,Wind,1,MWh,0.054676505,0.105313092,0.022253302,1.4861113,29.07740378,1.55144E-08,0.43,27.20784244,9.97E-05,0.063220932
CAISO,SCPC,1,MWh,0.044006493,1.013618303,0.128586046,13.97720626,931.4593728,2.61071E-08,8785.52,860.6726413,0,0
CAISO,SCPC w/ CCS,1,MWh,0.053192613,0.822184018,0.121477306,16.65610208,264.7563379,3.20309E-08,15909.58,174.5855518,0,0
CAISO,SubPC,1,MWh,0.046367277,1.064235207,0.134027659,14.74262554,972.0283644,2.69903E-08,9290.59,898.1596029,0,0
CAISO,SubPC w/ CCS,1,MWh,0.05506895,0.850938924,0.126501484,17.22146898,275.9259017,3.31463E-08,16730.34,181.9424928,0,0
CAISO,NGCC,1,MWh,0.028517283,0.4180708,0.006222569,14.65666741,453.6735946,3.87029E-09,3140.09,401.3808983,0,0
CAISO,NGCC w/ CCS,1,MWh,0.032473751,0.475383093,0.009071854,16.58704036,138.0010924,4.59607E-09,5382.48,78.47681267,0,0
