Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP-total (AR5) [kg CO2 eq],GWP-fossil (AR5) [kg CO2 eq],GWP-biogenic (AR5) [kg CO2 eq],GWP-luluc (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP-total (AR5),electricity_GWP-fossil (AR5),electricity_GWP-biogenic (AR5),electricity_GWP-luluc (AR5),electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP-total (AR5),nonrenewable fuel combustion_GWP-fossil (AR5),nonrenewable fuel combustion_GWP-biogenic (AR5),nonrenewable fuel combustion_GWP-luluc (AR5),nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP-total (AR5),renewable fuel combustion_GWP-fossil (AR5),renewable fuel combustion_GWP-biogenic (AR5),renewable fuel combustion_GWP-luluc (AR5),renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","nutrient supply from potash salt | inorganic potassium fertiliser, as K2O | EN15804, U",87e21c68-ccc5-42cd-b62d-147ee7077ebd,RoW,UNIT_PROCESS,"This inventory describes the supply of nutrients from ''potash salt'' for fertiliser use. ;No machinery expenditures or emissions to the environment are considered related to the actual application of this substance on soil during its agricultural use. The purpose of this activity is to connect the chemical production of ''potash salt'' with its generic use as fertilizer. The product ''potash salt'' is connected to the generic market for ''inorganic potassium fertiliser, as K2O'' through this supplying activity. In the agricultural context, ''potash salt'' can be used directly as a fertilizer input to crop production, eventually with other chemicals; alternatively, a generic input of ''inorganic potassium fertiliser, as K2O'' can be used instead, and this will represent the regional consumption mix for his type of nutrient. A way in between is allowed by using the generic input ''inorganic potassium fertiliser, as K2O'' and link to the activity providing it from a specific chemical.; In all cases, emissions associated to the application of the fertilizer have to be calculated in the crop production activity. This inventory describes the supply of nutrients from ''potash salt'' for fertiliser use. No machinery expenditures or emissions to the environment are considered related to the actual application of this substance on soil during its agricultural use. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/b21ba1a8-0b5e-4721-bbbf-eee1a76144f1/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,0.3996827754561858,0.3984628950443436,0.00015889366201123184,0.0010630852669174058,0.0026819534666735574,0.0005952389168814657,6.586943303684953e-09,0.07344317788547361,0.3639735886835008,0.0011238625563489107,1.4140998341812562e-05,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","irrigation, surface | irrigation | EN15804, U",e706f8f9-68bb-4ca3-b438-36108588e625,ES,UNIT_PROCESS,"This dataset represents the surface irrigation in Spain with a 45% irrigation efficieny (FAO 1989). The inventory includes the water pumping of ground water and surface water. The water supplied to the plants (1m3) and the water evaporated or infiltrated shall be included in the crop production datasets. This dataset starts with pumping water from wells and water bodies. This dataset ends with delivering water to the plant and includes the water pumping, energy use, but not the water emissions of irrigation (shall be included in the crop production dataset). The basins and furrows used for surface irrigation are typically made from natural materials and no infrastructure is assumed. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/7525177a-700f-44e5-b413-42b0d96bf6e1/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,m3,0.028174654134172222,0.02803691785082675,3.002787053722869e-05,0.0001077109304897398,0.00015026547107209622,6.581959029768083e-05,6.48171341424974e-10,0.00244948541639565,0.0253462259169505,8.447950716246804e-05,1.0801547366996371e-06,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0.011263773534486028,0.011260023440661083,2.0835831378275685e-06,1.6670480219319176e-06,5.057243726019374e-05,1.2809865060440907e-05,2.473611073852813e-10,0.0013403306856224178,0.010235545907677338,3.306553087125481e-05,3.690522560029784e-07,0.108745349882904,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","market for inorganic nitrogen fertiliser, as N | inorganic nitrogen fertiliser, as N | EN15804, U",1dfa3aa7-4155-4800-a349-8766ecd6446c,RU,UNIT_PROCESS,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.;This is a generic market that provides 'inorganic nitrogen fertiliser, as N' for a strictly agricultural use as fertiliser. The market combines (consumption mix) various inorganic sources for the nutrient provided for the given geography. Data for the consumption of this nutrient originate from the International Fertiliser Association.;References: Consumption of fertilisers, accessed on 5th of May 2020 at: https://www.ifastat.org/;None;No transport or losses have been considered for the generic product supplied in this market, as the transport modelled in the upstream niche markets for the more specific products do already account it.;Fertilisers are substances that furnish essential nutrients for plant growth, thereby improving the yield and in some cases the quality of plant products. 'Inorganic nitrogen fertiliser, as N' is a fertiliser with a mineral origin that is supplying the nutrient of Nitrogen to the plants. The product represents an equivalent form of Nitrogen that is present in the fertiliser and is expressed as a mass of Nitrogen (N). 'Inorganic nitrogen fertiliser, as N'  can  originate from various substances that are synthesised using fossil resources. Those substances can be, ammonia, urea etc, while the fossil resources can be natural gas, hard coal etc. This activity starts at the gate of the activities that produce ''inorganic nitrogen fertiliser, as N'' with the product ready for transportation. This activity ends with the supply of 1 kg of ''inorganic nitrogen fertiliser, as N'' to the consumers of this product within the geography of Russia. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/b3eb5dcc-4fda-41d1-9e61-50af98eeb5be/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,7.623451714341242,7.610083095989119,0.004560790277659127,0.008813894167194122,0.03039018934999045,0.015609240182785764,9.735184529055618e-08,0.30419991124831197,5.101460994701347,0.015190528126183996,0.007882239633745028,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/012:Growing of perennial crops/0127:Growing of beverage crops","tea production, dried | tea, dried | EN15804, U",2e1dc45f-bd9a-48b3-ac69-3b3449a719f2,RoW,UNIT_PROCESS,"This dataset is a weighted average of the regional datasets, with weights based on production volume of the reference product.  Detailed comments and sources about the exchanges can be found in the regional datasets.;The geographicalCorrelation score of every pedigree matrix of was changed to '5'.;Sum of regional production volumes: 2.257e+9 kg;CN: PV = 1.572e+9 kg; weight = 0.6966;KE: PV = 3.651e+8 kg; weight = 0.1618;LK: PV = 3.197e+8 kg; weight = 0.1417;Yield of the global dataset = 1440.4 kg/ha, calculated as a weighted average of the regional yields.;The comments below were part of the CN regional dataset.;This dataset represents the production of 1 kg of tea. The average yield from 2009 - 2012 is 1.1 t/ha. The data are representative for tea production in China used for the export market. Mineral NPK fertiliser input is 35-10-10 kg/ha. No organic fertilisers are applied. Total active ingredients (a.i.) applied as pesticides amount to 10.63 kg a.i./ha.;The dataset was modelled within the project 'World Food LCA database (WFLDB)'. The aim of this project was to provide inventories of a broad variety of agricultural products and processes and to cover for each product at least 50% of the global export market. The export share of tea produced in China amounts to 15% of the global export (tonnage exported in 2010). The production system regarded in this dataset aimed at representing tea produced in China for the export market.;PEF-Quality: data quality rating (DQR) = 3.2 (i.e. fair quality). This dataset refers to an average situation; for specific situations exchanges might differ substantially due to site specific parameters This activity starts with the nursery producing tree seedlings, i.e. grafted young trees to be planted. This activity ends with the waste treatment after the clearing of the orchard (rooting up the trees). The dataset includes all activities of a year in a year in the productive phase of the orchard including the establishment phase per year of lifetime (20 years), and the clearing of the orchard including waste treatment. 
The establishment phase of the orchard includes tree nursery, soil cultivation, planting trees, sowing grass, installation of trellis system (posts and wires) and irrigation. Fertiliser and pesticide use in a year of the establishment phase is assumed to be half of the amount of a year in the productive phase.
The productive phase of the orchard includes machine operations, corresponding infrastructure, fuel use and sheds. Machine operations in the productive phase are: fertiliser and pesticide application, and irrigation. Further, direct field emissions and land use change are included. At the end of the productive phase the orchard is cleared by rooting up the trees.
   Heavy metal uptake by the crop is considered.
The inputs of seedlings, fertilisers and pesticides as well as packaging of fertilisers and pesticides are considered. 
Statistical data from FAO used to assess land use change is incomplete for China. The original land use of 40.9% of annual cropland and 100% of perennial cropland transformed in the last 20 years is unknown. Land use change impacts may therefore be underestimated. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/742f0d20-900f-48c6-bfdc-5854957ad7ef/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,2.2688409953802116,1.3667856845964128,0.09910491056534604,0.8029508491670176,0.02274701451864728,0.05533794053787251,6.942385756361933e-08,0.1200144410799911,1.7293904548529755,0.006790600403781915,0.0013445911817346237,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0.06412571202262364,0.06396779306662034,0.00010738797018400898,5.056428871361184e-05,0.0004929317381740351,0.00011657209598748912,9.895473127401381e-10,0.014298726883994224,0.05825920397201053,0.0001888164726467727,1.9419448016821578e-06,0.47753743949491156,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/011:Growing of non-perennial crops/0113:Growing of vegetables and melons, roots and tubers","cauliflower production | cauliflower | EN15804, U",79032163-9ba0-4c35-9ef5-52b83b66baa0,GLO,UNIT_PROCESS,"This dataset represents  cauliflower production according to the Integrated Production standard in CH.;Yield: 22 t / ha.;Duration of one cropping cycle: 3 months.;Field production.;The LCA study, from which this LCI has been derived, contains detailed descriptions of the system boundaries and the data sources used (Stoessel et al. 2012). The publication is published and freely available with comprehensive supporting information:;http://pubs.acs.org/doi/pdf/10.1021/es2030577;Franziska Stoessel, Ronnie Juraske, Stephan Pfister, Stefanie Hellweg. (2012) Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer. Environmental Science & Technology 6(46) 3253-3262.;None;This activity was adapted to include the global average land use change (LUC) emissions according 2nd edition of the Quantis-modified tool developed by Blonk Consultants 'WFLDB-adapted-Blonk 2014 direct-land-use-change-assessment-tool_2015-05-18a.xlsx', tab. 'Country & land use unknown'. The size of the emission depends on (i) the relative crop expansion in all countries of the crop during the last 20 years and (ii) the corresponding, country specific land transformations. The current results are based on the average FAOSTAT data (harvested area) of 2009-2011 and 1989-1991. The weighted average is used which takes into account relative difference in crop expansion into primary forest, secondary forest, grassland, perennial and annual land. From seedling production. This activity ends with harvest and storage. 
The dataset includes a storage period of 1 month and it's use of electricity.  
And the greenhouse heating energy for the seedling production. The pesticide inputs are classified according to their chemical classes and the emmssions are assigned to the soil (100%). Mercury emissions are neglected due to a lack of data while other heavy metal emissions are included.  The dataset doesn't include infrastructure for production and storage facilities. No transports for agricultural means of production from the regional storage to the farm are included. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/81085100-4db3-4e42-baa6-627102aa2278/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,0.3310499720400214,0.2866994977964293,0.00020624279346824766,0.044144329236201,0.0018479321034597395,0.003935335450522525,4.543011793263798e-09,0.02850617891628265,0.23059744077355698,0.0006442891797740377,0.0003096892503969541,0.032694797415029994,0.03256405271284607,5.9346756008476074e-05,7.140075983892966e-05,0.0001452977774377717,0.00012049615322457077,2.456103839321767e-10,0.0018899222981651588,0.029173172233860407,0.00011003787747818658,1.032176910762976e-06,0.162,MJ,0.1058539539481742,0.10568917039984663,9.954431535039918e-05,6.528243753105291e-05,0.0007853565004149937,0.00018555723682911915,1.450924663522814e-09,0.02162898263932553,0.0957161908864932,0.00033014138560114395,3.0973178585919724e-06,0.8385999999999999,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","market for land tenure, arable land, measured as carbon net primary productivity, perennial crop | land tenure, arable land, measured as carbon net primary productivity, perennial crop | EN15804, U",de9ce6d3-410f-466d-a0b7-45fa18174c41,BR-PA,UNIT_PROCESS,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.;This market represents the mix of land tenure 'land tenure, arable land, measured as carbon net primary productivity, perennial crop', in Brazil, Pará. This is land that is made accessible for cultivation after deforestation, transformation from primary or secondary forest, or change from annual to perennial crops (or vice versa), and is used by activities modelling land use change only.;The production volumes and market shares of land tenure and LUC have a high level of uncertainty, which can have large impacts in overall LCIA results (Novaes et al. 2017). However, the uncertainty associated with these data could not easily be reflected in the datasets. Uncertainty assessments should take this limitation into consideration. Activity starts with the delivery of land for cultivation from the different activities. Activity ends with the provision of arable land to activities modelling land use change. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/ee099332-b613-45b5-83af-1127431ccf24/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,48.87009053768235,0.8612229728616811,0.00022779252042459783,48.18015058024293,0.041221369430203395,0.0027981555911945647,6.422783952237235e-09,1.3622676392864024,46.767863182692516,0.06365510085634764,0.001854006721032869,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","nutrient supply from potassium chloride | inorganic potassium fertiliser, as K2O | EN15804, U",402520dc-dd45-4a8a-8628-c29079fd6c28,RER,UNIT_PROCESS,"This inventory describes the supply of nutrients from ''potassium chloride'' for fertiliser use. ;No machinery expenditures or emissions to the environment are considered related to the actual application of this substance on soil during its agricultural use. The purpose of this activity is to connect the chemical production of ''potassium chloride'' with its generic use as fertilizer. The product ''potassium chloride'' is connected to the generic market for ''inorganic potassium fertiliser, as K2O'' through this supplying activity. In the agricultural context, ''potassium chloride'' can be used directly as a fertilizer input to crop production, eventually with other chemicals; alternatively, a generic input of ''inorganic potassium fertiliser, as K2O'' can be used instead, and this will represent the regional consumption mix for his type of nutrient. A way in between is allowed by using the generic input ''inorganic potassium fertiliser, as K2O'' and link to the activity providing it from a specific chemical.; In all cases, emissions associated to the application of the fertilizer have to be calculated in the crop production activity. This inventory describes the supply of nutrients from ''potassium chloride'' for fertiliser use. No machinery expenditures or emissions to the environment are considered related to the actual application of this substance on soil during its agricultural use. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/10601525-fa82-4e87-8886-e1ab022f2a35/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,1.101567223768504,1.0998486055958319,0.0010184139035631678,0.0007007327290593326,0.004891400176882727,0.002031905152615167,3.191944559299696e-08,0.09629392691930364,0.9905584601297177,0.0036298587535607426,2.8744899918796777e-05,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/011:Growing of non-perennial crops/0113:Growing of vegetables and melons, roots and tubers","market for potato seed, Swiss integrated production, at farm | potato seed, Swiss integrated production, at farm | EN15804, U",d20d91f3-6764-4cf4-be5b-f557c6d9f1f6,CH,UNIT_PROCESS,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.;This dataset represents the supply of 1 kg of 'potato seed, Swiss integrated production, at farm' from activities that produce it within the geography of CH. Transportation is included in this market, based on Valsasina, L. (2016), ""Default transport data per commodity group for Switzerland, ecoinvent database version 3.3, ecoinvent Centre, Zürich, Switzerland"", available on the ecoinvent's website http://www.ecoinvent.org/. More details can be found in the exchange comments of the transportation.  This activity starts at the gate of the activities that produce 'potato seed, Swiss integrated production, at farm' within the geography of this dataset, with the product ready for transportation. No losses are considered during the transportation. This activity ends with the supply of 1 kg of 'potato seed, Swiss integrated production, at farm' to the consumers of this product. Transport is included. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/e3825ff4-9311-4209-93ad-a63a1dea7111/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,0.13822120291402143,0.13802989698972223,9.819615574315242e-05,9.31765815743498e-05,0.002137382660181379,0.002405779979572192,4.789722091368354e-09,0.013104729124551988,0.06872720553557779,0.00030554174218564047,0.00022939976071416438,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0161:Support activities for crop production","land already in use, annual cropland to annual crop | land tenure, arable land, measured as carbon net primary productivity, annual crop | EN15804, U",21d10be1-cd84-40e8-b141-c706a1b39026,BR-RJ,UNIT_PROCESS,"This dataset represents the interventions associated with the clear-cutting of primary forest for the provision of arable land tenure, annual crop. NPP (net primary productivity of a given land, in kg C / m2 and year) and VEG (above-ground biomass, below-ground biomass and dead organic matter) values are parameterized. ;VEG values and production volumes are derived from the Appendix S1 and S2 of Novaes et al. 2017. The most updated data is available in www.cnpma.embrapa.br/forms/BRLUC.php. In this reference, VEG values of primary forests and grassland were estimated based in Brazil, 2016 and croplands, pasture man made and forest intensive VEG values based in European Commission, 2010 and weighted according to climate categories occurrence per state. NPP values are reported by Haberl et al. (2007) and the average value for Latin America is adopted. The types of exchanges and their emission factors are the same from land transformations datasets 'clear-cutting, primary forest to arable land, annual crop, BR, 2010 - 2015' and 'land already in use, annual cropland to annual crop, BR, 2010 - 2015' available in Ecoinvent database (Rossi, 2017a,b), which in turn were retrieved from Andrea & Merlet (2001).;Bibliography is listed below:;- Andrea, M.O., Merlet, P. (2001). Emission of trace gases and aerosols from biomass burning. Global Biogeochemical Cycles. V 15, N4, p.955-966.;- Brazil (2016). Third National Communication of Brazil to the United Nations Framework Convention on Climate Change âEURO“ Volume III. Ministry of Science, Technology and Innovation, BrasÃ­lia.;- European Commission (2010) Comission decision of 10 June 2010 on guidelines for the calculation of land carbon stocks for the purpose of Annex V to Directive 2009/28/EC. European Union, Brussels.;- Haberl H, Erb KH, Krausmann F, Gaube V, Bondeau A, Plutzar C, Gingrich S, Lucht W, Fischer-Kowalski M. 2007. Quantifying and mapping the human appropriation of net primary production in earth's terrestrial ecosystems. PNAS. v104 n31: 12942-12947.;- Jungbluth, N. et al. (2007) Life Cycle Inventories of Bioenergy. ecoinvent report No. 17. Dubendorf, CH: Swiss Centre for Life Cycle Inventories.;- Krausmann, F., Erb, K. H., Gingrich, S., Lauk, C., & Haberl, H. (2008). Global patterns of socioeconomic biomass flows in the year 2000: A comprehensive assessment of supply, consumption and constraints. Ecological Economics, 65(3), 471-487.;- Novaes RML, Pazianotto RA, Brandao M, Alves BJR, May A, Folegatti-Matsuura MIS. 2017. Estimating 20-year landuse change and derived CO2 emissions associated with crops, pasture and forestry in Brazil and each of its 27 states. Glob Change Biol. 23:3716âEURO“3728 .doi.org/10.1111/gcb.13708;- Rossi V, 2017a, clear-cutting, primary forest to arable land, annual crop, BR, Undefined, ecoinvent database version 3.3. Accessed in September, 2017;- Rossi V, 2017b, land already in use, annual cropland to annual crop, annual crop, BR, Undefined, ecoinvent database version 3.3. Accessed in September, 2017;[This dataset is meant to replace the following datasets:; - land already in use, annual cropland to annual crop, BR, 2010 - 2015 (6c8a79c7-b851-4805-8841-5276b952e695)] Starts with the land already in use. The dataset includes the carbon stored in Above-Ground Biomass (AGB) and Below-Ground Biomass (BGB) pools. It includes the fluxes from these carbon pools in terms of CO2. 
The loss/gain of Soil Organic Carbon (SOC) usually associated with a land tranformation is accounted for in the downstream activity using the arable land tenure, given that it depends on the subsequent land use practice. 
This activity ends with the provision of arable land tenure, measured in unit kg carbon Potential Net Primary Production (NPP).
 Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/b9d28280-2e56-4aa4-a58a-c20a85a0f79f/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A:Agriculture, forestry and fishing/01:Crop and animal production, hunting and related service activities/016:Support activities to agriculture and post-harvest crop activities/0163:Post-harvest crop activities","operation, dried roughage store, non ventilated | operation, dried roughage store, non ventilated | EN15804, U",4e35ccbe-4666-42d7-97de-f4b85617ed35,CA-QC,UNIT_PROCESS,"The module includes the use of energy and auxiliary materials for the operation of lighting, impeller blower and ventilator. The functional unit is kg DM hay (DM: dry matter).;[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.];Child dataset exchanges identical to GLO dataset. Created to enable linking to regional markets (e.g. for electricity). Data quality indicators adjusted accordingly. The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents. Also included is the use of the infrastructure. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water. Dataset documentation: https://v391.ecoquery.ecoinvent.org/Details/UPR/cb7c52af-a46a-4831-a7b8-3444338203c7/290c1f85-4cc4-4fa1-b0c8-2cb7f4276dce (corresponding process in the cut-off system model)",1.0,kg,0.01792009497741709,0.017237199060668656,0.0005950443080610068,8.787218432186925e-05,0.00016752759243863873,0.00021603859490611877,2.229039227882011e-10,0.0016678335782105327,0.01590572971355915,6.70939145496758e-05,5.932912536582346e-07,0.0001346341987458742,6.72059234292623e-05,5.402828597256996e-06,6.202547764583454e-05,3.9194762380446035e-07,1.5877031300344934e-07,9.441651282368997e-13,5.50240093409727e-06,0.00011553540642701442,3.5755366675857267e-07,3.040886284760727e-08,0.018324,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,0,0,MJ
