Process Name,UUID,Qty,Unit
"electricity, high voltage, import from UZ | electricity, high voltage | EN15804, U",04f25089-7c46-47d2-979d-cb2199c9e30d,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",32e0fdf4-1f52-49cf-af5e-b40ed708fe7d,1,MJ
"electricity production, lignite | electricity, high voltage | EN15804, U",1bee4bd4-91be-4026-9923-69e3a6c8c86f,1,MJ
"electricity, high voltage, import from FI | electricity, high voltage | EN15804, U",aee164fc-e627-4888-9489-72e09d3bf524,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",ffb7cf9e-6eb5-475f-8e07-e9e622ec95f3,1,MJ
"electricity, high voltage, import from ES | electricity, high voltage | EN15804, U",ee57154c-cc96-42c0-9121-21197f262504,1,MJ
"electricity, high voltage, import from HR | electricity, high voltage | EN15804, U",41037263-08ad-4260-91c3-d76de84f9bea,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",3137d933-7a6b-43d2-b216-f17b30aed060,1,MJ
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | EN15804, U",65058d3a-0de5-447c-84c0-19563cf74a70,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",12f78203-9481-468d-9b35-930724268c80,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",a81d1662-efe6-4db9-bf98-dc472f513197,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",b3f2e957-a545-4395-98e7-2a572e287ef1,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",740f22ad-e725-4397-a7dd-27c7d4472678,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",cc83d759-3270-4aa9-b7a3-30672ae1928b,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",dad0da73-a27f-4b72-8053-d19199858c50,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",4f8ae057-3361-442d-8fcb-a1c48312af1a,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",cdedbc29-d932-4df1-84e4-b11e5bd1d12b,1,MJ
"electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | EN15804, U",4dbe645f-f0dd-441c-b471-c2a4c90ddc7a,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",55f80e13-906a-498b-922d-f590f2830067,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",a7829b6a-9b22-48af-9719-887095ea23d2,1,MJ
"electricity production, deep geothermal | electricity, high voltage | EN15804, U",d7a38968-167f-4cb6-bc45-22bc8d8f1140,1,MJ
"treatment of coal gas, in power plant | electricity, high voltage | EN15804, U",af71a0fc-1880-4324-b20e-b7b45045b909,1,MJ
"electricity, high voltage, import from GR | electricity, high voltage | EN15804, U",f5ef065a-d5c0-4350-ba73-913e05051f04,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",4c0e8c70-bed8-45fc-a3ec-892db5b8adef,1,MJ
"market group for electricity, high voltage | electricity, high voltage | EN15804, U",0314faa8-14d4-45c1-a376-dd4d65aafb17,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",f5d1c314-06a1-4344-96e7-9b052363103e,1,MJ
"electricity production, peat | electricity, high voltage | EN15804, U",ad5c4647-4585-498f-8586-c48cbb52ffec,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",9525ba53-736e-44af-ab03-2a0f8ba95303,1,MJ
"sulfate pulp production, from softwood, bleached | electricity, high voltage | EN15804, U",b18c2c4e-60a1-44d8-8ab0-38cf5442b806,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",e61b676c-d1fa-4a4f-95f1-0d796b03d229,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",03571b85-db5d-431f-9cd7-44deb7ec8337,1,MJ
