name,UUID,declared_qty,declared_unit,conversion_factor,converted_unit
"blow moulding | blow moulding | EN15804, U",e3716672-40aa-4da2-bff5-aae3d33ae904,1,kg,6.12,MJ
"blow moulding | blow moulding | EN15804, U",ec4afb08-e6ca-419f-b33f-b640684a377f,1,kg,6.12,MJ
"blow moulding | blow moulding | EN15804, U",f5abe8b8-80b7-49f1-bfdb-1f9f39f86e31,1,kg,6.12,MJ
"market for blow moulding | blow moulding | EN15804, U",413dc0cd-5643-483b-b7f6-c7bb3548efbb,1,kg,6.12,MJ
"market for stretch blow moulding | stretch blow moulding | EN15804, U",548be5b5-b1da-488c-abf9-7ad3db078c96,1,kg,9.18,MJ
"stretch blow moulding | stretch blow moulding | EN15804, U",2eaf161e-3a00-4e5e-83e8-28edc82fa322,1,kg,9.18,MJ
"stretch blow moulding | stretch blow moulding | EN15804, U",d2f06933-ced3-4eb2-85cd-95d779420dad,1,kg,9.18,MJ
"stretch blow moulding | stretch blow moulding | EN15804, U",dd59e0ae-7970-4915-962c-502fa204582e,1,kg,9.18,MJ
"sheet rolling, chromium steel | sheet rolling, chromium steel | EN15804, U",2e76027a-3a51-47ec-97ee-ddacaffa9068,1,kg,1.639,MJ
"sheet rolling, chromium steel | sheet rolling, chromium steel | EN15804, U",b1ace13f-713a-4286-a6db-327a822771b5,1,kg,1.639,MJ
"market for sheet rolling, chromium steel | sheet rolling, chromium steel | EN15804, U",f246f1f5-8604-4488-a720-17fa60bb7872,1,kg,1.639,MJ
"market for synthetic gas | synthetic gas | EN15804, U",11565faf-5638-4e50-8727-5afeca382d8c,1,m3,5.3,MJ
"market for synthetic gas | synthetic gas | EN15804, U",f0cf88ac-920f-48c1-82e4-2fbcbee9e923,1,m3,5.3,MJ
"synthetic gas production, from wood, at fixed bed gasifier | synthetic gas | EN15804, U",e9463b41-bdb3-4643-8c61-740b84766f32,1,m3,5.2,MJ
"synthetic gas production, from wood, at fixed bed gasifier | synthetic gas | EN15804, U",cfac3b26-4611-4980-bdf4-de0bdc59353f,1,m3,5.2,MJ
"synthetic gas production, from wood, at fluidized bed gasifier | synthetic gas | EN15804, U",c2b46ddf-b4d8-4408-ad15-a30d2f6c4fbe,1,m3,5.4,MJ
"synthetic gas production, from wood, at fluidized bed gasifier | synthetic gas | EN15804, ",55ea1c23-3618-4c79-9acb-79537499891a,1,m3,5.4,MJ
"charcoal production | charcoal | EN15804, U",1ad4eaf7-439c-49c6-9f5b-7411d88f95e1,1,kg,28.4,MJ
"market for charcoal | charcoal | EN15804, U",b7ba8888-00e3-413f-9161-788fc2764b73,1,kg,28.4,MJ
"hardwood forestry, birch, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",2b2371f4-84c5-4cc0-bb10-4de9be9a4e21,1,kg,19.6,MJ
"hardwood forestry, birch, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",1b416563-bef5-4e52-b2eb-c5b04a1a3897,1,kg,19.6,MJ
"market for bundle, energy wood, measured as dry mass | bundle, energy wood, measured as dry mass | EN15804, U",b05fe3ac-3bfd-421b-b79f-b875b3325aa1,1,kg,19.96,MJ
"market for bundle, energy wood, measured as dry mass | bundle, energy wood, measured as dry mass | EN15804, U",6cd6c546-502a-4207-aea6-17c3b497ae1f,1,kg,20.146,MJ
"softwood forestry, pine, sustainable forest management | bundle, energy wood, measured as dry mass | EN15804, U",1c50c30b-52e1-44db-9ade-7183f25e4031,1,kg,20.4,MJ
