Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP,electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP,nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP,renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, West North Central",a92f1110-9bee-3fa5-82c9-a922cfa84c06,RNA,UNIT_PROCESS,"This dataset represents the West North Central U.S. (MT, NE, ND, SD, WY (Reference 10)) average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.049013525146267965,0.0005228673752992435,5.483717961677896e-05,1.0734551568680844e-10,0.018252095215613266,0.048799106105727845,5.947078401918849e-06,1.7792687406782346e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Mixed recyclables, at collection, commercial",d4647fd6-57bf-3557-b3fe-be8dbc0eb6da,US,UNIT_PROCESS,"This attributional unit process LCI represents the estimated transport requirements per unit weight of postconsumer recyclables from commercial sources. The LCI study was conducted by Franklin Associates, Ltd. and sponsored jointly by NAPCOR, the American Chemistry Council (ACC), the Association of Postconsumer Plastic Recyclers (APR), and the PET Resin Association (PETRA). Using life cycle inventory (LCI) methodology, the study determines and quantifies the energy requirements, solid wastes, and atmospheric and waterborne emissions for the processes required to collect postconsumer PET and HDPE packaging, sort and separate the material, and reprocess it into clean recycled resin.

Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process. Please email comments to lci@nrel.gov.",1.0,kg,0.10203585139334513,0.00015878257197073426,5.310016711041679e-05,1.9902356032561398e-10,0.005435565624002445,0.09901541833860313,1.0403719152766661e-05,1.0293966953672029e-05,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, East North Central",f16cca9e-8d63-3dca-a1a6-7e3f9e54b313,RNA,UNIT_PROCESS,"This dataset represents the East North Central U.S. (IA, MI, MN, WI (Reference 10)) average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.0500014697190073,0.0005260559753195377,5.5473279216174543e-05,1.094888639373447e-10,0.018364770485286123,0.04978064600933234,6.095621137162378e-06,1.8634382867020257e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,"Transport, pipeline, natural gas",57cdac3b-a289-330e-8e55-6b7e2c6885fb,RNA,UNIT_PROCESS,"Fugitive and non-combustion greenhouse gas emissions from natural gas pipeline intra- and inter-state transmission and distribution are updated values representative of the average for the U.S. in 2009. The data and metadata for energy consumption during transport of natural gas are available in full in the final report and appendices, Cradle-to-Gate Life Cycle Inventory of Nine Plastic Resins and Four Polyurethane Precursors. This report has been extensively reviewed within Franklin Associates and has undergone partial critical review by ACC Plastics Division members and is available at: www.americanchemistry.com.  Quantities may vary slightly between the reference to main source and and this module due to rounding. Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process.  Please email comments to lci@nrel.gov.",1.0,t*km,0.15780607600108726,4.001088075823247e-05,2.4648893923245737e-06,3.063966664425873e-12,0.0013386189294471455,0.02747416201280526,0.004654278495740993,4.550875863052253e-08,0,0,0,0,0,0,0,0,0,N/A,0.02979541851938016,4.001088075823245e-05,2.4648893923245758e-06,3.063966664425873e-12,0.00127294976890769,0.02733569302804028,8.741462085020252e-05,4.550875863052254e-08,0.4743465097493398,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, passenger car, gasoline powered",553fff99-b003-39a4-b53e-a9b3da050c71,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a gasoline powered passenger car. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.1883264405889357,0.0005441307231597752,0.0001143229588204156,3.9858703613983704e-10,0.0185951303969608,0.18592276627715973,2.939678877072738e-05,5.953683301076326e-06,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, Southwest",f54c5355-f6cf-3a17-8564-d01fb359af48,RNA,UNIT_PROCESS,"This dataset represents the Southwestern U.S. (AZ, CO, NM, UT (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.014572672422664657,0.0001451450076824628,1.5642119278727395e-05,3.186913052443218e-11,0.005076329176326317,0.014488987645990431,2.128526177506548e-06,9.005024359212947e-08,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, East North Central",f10a3980-2f50-3f3c-be84-abb02ff0ba33,RNA,UNIT_PROCESS,"This dataset represents the East North Central U.S. (IA, MI, MN, WI (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.1252662794206048,0.0011234047001594245,0.00012666653027515516,2.742847404662336e-10,0.039183763024517065,0.1247065122350049,1.5353424212327924e-05,4.828466707958412e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Southeast",015667f8-18c8-3f3c-bcb9-903185af6f04,RNA,UNIT_PROCESS,"This dataset represents the Southeast U.S. (AL, FL, GA, NC, SC, VA (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.1298954094981095,0.00107351902951922,0.00012556479452470419,2.844140770253333e-10,0.03743391664852893,0.1293177023543503,1.5826565175048723e-05,5.002852315699603e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
Asphalt Mixture_Parameterized/Asphalt Binder,"Asphalt binder, x% ground rubber tire (GRT), consumption mix, at terminal, from crude oil, x% ground rubber tire",78f5734a-b99e-4dd7-a05d-715ad4c55a7c,RNA,UNIT_PROCESS,"This inventory is based on the asphalt binder inventory in NAICS #4247, for varying percentages of GRT.
Tnis is based on the slopes in Figure 4.8, LCA for Asphalt Binder, by Sphera. Using slopes calculated by table provided by Sphera. 
When using this inventory only the following indicators are reliable:
TRACI 2.1: GWP and AP
CED: Sum of Non-renewable, fossil + Non-renewable, nuclear",1.0,kg,0.649026628578648,0.0018731657143464,1.0980719117854745e-05,0.0,0.0377,0.649026628578648,0.0,0.0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
CDD to USLCI,Bridge_CDD_to_USLCI_gasoline,86591c27-a7c1-491c-bdc0-9d584a83679b,,UNIT_PROCESS,This process links an input in a CDD process to a provider from USLCI,1.0,m3,536.6387689981398,0.8423860673684452,1.2931881637924152,5.720047924244207e-06,31.681550567818416,527.8711358475865,0.2707150823174536,0.004348835220203358,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
