Status ,CLF Baselines Report Category 1,CLF Baselines Report Category 2,product,Method,Data Source,Scale Factor,Value,CLF report GWP value (kg CO2e / declared unit),Declared qty,Declared unit,Baseline method A (data source),Baseline method B (calculation),CLF data source representativeness assessment approach,Data source (short) and notes,Data Source - full,Data source(s) include additional life cycle stage info beyond A1-A3,Geography,Density,Density unit,,sctg code,FYI Transport Descriptin,waste_rate_category,eol material,DRF Category,,compressive strength (psi),weight classification,Intented Application for insulation ,Service Life [yr] for insulation material,Thickness  (m) when RSI=1 for insulation material,RSI /inch (or 25.4mm) for insulation material (m2C/W),GWP-total (AR5) [kg CO2 eq],GWP-fossil (AR5) [kg CO2 eq],GWP-biogenic (AR5) [kg CO2 eq],GWP-luluc (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP/SFP [kg O3 eq],ADP fossil (MJ),CO2 [kg],CH4 [kg],N2O [kg],Stored Biogenic Carbon?,Biomaterial Type/Species/Category,carbon fration of biomass (may use 0.5 as a default value),mositure content (%),ratio between the molecular mass of CO2 and C molecules,biamass weight percentage of product (%) (base on dry mass).,C (dry mass basis) (based on calculation),%C (dry mass basis) (based on reference),Density Needed?,Density based on mositure content [kg/unit],Density based on oven dry  [kg/unit],Biogenic Carbon Content [kg C/unit],Biogenic CO2 Content [kg CO2/unit],GWP-total - Biogenic CO2 stored [kgCO2eq],GWP-biogenic - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential,Mineral C
Complete,Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3z96ry,0.999805913,Baseline,753,1,metric ton,Industry,single,industry data,"Rebar industry-average EPD (CRSI, 2022). CLF converted from the industry EPD's fabricated result to unfabricated GWP. ",Concrete Reinforcing Steel Institute (CRSI). (2022). Environmental Product Declaration: Steel Reinforcement Bar. UL Environment.,FALSE,North Ameica,7850,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,753.1461762,N/A,N/A,N/A,1.529525653,0.076185866,8.03E-10,33.59148112,736.6892546,,,,No, ,,,,,,,,,,,,,,,,,
Complete,Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3e0pbq,1.026041667,High-80th%,788,1,metric ton,N/A,N/A,N/A,Unfabricated steel reinforcing bar,Steel Dynamics Inc (2022),FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,768,N/A,N/A,N/A,3.98,0.0747,8.53E-12,23.8,6.85E+03,,,,No,,,,,,,,,,,,,,,,,,
Complete,Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3bb6ka,0.878906077,Low-20th%,616,1,metric ton,N/A,N/A,N/A,Steel Concrete Reinforcing Bar and Merchant Bar Products-Utah (UT) Unfabricated. converted from the EPD's fabricated result to unfabricated,Nucor (2023),FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,700.8712488,N/A,N/A,N/A,1.529525653,0.07124879,2.05E-11,25.36302033,757.018393,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3z96ry,1,Baseline,854,1,metric ton,Industry,single,industry data,"Rebar industry-average EPD (CRSI, 2022) ",Concrete Reinforcing Steel Institute (CRSI). (2022). Environmental Product Declaration: Steel Reinforcement Bar. UL Environment.,FALSE,North Ameica,7850,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,854,N/A,N/A,N/A,2.17,0.117,1.09E-09,49.1,1.02E+03,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rbxbs,0.996511628,High-80th%,857,1,metric ton,N/A,N/A,N/A,Fabricated Steel Reinforcing Bar (Rebar),Steel Dynamics Inc. (2022),FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,860,N/A,N/A,N/A,4.66,0.114,2.66E-10,38.2,8006.69,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec38txs8,1.015558699,Low-20th%,718,1,metric ton,N/A,N/A,N/A,Concrete Reinforcing Steel Bar ,CMC Steel Oklahoma (2021),FALSE,North Ameica,7833,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,,N/A,,,,,,707,N/A,N/A,N/A,1.43,0.0662,2.40E-09,21.4,704,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,1,Baseline,901,1,metric ton,Industry,single,industry data,"Hot-rolled structural steel sections industry-average LCA report (JBE, 2025) ",John Beath Environmental (JBE). (2025). Life Cycle Assessment of Hot-Rolled Structural Steel Sections. AISC. https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,FALSE,North Ameica,7850,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,901,N/A,N/A,N/A,2.75,1.79,9.33E-06,46.5,1.03E+04,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3e0mzb,1,High-80th%,930,1,metric ton,N/A,N/A,N/A,Unfabricated structural steel sections,Steel Dynamics Inc (2022),FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,930,N/A,N/A,N/A,5.33,0.1,-9.89E-12,28.5,1.67E+04,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3pwwzr,1.172649573,Low-20th%,686,1,metric ton,N/A,N/A,N/A,HiRec Beam Unfabricated,Nucor 2024,FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,585,N/A,N/A,N/A,2.01,0.133,4.17E-05,38.5,7.29E+03,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,1,Baseline,"1,080",1,metric ton,Industry,single,industry data,"Hot-rolled structural steel sections industry-average LCA report (JBE, 2025) ",John Beath Environmental (JBE). (2025). Life Cycle Assessment of Hot-Rolled Structural Steel Sections. AISC. https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1080,N/A,N/A,N/A,3.35,2.36,1.14E-05,58.4,1.27E+04,,,,No,,,,,,,,,,,,,,,,,,
