Taxonomy,Category,Sub-category,Flow,UUID,Location Code,Location Name,Process Type,Description,Qty,Unit,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Electricity_GWP,Electricity_AP,Electricity_EP,Electricity_ODP,Electricity_POCP,Electricity_CO2,Electricity_CH4,Electricity_N2O,Electricity_Qty,Electricity_Unit,Nonrenewable Fuel Combustion (Direct)_GWP,Nonrenewable Fuel Combustion (Direct)_AP,Nonrenewable Fuel Combustion (Direct)_EP,Nonrenewable Fuel Combustion (Direct)_ODP,Nonrenewable Fuel Combustion (Direct)_POCP,Nonrenewable Fuel Combustion (Direct)_CO2,Nonrenewable Fuel Combustion (Direct)_CH4,Nonrenewable Fuel Combustion (Direct)_N2O,Nonrenewable Fuel Combustion (Direct)_Qty,Nonrenewable Fuel Combustion (Direct)_Unit,Renewable Fuel Combustion (Direct)_GWP (AR5) [kg CO2 eq],Renewable Fuel Combustion (Direct)_AP,Renewable Fuel Combustion (Direct)_EP,Renewable Fuel Combustion (Direct)_ODP,Renewable Fuel Combustion (Direct)_POCP,Renewable Fuel Combustion (Direct)_CO2,Renewable Fuel Combustion (Direct)_CH4,Renewable Fuel Combustion (Direct)_N2O,Renewable Fuel Combustion (Direct)_Qty,Renewable Fuel Combustion (Direct)_Unit,Compound/Substance Name,URL creation,PUG-REST,(text split 1),(text split 2),InChIKey,Kingdom,Superclass,Class,Subclass,Parent level 1,Parent level 2,Parent level 3,Stored Biogenic Carbon?,Biomaterial Type/Species/Category,%C (dry mass basis),Density Needed?,Density [kg/unit] (dry basis),Biogenic Carbon Content [kg C/unit],Biogenic CO2 Content [kg CO2/unit],GWP - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential?,Accelerated Carbonation Uptake [kgCO2],GWP-total - Accelerated Carbonation Uptake [kgCO2eq]
31-33: Manufacturing/3251: Basic Chemical Manufacturing,31-33: Manufacturing,3251: Basic Chemical Manufacturing,"Acetic acid, at plant",e4a61018-9f98-3049-95c1-33b1acaa904e,RNA,North America,UNIT_PROCESS,"Changed process on 12/9/2024 to reflect recovered energy as avoided natural gas combustion.
Important note: although most of the data in the US LCI database has 
undergone some sort of review, the database as a whole has not yet 
undergone a formal validation process.
Please email comments to lci@nrel.gov.",1,kg,1.343276309,0.004497855,0.000299482,1.61E-09,0.100129246,1.049050731,0.010398562,1.14E-05,0.01357338,2.86E-05,1.52E-06,1.88E-10,0.000621173,0.012815429,2.54E-05,1.66E-07,0.08595468,MJ,0.53881843,0.000725191,4.46E-05,5.46E-11,0.023072177,0.49313625,0.001552008,8.40E-06,8.545689735,MJ,0,0,0,0,0,0,0,0,0,MJ,Acetic acid,#N/A,#N/A,#N/A,#N/A,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3251: Basic Chemical Manufacturing,31-33: Manufacturing,3251: Basic Chemical Manufacturing,"Acrylonitrile, at plant",a2e7aa17-9318-3bb8-91d6-22a32a9e8019,RNA,North America,LCI_RESULT,"Complete inventory data and metadata are available in full in the final report and appendices, Cradle-to-Gate Life Cycle Inventory of Nine Plastic Resins and Four Polyurethane Precursors. This report has been extensively reviewed within Franklin Associates and has undergone partial critical review by ACC Plastics Division members and is available at: www.americanchemistry.com. Quantities may vary slightly between the reference to main source and and this module due to rounding.  Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process.  Please email comments to lci@nrel.gov.",1,kg,2.268201506,0.010853197,0.00036762,1.05E-08,0.157789398,1.7661,0.01769909,2.41E-05,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,Acrylonitrile,#N/A,#N/A,#N/A,#N/A,NLHHRLWOUZZQLW-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Organic cyanides,Nitriles,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3251: Basic Chemical Manufacturing,31-33: Manufacturing,3251: Basic Chemical Manufacturing,Acrylonitrile; at plant,13abc978-777f-4929-9990-4f53976d032f,US,United States,UNIT_PROCESS,"This gate-to-gate unit process is for the production of 1 kg acrylonitrile by ammoxidation of proylene (Sohio process). The modeled system is only representative of key material and energy inputs required to produce acrylonitrile. Exchanges associated with production capital are not modeled. Production inventory data were developed using GREET 2019 and an Argonne National Laboratory Carbon Fiber pathway report. 
",1,kg,2.547183332,0.006046263,0.000699714,4.55E-09,4.158896425,2.210237625,0.009732276,0.000242968,0.064212385,0.000138825,7.35E-06,9.57E-10,0.002952801,0.060766124,0.000115091,7.68E-07,0.3996,MJ,0.153245242,0.000539407,1.53E-05,9.25E-10,0.007062255,0.14121809,0.000349148,8.49E-06,2.09907632,MJ,0,0,0,0,0,0,0,0,0,MJ,Acrylonitrile,#N/A,#N/A,#N/A,#N/A,NLHHRLWOUZZQLW-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Organic cyanides,Nitriles,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",31-33: Manufacturing,"3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant",0e42a306-ee2d-362e-8bc3-580000096459,RNA,North America,UNIT_PROCESS,"This gate-to-gate unit process represents the production of one kilogram of acrylonitrile-butadiene-styrene, ABS, copolymer resin produced in North America. The studied system boundary includes elementary flows associated with upstream raw material extraction and processing, incoming transport, manufacturing of ABS, and disposal of process wastes. The manufacture of ABS resin is accomplished by combining three monomers; polybutadiene, acrylonitrile, and styrene. The two standard technologies for ABS production in North America are emulsion or mass polymerization. Both technologies are represented within this production dataset. This unit process includes cutoff flows that represent process waste disposal. There are no coproducts in this unit process so no allocation was performed for ABS manufacturing.",1,kg,3.22940105,0.006121222,0.001320399,6.09E-08,1.075659442,2.940873044,0.009167745,0.000112859,0.290980446,0.000629091,3.33E-05,4.34E-09,0.013380711,0.275363607,0.000521538,3.48E-06,1.8108,MJ,0.17248404,0.000232147,1.43E-05,1.75E-11,0.007385826,0.157860501,0.00049682,2.69E-06,2.735604801,MJ,0,0,0,0,0,0,0,0,0,MJ,Acrylonitrile-butadiene-styrene,#N/A,#N/A,#N/A,#N/A,XECAHXYUAAWDEL-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Styrenes,Styrenes,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
Asphalt Mixture_Parameterized/EPD Based System Processes,Asphalt Mixture_Parameterized,EPD Based System Processes,"Aggregate; Vulcan Materials; 3/4"" x #4 Gravel",17e78f90-247f-404d-a831-8236a7b8cfbb,,,LCI_RESULT,"Data retrieved from:
McEwan, Laurel (2016). Environmental Product Delcaration for Concrete Aggregate Products.
Link: https://www.vulcanmaterials.com/docs/default-source/default-document-library/pleasanton-epd_final",1,kg,0.004700559,4.00E-05,1.50E-06,1.20E-10,0.00068,0.0047,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,0,4.70E-03
Asphalt Mixture_Parameterized/EPD Based System Processes,Asphalt Mixture_Parameterized,EPD Based System Processes,"Aggregate; Vulcan Materials; 3/8"" Pea Gravel",54884122-06d8-492f-95d4-43db2343b1d1,,,LCI_RESULT,"Data retrieved from:
McEwan, Laurel (2016). Environmental Product Delcaration for Concrete Aggregate Products.
Link: https://www.vulcanmaterials.com/docs/default-source/default-document-library/pleasanton-epd_final",1,kg,0.004820578,4.00E-05,1.50E-06,1.24E-10,0.00069,0.00482,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,,,,,,,,,,,,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,0,4.82E-03
31-33: Manufacturing/3313: Alumina and Aluminum Production and Processing,31-33: Manufacturing,3313: Alumina and Aluminum Production and Processing,"Alumina, at plant",91beb684-4d04-38b9-8800-a274762a9d44,RNA,North America,UNIT_PROCESS,"Before it can be used in the manufacture of metallic aluminum, bauxite ore must be refined to nearly pure aluminum oxide, usually called alumina. The Bayer process is the preferred method for bauxite refining. Bauxite is crushed and dissolved in digesters using strong caustic soda and lime solution. The undissolved residue, known as red mud, is filtered out. Sodium aluminate remains in solution, where it is hydrolyzed and precipitated as aluminum hydroxide, which is then calcined to alumina in a rotary kiln. Red mud filtered from the digester liquid is considered solid waste in this analysis. Red mud production rates vary depending on the quality of the ore and the level of alumina recovery.
Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process.
Please email comments to lci@nrel.gov.",1,kg,1.361714341,0.004605621,0.000456575,2.79E-09,0.094568786,1.296480334,0.002113402,2.28E-05,0.083059928,0.000406991,1.36E-05,3.55E-11,0.00434178,0.078440158,0.00015107,1.47E-06,0.392868,MJ,0.979618204,0.002052542,0.000246193,1.20E-09,0.046751795,0.92891034,0.001680535,1.38E-05,13.26777295,MJ,0,0,0,0,0,0,0,0,0,MJ,Alumina,#N/A,#N/A,#N/A,#N/A,TWNQGVIAIRXVLR-UHFFFAOYSA-N,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,Miscellaneous metallic oxoanionic compounds,Miscellaneous aluminates,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3313: Alumina and Aluminum Production and Processing,31-33: Manufacturing,3313: Alumina and Aluminum Production and Processing,"Aluminum ingot, production mix, at plant",a8eb9a6a-e8e6-3da6-a3ab-20dcf68e883a,US,United States,UNIT_PROCESS," Important note: although most of the data in the US LCI database has  undergone some sort of review, the database as a whole has not yet  undergone a formal validation process. Please email comments to lci@nrel.gov.",1,kg,4.624450641,0.028175632,0.000501163,2.69E-10,0.228496441,4.1097388,0.006926004,5.13E-05,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,Aluminum,#N/A,#N/A,#N/A,#N/A,XAGFODPZIPBFFR-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,Homogeneous post-transition metal compounds,,Homogeneous post-transition metal compounds,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,56: Administrative and Support and Waste Management and Remediation Services,5621: Waste Collection,"Aluminum recovery, transport, to plant",d20197e1-967f-35cb-95c1-0dbde806c367,RNA,North America,UNIT_PROCESS,"Separate unit processes are shown for automotive and UBC (used beverage container) scrap; however, it was determined that the recovery rates and processing requirements for these 2 markets are similar, and thus the results for the 2 markets are the same. Atmospheric, waterborne, and solid waste emissions represent process emissions only, not fuel combustion emissions.,  Important note: although most of the data in the US LCI database has  undergone some sort of review, the database as a whole has not yet  undergone a formal validation process. Please email comments to lci@nrel.gov.",1,kg,0.036206229,0.000154037,2.40E-05,6.77E-11,0.005283728,0.03589478,3.68E-06,7.85E-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,Aluminum,#N/A,#N/A,#N/A,#N/A,XAGFODPZIPBFFR-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,Homogeneous post-transition metal compounds,,Homogeneous post-transition metal compounds,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
31-33: Manufacturing/3313: Alumina and Aluminum Production and Processing,31-33: Manufacturing,3313: Alumina and Aluminum Production and Processing,"Aluminum, cold rolling, at plant",2b196386-eb1a-352a-aeda-4d003144f6df,RNA,North America,LCI_RESULT,"The data set covers all relevant process steps and technologies over the supply chain of the represented cradle-to-gate inventory with a good overall data quality. The inventory is mainly based on industry data from the Aluminum Association and is completed, where necessary, by secondary data.",1,kg,5.314994166,0.028632025,0.000620769,4.76E-10,0.253545343,4.7922,0.0080649,6.21E-05,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ,Aluminum,#N/A,#N/A,#N/A,#N/A,XAGFODPZIPBFFR-UHFFFAOYSA-N,Inorganic compounds,Homogeneous metal compounds,Homogeneous post-transition metal compounds,,Homogeneous post-transition metal compounds,,,FALSE,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A
