Flow,Qty,Unit,UUID,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Elec_Qty,Elec_Unit,Elec_GWP,Elec_AP,Elec_EP,Elec_ODP,Elec_POCP,Elec_CO2,Elec_CH4,Elec_N2O
"Acetic acid, at plant",1,kg,e4a61018-9f98-3049-95c1-33b1acaa904e,1.354517044,0.004513003,0.000301187,1.62E-09,0.100613947,1.059351828,0.01043048,1.16E-05,0.607142908,MJ,0.09637672,0.000208363,1.10E-05,1.44E-09,0.004424749,0.091204208,0.000172741,1.15E-06
"Acrylonitrile, at plant",1,kg,a2e7aa17-9318-3bb8-91d6-22a32a9e8019,2.268201506,0.010853197,0.00036762,1.05E-08,0.157789398,1.7661,0.01769909,2.41E-05,0,MJ,0,0,0,0,0,0,0,0
Acrylonitrile; at plant,1,kg,13abc978-777f-4929-9990-4f53976d032f,2.549050066,0.006050352,0.000763431,5.06E-09,4.159889617,2.213041648,0.009700021,0.000242835,0.943477498,MJ,0.136760279,0.000295671,1.57E-05,2.04E-09,0.006278797,0.129420393,0.000245122,1.64E-06
"Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant",1,kg,0e42a306-ee2d-362e-8bc3-580000096459,3.257346565,0.006163412,0.00150729,6.24E-08,1.079507604,2.969630727,0.009138957,0.000112823,2.787723515,MJ,0.433045662,0.000936231,4.96E-05,6.45E-09,0.019881546,0.409804222,0.000776169,5.18E-06
"Alumina, at plant",1,kg,91beb684-4d04-38b9-8800-a274762a9d44,1.399875547,0.004779878,0.00052342,2.34E-08,0.098147734,1.333796544,0.002123911,2.46E-05,1.002139758,MJ,0.123895394,0.00051674,2.07E-05,1.05E-09,0.006306305,0.118000571,0.000192253,1.85E-06
"Aluminum ingot, production mix, at plant",1,kg,a8eb9a6a-e8e6-3da6-a3ab-20dcf68e883a,4.624450641,0.028175632,0.000501163,2.69E-10,0.228496407,4.1097388,0.006926004,5.13E-05,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, cold rolling, at plant",1,kg,2b196386-eb1a-352a-aeda-4d003144f6df,5.314994166,0.028632025,0.000620769,4.76E-10,0.253545081,4.7922,0.0080649,6.21E-05,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, extrusion, at plant",1,kg,77fe2197-8861-3569-8d85-07151789b1e7,6.555227767,0.037457901,0.000773635,4.41E-10,0.33029903,5.8547,0.010398,0.000083942,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, hot rolling, at plant",1,kg,381d3e3d-29ae-3101-a95b-56a4cec08486,3.921854819,0.021888406,0.000425942,2.68E-10,0.188320954,3.519,0.0059234,0.000043883,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, primary ingot, at plant",1,kg,99963138-ddf9-3b32-9e93-69593d76cb08,8.90333901,0.056442608,0.000969886,4.63E-10,0.448493354,7.8747,0.013279,9.99E-05,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, primary, ingot, at plant, 1998",1,kg,21aeedbf-933a-3570-8b9e-a44dc6fa6637,13.62015597,0.080651501,0.002237984,4.96E-08,0.6225121,10.48901969,0.016411621,0.000188892,58.67918402,MJ,6.22427686,0.050107849,0.000814331,4.56E-09,0.394853082,5.901105944,0.01022716,0.000138568
"Aluminum, primary, smelt, at plant",1,kg,4b0fe164-84c7-31e2-a3fc-ff570cd264e1,13.33244268,0.079520918,0.002157936,4.94E-08,0.606516913,10.21670541,0.015902921,0.000184538,57.96618331,MJ,6.152066059,0.049462699,0.000804857,4.65E-09,0.390079031,5.83264321,0.010109514,0.000136847
"Aluminum, secondary ingot, at plant",1,kg,bcc68f88-debb-3fc3-93ee-5ceadcef0b14,0.674707531,0.002083039,6.85E-05,9.03E-11,0.025422303,0.63439,0.0010617,6.49E-06,0,MJ,0,0,0,0,0,0,0,0
"Aluminum, secondary, extruded",1,kg,eb50f56e-3104-3eb1-8d18-7add74f841e7,2.421927242,0.005375331,0.000250414,1.75E-08,0.103953227,2.269599226,0.004833743,2.95E-05,7.260990465,MJ,1.166780565,0.002522543,0.000133612,1.74E-08,0.053568027,1.104159777,0.002091277,1.40E-05
"Aluminum, secondary, ingot, at plant, 1998",1,kg,f525f32d-e3e4-3434-883d-e4b224a47524,0.697702112,0.001153045,8.74E-05,2.04E-09,0.034417032,0.645442775,0.001764254,1.06E-05,0.794269126,MJ,0.127632419,0.000275937,1.46E-05,1.90E-09,0.005859728,0.120782423,0.000228762,1.53E-06
"Aluminum, secondary, ingot, from automotive scrap, at plant",1,kg,3d53c055-f03b-381f-966e-6d61abbe88a0,0.973657893,0.00173458,0.000118026,5.91E-09,0.046957749,0.906038861,0.002278145,1.40E-05,2.413277386,MJ,0.387793534,0.000838397,4.44E-05,5.78E-09,0.017803977,0.366980763,0.000695061,4.64E-06
"Aluminum, secondary, ingot, from beverage cans, at plant",1,kg,9cc8fafa-e232-3d86-a473-6b5d04431999,0.973657893,0.00173458,0.000118026,5.91E-09,0.046957749,0.906038861,0.002278145,1.40E-05,2.413277386,MJ,0.387793534,0.000838397,4.44E-05,5.78E-09,0.017803977,0.366980763,0.000695061,4.64E-06
"Aluminum, secondary, rolled",1,kg,3f888c9f-35e2-3162-bc14-49700cff888c,2.444112723,0.018615436,0.00108571,1.90E-08,0.573267794,2.295451493,0.004706026,2.91E-05,7.889714101,MJ,1.267811205,0.002740968,0.000145181,1.89E-08,0.058206441,1.199768132,0.002272359,1.52E-05
"Aluminum, secondary, shape casted",1,kg,a9fd0eec-60dd-3506-8a22-6f8715f80f4e,2.529910568,0.004948153,0.000238279,8.21E-09,0.106717292,2.346871572,0.005902527,3.38E-05,3.014429127,MJ,0.483170963,0.0010446,5.53E-05,7.20E-09,0.022182847,0.457239312,0.000866011,5.78E-06
"Aluminum, sheet, coated, at plant",1,kg,0f02f4bf-055b-35ff-ac40-1a21be06165f,4.827141599,0.029107186,0.000607628,2.15E-09,0.258716405,4.306020613,0.007136793,5.31E-05,0.662104282,MJ,0.106328324,0.000229878,1.22E-05,1.58E-09,0.004881636,0.100621713,0.000190577,1.27E-06
