LCA Stage,Process,Material,Amount,Unit,GWP,AP,EP,ODP,SFP
C3,Recycle,Aluminum,1,kg,0.24300,0.0006500,0.00078100,0.00000000790000,0.005520
C3,Recycle,Steel,1,kg,0.02180,0.0001650,0.00011700,0.00000000213000,0.003360
C3,Recycle,Drywall,1,kg,0.02180,0.0001650,0.00011700,0.00000000213000,0.003360
C3,Recycle,Concrete,1,kg,0.00323,0.0000425,0.00000330,0.00000000000613,0.001380
C3,Recycle,Polyethylene,1,kg,0.71400,0.0016200,0.00244000,0.00000000692000,0.023700
C3,Recycle,Polypropylene,1,kg,0.35800,0.0009960,0.00174000,0.00000000439000,0.014800
C3,Recycle,Wood,1,kg,0.00947,0.0000268,0.00004630,0.00000000011300,0.000283
C3,Compost,Wood,1,kg,0.00947,0.0000268,0.00004630,0.00000000011300,0.000283
C4,Incinerate,Polystyrene,1,kg,3.17000,0.0003260,0.00148000,0.00000000119000,0.010100
C4,Incinerate,Polyethylene,1,kg,3.00000,0.0003100,0.00140000,0.00000000114000,0.009570
C4,Incinerate,Polypropylene,1,kg,2.54000,0.0003030,0.00118000,0.00000000107000,0.009380
C4,Incinerate,Polyvinylchloride,1,kg,2.33000,0.0030700,0.00231000,0.00000004630000,0.040800
C4,Incinerate,Unspecified Plastics,1,kg,2.35000,0.0005370,0.00121000,0.00000000301000,0.014600
C4,Incinerate,Wood,1,kg,0.01270,0.0002910,0.00073000,0.00000000084300,0.009190
C4,Landfill,Aluminum,1,kg,0.02790,0.0002100,0.00003740,0.00000000511000,0.003550
C4,Landfill,Steel,1,kg,0.01340,0.0000917,0.00002660,0.00000000408000,0.002520
C4,Landfill,Drywall,1,kg,0.01520,0.0249000,0.00001800,0.00000000421000,0.002650
C4,Landfill,Inert,1,kg,0.01340,0.0000917,0.00002660,0.00000000408000,0.002520
C4,Landfill,Paint,1,kg,0.09150,0.0000954,0.01120000,0.00000000159000,0.002590
C4,Landfill,Polyurethane,1,kg,0.09730,0.0001310,0.03170000,0.00000000428000,0.003070
C4,Landfill,Polystyrene,1,kg,0.11900,0.0000945,0.01560000,0.00000000409000,0.002590
C4,Landfill,Polyethylene,1,kg,0.11400,0.0000939,0.01460000,0.00000000409000,0.002580
C4,Landfill,Polypropylene,1,kg,0.09810,0.0000935,0.01230000,0.00000000409000,0.002570
C4,Landfill,Polyvinylchloride,1,kg,0.06720,0.0002460,0.00793000,0.00000000409000,0.002560
C4,Landfill,Unspecified Plastics,1,kg,0.09130,0.0001030,0.01300000,0.00000000410000,0.002610
C4,Landfill,Wood,1,kg,0.16000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,Bamboo,1,kg,0.16000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,Agricultural Residues- Low Lignin,1,kg,3.08000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,Agricultural Residues- High Lignin,1,kg,1.15000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,Cellulose,1,kg,1.17000,0.0001430,0.00639000,0.00000000416000,0.002660
C4,Landfill,Fungi,1,kg,5.95000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,Concrete,1,kg,0.00741,0.0000537,0.00000773,0.00000000282000,0.001530
D,Compost,Wood,1,kg,0.0777,0.000428,0.000255,0.0000000033,0.00369
D,Recycle,Wood,1,kg,0.476,0.00261,0.00509,0.00000000271,0.0286
C4,Landfill,DEFAULT_BIOBASED,1,kg,0.16000,0.0000934,0.00723000,0.00000000409000,0.002540
C4,Landfill,DEFAULT_OTHER,1,kg,0.01340,0.0000917,0.00002660,0.00000000408000,0.002520
