Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - ALL - B.C. Hydro & Power Authority,1,MJ,25afca4e-ecc1-3b02-8054-b7a2311e3484,0.019890379,5.99E-05,9.09E-06,7.48E-10,0.001705275,0.018381747,5.18E-05,1.32E-07
Electricity - ALL - Hydro-Quebec TransEnergie,1,MJ,d41b1948-c4eb-3a6c-94cb-03552af64b0b,0.003405797,5.74E-06,1.32E-05,3.01E-10,5.62E-05,0.003058015,1.16E-05,9.58E-09
Electricity - ALL - Manitoba Hydro,1,MJ,34e96a45-3ff2-3d0f-83d7-5cd0505a0d47,0.003061348,5.60E-06,1.28E-05,1.46E-10,1.54E-05,0.002719639,1.14E-05,5.36E-10
Electricity - ALL - New Brunswick System Operator,1,MJ,ff3784f5-1902-3aa8-ab43-2150987c9d2b,0.135074438,0.000294478,1.56E-05,1.88E-09,0.005857014,0.127695604,0.000245982,1.64E-06
Electricity - ALL - Ontario IESO,1,MJ,7eefdabc-2b19-3e20-b9cd-82a77c8ca5a0,0.028420306,9.71E-05,8.70E-06,7.38E-11,0.002097118,0.02552991,9.83E-05,2.40E-07
Electricity - BIOMASS - Arizona Public Service Company,1,MJ,fea72fcd-f4ca-3d50-8be5-cefbc0269588,0.458569809,0.000701158,4.04E-05,0,0.022643566,0.449490324,0.000147415,1.87E-05
"Electricity - BIOMASS - Associated Electric Cooperative, Inc.",1,MJ,01c2797c-fa4d-3920-96e5-130064f3c3bd,0.232194387,0.003036007,0.000186892,0,0.104622458,0.231963902,4.26E-06,4.20E-07
Electricity - BIOMASS - Avista Corporation,1,MJ,d567ef9d-7d7c-303c-b43c-0cbb8bc9b5dd,0.394737844,0.000392055,2.19E-05,5.19E-08,0.012283151,0.386349234,0.000135088,1.70E-05
Electricity - BIOMASS - Balancing Authority of Northern California,1,MJ,979627fb-f9e3-317b-a6bd-e5ab21448a21,0.205795783,0.002772973,0.000170841,0,0.095636921,0.205591503,3.77E-06,3.72E-07
Electricity - BIOMASS - Bonneville Power Administration,1,MJ,9c9e194b-3ba6-3264-808d-93495d81021b,0.282410366,0.000994349,5.79E-05,1.70E-08,0.032848095,0.278556709,6.11E-05,7.96E-06
