assembly,POD|LCA RSL Category,material,qty,unit
"Rainscreen, Thin brick",encl_rs_thinbrick,"3/4"" Brick",44.11040554,m3
"Rainscreen, Thin brick",encl_rs_thinbrick,Type S Mortar,11329,kg
"Rainscreen, Thin brick",encl_rs_thinbrick,Galvanized Steel Backer Tray,425,kg
"Rainscreen, Thin brick",encl_rs_thinbrick,,,
"Rainscreen, Thin brick",encl_rs_thinbrick,Galvanized Steel Support System,4039,kg
"Rainscreen, Thin brick",encl_rs_thinbrick,Thermal Break,,
"Rainscreen, Thin brick",encl_rs_thinbrick,"3.5"" Mineral Wool insulation",2315.527263,m2
"Rainscreen, Thin brick",encl_rs_thinbrick,AVB membrane,2315.299793,m2
"Rainscreen, Thin brick",encl_rs_thinbrick,Sheathing,,m3
"Rainscreen, Thin brick",int_steelstuds,"6"" Galvanized Steel Stud Framing",14975,kg
"Rainscreen, Thin brick",fin_gwb,Gypsum Wall Board,2315.550854,m2
"Rainscreen, Thin brick",fin_paint,Acrylic latex paint,,
