SCTG code,material
01,animals and fish (live)
02,cereal grains (includes seed)
03,"agricultural products (excludes animal feed, cereal grains, and forage products)"
04,"animal feed, eggs, honey, and other products of animal origin"
05,"meat, poultry, fish, seafood, and their preparations"
06,"milled grain products and preparations, and bakery products"
07,"other prepared foodstuffs, fats and oils"
08,alcoholic beverages and denatured alcohol
09,tobacco products
10,monumental or building stone
11,natural sands
12,gravel and crushed stone (excludes dolomite and slate)
13,other non-metallic minerals not elsewhere classified
14,metallic ores and concentrates
15,coal
16,crude petroleum
17,"gasoline, aviation turbine fuel, and ethanol (includes kerosene, and fuel alcohols)"
18,"fuel oils (includes diesel, bunker c, and biodiesel)"
19,"other coal and petroleum products, not elsewhere classified"
20,basic chemicals
21,pharmaceutical products
22,fertilizers
23,other chemical products and preparations
24,plastics and rubber
25,logs and other wood in the rough
26,wood products
27,"pulp, newsprint, paper, and paperboard"
28,paper or paperboard articles
29,printed products
30,"textiles, leather, and articles of textiles or leather"
31,non-metallic mineral products
32,base metal in primary or semi-finished forms and in finished basic shapes
33,articles of base metal
34,machinery
35,"electronic and other electrical equipment and components, and office equipment"
36,motorized and other vehicles (includes parts)
37,"transportation equipment, not elsewhere classified"
38,precision instruments and apparatus
39,"furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
40,miscellaneous manufactured products
41,waste and scrap (excludes of agriculture or food)
43,mixed freight
