SCTG_2digits,Average_Distance_per_Shipment
1,1761.1233334976948
2,1761.1233334976948
3,1761.1233334976948
4,1761.1233334976948
5,1846.2546405178553
6,1846.2546405178553
7,1846.2546405178553
8,1846.2546405178553
9,1846.2546405178553
10,1860.536650598689
11,1860.536650598689
12,1860.536650598689
13,1860.536650598689
14,1860.536650598689
15,1887.0210753486806
16,1764.516938852566
17,1764.516938852566
18,1764.516938852566
19,1764.516938852566
20,1845.0685501963892
21,1845.0685501963892
22,1845.0685501963892
23,1845.0685501963892
24,1845.0685501963892
25,1818.2193139118892
26,1818.2193139118892
27,1818.2193139118892
28,1818.2193139118892
29,1818.2193139118892
30,2315.8221204435827
31,1805.1258442591636
32,1805.1258442591636
33,1805.1258442591636
34,2315.8221204435827
35,2315.8221204435827
36,2006.8584947067063
37,2006.8584947067063
38,2315.8221204435827
39,2315.8221204435827
40,2315.8221204435827
41,1532.1731740835107
42,2093.9983445106955
