material,SCTG 
FireSprinklers,409
SmokeDetectors,409
AHUs,344
RTUs,344
AirTerminals,344
AirFilters,344
Fans,343
Boilers,343
HeatExchangers,343
HeatPumps,343
Pumps,343
Chillers,344
VRFSystems,344
Ducts,331
PipeInsulation,331
EquipmentInsulation,331
Lighting,358
LightingFixtures,358
LightingControls,358
LightBulbs,358
ElectricalGenerationEquipment,351
Photovoltaics,351
WindTurbines,342
FueledElectricalGenerators,342
OtherGeneration,342
ElectricalTransmission&DistributionEquipment,358
PowerCabling,358
ElectricalInsulators,358
ACTransformers,351
ElectricalSwitchgear,351
ElectricalSubstations,351
ElectricalPowerStorage,359
Batteries,359
OtherElectricalPowerStorage,359
OtherElectricalEquipment,359
Piping,331
PlumbingEquipment,409
StorageTanks,409
WaterHeaters,409
PlumbingFixtures,312
Faucets,409
Valves,409
Sinks,312
ShowerHeads,409
HandDryers,409
ShowerBars,409
OtherPlumbingFixtures,409
PlumbingVessels,312
Bathtubs,409
WaterClosets,312
ToiletBowls,312
ToiletTanks,312
Urinals,312
Bidets,312
Sinks,312
Showers,409
MaterialHandling,349
CastDecksAndUnderlayment,319
Grouting,319
CementGrout,319
PrecastConcrete,319
Masonry,319
Brick,319
CMU,319
GMU,319
Steel,32
Coil,322
ColdFormedSteel,322
DeckingSteel,322
MBQ,323
PostTensioningSteel,323
PrefabricatedSteelAssemblies,323
MiscMetalFabrication,323
OpenWebMembranes,323
MetalRailings,331
MetalStairs,322
RebarSteel,323
StructuralSteel,323
Hollow,323
HotRolled,323
PlateSteel,323
WireMeshSteel,323
Aluminium,324
AluminiumBillets,324
AluminiumExtrusions,324
AluminiumSheetGoods,324
Timber,26
CompositeLumber,262
DimensionLumber,262
WoodDecking,262
WoodFraming,262
HeavyTimber,269
MassTimber,269
NonStructuralWood,263
SheathingPanels,263
PrefabricatedWood,26
PrefabricatedWoodTruss,26
PrefabricatedWoodInsulatedPanels,26
WoodJoists,26
Unfinished,26
Sheathing,319
CementitiousSheathingBoard,319
GypsumSheathingBoard,319
DampproofingAndWaterproofing,241
FireAndSmokeProtection,409
AppliedFireproofing,409
Firestopping,409
FlashingAndSheetMetal,322
Insulation,409
BlanketInsulation,409
BlownInsulation,409
BoardInsulation,409
FoamedInPlace,409
MechanicalInsulation,409
SprayedInsulation,409
MembraneRoofing,241
BituminousRoofing,241
SinglePlyEPDM,241
SinglePlyKEE,241
SinglePlyOther,241
SinglePlyPVC,241
SinglePlyPolyurethane,241
SinglePlyTPO,241
RoofCoverBoards,409
SteepSlopeRoofing,409
WeatherBarriers,409
AirBarriers,409
JointProtection,409
JointSealants,409
FabricStructures,409
InsulatedRoofPanels,409
InsulatedWallPanels,409
RoofPanels,409
Siding,409
CompositionSiding,409
Fiber-cementSiding,409
HardboardSiding,409
InsulatedSiding,409
MetalSiding,339
AluminiumSiding,339
SteelSiding,339
ZincSiding,339
PlywoodSiding,263
PolypropyleneSiding,241
SolidSiding,263
SolidSiding,263
VinylSiding,241
StoneCladding,10
WallPanels,409
CurtainWalls,313
DoorsAndFrames,264
IntegratedDoorsOpeningAssemblies,264
MetalDoorAndFrames,264
SpecialtyDoorsAndFrames,264
SlidingGlassDoors,264
SpecialFunctionDoors,264
PanelDoors,264
WoodDoors,264
Entrances,264
Glazing,313
NAFSFenestration,313
GlazedDoors,313
Mirrors,313
UnitSkylights,313
Windows,313
GlassPanes,313
FlatGlassPanes,313
ProcessedNonInsulatingGlassPanes,313
FenestrationParts,313
FenestrationAccessories,313
FenestrationFraming,313
FenestrationHardware,313
InsulatingGlazingUnits,313
GlazingIGU,313
Storefronts,313
TranslucentWallAndRoofAssemblies,313
WindowWallAssemblies,313
BackingAndUnderlay,409
CeilingPanel,409
AcousticalCeilings,409
AluminiumSuspensionAssembly,409
SteelSuspensionAssembly,409
CementBoard,319
DeckingBoards,319
Flooring,409
AccessFlooring,409
Carpet,303
Laminate,409
OtherFlooring,409
ResilientFlooring,241
WoodFlooring,269
TerrazzoFlooring,409
FluidFlooring,409
GlassFiberReinforcedGypsumFabrications,319
Gypsum,319
GypsumSupports,409
MgoBoard,319
PaintingAndCoating,231
PowderCoatings,231
Tiling,312
WallFinishes,231
WallandDoorProtection,231
Countertops,409
AcrylicSheet,241
Chairs,39
Tables,39
WorkSurfaces,39
DemountablePartitions,39
StorageFurniture,39
OtherFurniture,39
Elevators,349
StructuredCabling,358
BlanketFacing,409
DoorsHardware,409
FlooringAccessories,409
Mortar,319
TileGrout,319
WallBase,409
StuccoPlasterandRender,319
ConcreteAdmixtures,239
Aggregates,120
LightweightAggregates,120
CarpetBacking,301
CarpetFiber,301
CementitiousMaterials,13
Cement,13
SupplementaryCementitiousMaterials,13
Glass,313
AccessFlooringPedestals,409
Textiles,301
Copper,324
ExteriorSunControlDevices,409
GypsumFinishingCompounds,319
Piping,331
Profiles,409
CleaningProducts,233
Clothing,303
FoodBeverage,7
Zinc,324
