material,scenario,destination state,origin state,SCTG code,domestic mode,domestic mode efficiency,domestic distance (km),return trip factor,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),CH4 fossil(kg),N2O(kg)
Photovoltaics,National,,,35,Truck,Low,2218.501513533324,1.0,207.93235548616295,0.0,0.0,0.0,1.7211290037097478,0.20033068667205917,4.503558072472648e-07,59.88768519331143,207.0511001299421,0.026400168011046558,0.0,0.0005324403632479978
Photovoltaics,National,,,35,Truck,Median,2218.501513533324,1.0,235.1894418918269,0.0,0.0,0.0,2.063878613544592,0.23381674851733117,5.080368465991313e-07,71.9675590445912,233.78046048807428,0.044591880422019815,0.0,0.0006012139101675308
Photovoltaics,National,,,35,Truck,High,2218.501513533324,1.0,269.19495255548367,0.0,0.0,0.0,1.8583765998444868,0.2359686949854585,5.834658980592643e-07,64.609830001411,268.10185692673855,0.03172457164352654,0.0,0.0007587275176283969
Photovoltaics,National,,,35,Rail,Low,857.77822,1.0,12.9587000363327,0.0,0.0,0.0,0.042116910602,0.009092449132,2.9764904234e-08,1.5100885340723,12.817086856658241,0.0022645345008000003,0.0,0.00029421792946
Photovoltaics,National,,,35,Rail,Median,857.77822,1.0,16.19837483097132,0.0,0.0,0.0,0.052667582708,0.011408450326,3.7227574748e-08,1.88761131092404,16.02135942860102,0.002830668126,0.0,0.00036798685638
Photovoltaics,National,,,35,Rail,High,857.77822,1.0,19.43805048338816,0.0,0.0,0.0,0.06321825481400001,0.013638673698,4.460446744e-08,2.26513322999756,19.22563114276558,0.0033968017512000003,0.0,0.00044175578330000006
Photovoltaics,National,,,35,Air,Low,4589.301233333334,1.0,3063.20202759563,0.0,0.0,0.0,7.445356480572434,2.4993013265647,9.637532590000001e-06,232.42129677052822,3048.255940125804,0.4506693811133334,0.0,0.008536100294000001
Photovoltaics,National,,,35,Air,Median,4589.301233333334,1.0,3829.0025333472117,0.0,0.0,0.0,9.306694453390234,3.124125510880567,1.2023969231333335e-05,290.5266186685096,3810.3199285992305,0.5634193338138667,0.0,0.010693071873666669
Photovoltaics,National,,,35,Air,High,4589.301233333334,1.0,4594.803039098794,0.0,0.0,0.0,11.168037015509267,3.748954284497667,1.4456298885000002e-05,348.6319451557923,4572.383912483357,0.6761004469959001,0.0,0.012850043453333333
Photovoltaics,National,,,35,Barge,Low,2218.501513533324,1.0,207.93235548616295,0.0,0.0,0.0,1.7211290037097478,0.20033068667205917,4.503558072472648e-07,59.88768519331143,207.0511001299421,0.026400168011046558,0.0,0.0005324403632479978
