Balancing Authority,FERC Region,Eutrophication Potential,Acidification Potential,Particulate Matter Formation Potential,Photochemical Smog Formation Potential,Global Warming Potential,Ozone Depletion Potential,Water Consumption
Balancing Authority of Northern California,CAISO,0.000147696,0.002157928,5.76E-05,0.072173863,1.341916022,1.22E-09,0.410272936
California Independent System Operator,CAISO,0.002674302,0.035960888,0.001516592,1.528687504,17.31627892,6.01E-08,6.772176392
Imperial Irrigation District,CAISO,2.55E-05,0.000454102,1.40E-05,0.011834522,0.421556258,2.93E-10,0.480750282
Los Angeles Department of Water and Power,CAISO,0.000666143,0.010338817,0.000808866,0.294772074,6.906572422,9.22E-08,12.90497882
Turlock Irrigation District,CAISO,0.000138517,0.001902752,0.000120318,0.062081583,1.491488029,1.76E-09,0.595161267
B.C. Hydro & Power Authority,Canada,8.02E-05,0.001315538,7.75E-05,0.042511898,0.411153661,1.94E-08,0.086529854
Hydro-Quebec TransEnergie,Canada,2.89E-05,0.000295969,4.12E-05,0.008859673,0.149135668,4.05E-09,0.005478569
Manitoba Hydro,Canada,2.86E-06,1.05E-05,1.01E-05,0.000141422,0.029705633,4.78E-12,0.001314225
New Brunswick System Operator,Canada,2.40E-05,0.000472261,3.80E-05,0.009513661,0.178685964,3.35E-09,1.593935686
Ontario IESO,Canada,0.000127872,0.001400902,8.06E-05,0.028806078,0.371543787,4.03E-09,18.80591327
"Electric Reliability Council of Texas, Inc.",ERCOT,0.007536264,0.144539741,0.010423028,3.306331821,52.54023403,6.06E-07,263.8835474
ISO-NE,ISO-NE,0.00159718,0.020828368,0.000990822,0.579575656,12.53100502,2.08E-07,6.002460377
"Associated Electric Cooperative, Inc.",MISO,0.000655847,0.016293486,0.000984773,0.291618915,4.54408433,9.32E-08,56.47192835
"Electric Energy, Inc.",MISO,7.52E-05,0.002697664,0.000187615,0.028047432,0.822901434,2.22E-08,11.15390082
LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,MISO,0.000531481,0.012024963,0.002434949,0.21735019,8.64684174,1.03E-07,24.06399737
