Section,depth (in),width (in),thickness (mm),Guage,Stud_Area,Track,Track_Area
350S137-33,3.5,1.37,33,20,0.232,350T150-33,0.225
350S137-43,3.5,1.37,43,18,0.3,,0.293
350S137-54,3.5,1.37,54,16,0.372,,0.367
350S137-68,3.5,1.37,68,14,0.461,,0.462
350S137-97,3.5,1.37,97,12,,350T150-97,0.659
400S137-33,4,1.37,33,20,0.249,400T150-33,0.242
400S137-43,4,1.37,43,18,0.323,,0.315
400S137-54,4,1.37,54,16,0.401,,0.396
400S137-68,4,1.37,68,14,0.497,,0.498
400S137-97,4,1.37,97,12,0.686,,0.71
600S137-33,6,1.37,33,20,0.318,600T125-33,0.294
600S137-43,6,1.37,43,18,0.413,,0.383
600S137-54,6,1.37,54,16,0.514,,0.48
600S137-68,6,1.37,68,14,0.64,,0.605
600S137-97,6,1.37,97,12,0.889,,0.862
