Species,Region,Material Form,%C (dry basis),Dry Density (0% moisture),Dry density unit,Moisture % (Green),Rotation Period [years],Growth Model
Unspecified,Unspecified,Unspecified,47.88,,,100,100,Normal
Woody plants,,,48.16,,,100,60,Normal
Bamboo,GLO, Stem,49.2,,,100,6,Normal
Shrub Willow,GLO,All,50.31,,,100,4,Normal
Wood,,,49.37,,,100,60,Normal
Wood (EN16449),,,50,,,100,60,Normal
Wood Species,,,50.72,,,100,60,Normal
Hybrid Poplar,,,49.09,,,100,60,Normal
Juniper,,,52.58,,,100,60,Normal
Pinyon Juniper,,,51,,,100,60,Normal
Loblolly Pine,,,52.33,,,100,60,Normal
Lodge Pole Pine,,,50.44,,,100,60,Normal
Maple,,,50.01,,,100,60,Normal
Oak,,,50.21,,,100,60,Normal
Pine,,,51.07,,,100,60,Normal
Pinyon Pine,,,52.6,,,100,60,Normal
Poplar,,,49.83,,,100,60,Normal
Tulip Poplar,,,49.24,,,100,60,Normal
Willow,,,50.23,,,100,60,Normal
Wood Intermediates and Co-Products,,,50,,,100,60,Normal
Miscellaneous Softwood,SE,Roundwood,50,380,,100,60,Normal
Miscellaneous Softwood,SE,Sawlog,50,470,,100,60,Normal
Miscellaneous Softwood,INW,Roundwood,50,451,,100,60,Normal
Miscellaneous Softwood,INW,Wood Chips,50,451,,100,60,Normal
Miscellaneous Wood,PNW,Roundwood,50,425,,100,60,Normal
Miscellaneous Softwood,PNW,Roundwood,50,380,,100,60,Normal
Miscellaneous Hardwood,PNW,Roundwood,50,470,,100,60,Normal
Miscellaneous Softwood,PNW,Sawlog,50,464.28,,100,60,Normal
Miscellaneous Softwood,NE-NC,Roundwood,50,380,,100,60,Normal
Miscellaneous Hardwood,SE,Roundwood,50,532.35,,100,60,Normal
Miscellaneous Hardwood,E,Roundwood,50,510.2702703,,85,60,Normal
Miscellaneous Hardwood,INW,Roundwood,50,470,,100,60,Normal
Miscellaneous Hardwood,NE-NC,Roundwood,50,456.684492,,87,60,Normal
Miscellaneous Hardwood,E,Sawlog,50,510.162597,,100,60,Normal
Miscellaneous Hardwood,NE-NC,Bark,50,,,100,60,Normal
Miscellaneous Softwood,PNW,Bark,50,,,100,60,Normal
Miscellaneous Softwood,INW,Bark,50,,,100,60,Normal
Miscellaneous Softwood,NE-NC,Bark,50,,,100,60,Normal
Miscellaneous Wood,US,Residue,50,,,100,60,Normal
Miscellaneous Hardwood,NE-NC,Pulpwood,50,580.6,,100,60,Normal
Miscellaneous Softwood,US,Pulpwood,50,380,,100,60,Normal
Miscellaneous Wood,US,Wood Products,47.76,526.1905889,,100,,
Miscellaneous Wood,US,Medium Density Fiberboard,46.94,741,,100,60,Normal
Miscellaneous Wood,US,Fiberboard,46.94,,,100,60,Normal
Miscellaneous Wood,US,Micro Lams (LVL),48.16,,,100,60,Normal
