Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",ba0160e9-f2e1-4ed9-a230-b2fb9fb69d7b,1,MJ
"petrol, unleaded, burned in machinery | petrol, unleaded, burned in machinery | EN15804, U",38d95b46-2d55-490f-99c5-8bac12295b28,1,MJ
"market for petrol, unleaded, burned in machinery | petrol, unleaded, burned in machinery | EN15804, U",24fd1f30-9a36-4394-a862-8e625c9a7733,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",0d44ba01-b33d-4b96-80a6-64ac954fd2f9,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",380ae591-605f-44bc-88b0-a3d781bdb970,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",3e7b4f5c-0f32-4b92-a6eb-af0352c79184,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",675d6494-dae9-43fa-a789-7d204747c103,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",4b0a8b36-fec7-4118-b1ee-b344f290ebaa,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",42b5ba7a-a6bc-458c-b888-b99ec71552b6,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",9fd9451e-4ff9-432e-84cc-df76579b3ac7,1,MJ
"market for water pump operation, diesel | water pump operation, diesel | EN15804, U",2f31a0b4-06ed-48af-9748-88046ab7c2b1,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",9487efac-e53e-4bcd-9519-ad7fe86f0cbd,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",43d30048-9977-4c93-88b9-fa6fee12faa5,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",1704d36f-93c7-4dfd-a22c-c2b20fede314,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",c840337b-31fd-4e44-ac55-b25ff17693bf,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",b939a00d-79fd-405c-a6d5-834140008221,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",89d78288-76a9-4afc-9c78-bf5c9b92f99b,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",729c05c3-0cb2-4102-b098-f456c4187cae,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",ca9701bb-6317-4a4d-a9b7-405ff5745422,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",7f669ef0-5eb3-4273-a07d-65955c016801,1,MJ
"water pump operation, diesel | water pump operation, diesel | EN15804, U",069f59b7-d3ac-4d1d-a762-d5a482bc9f8b,1,MJ
"hard coal, import from ZA | hard coal | EN15804, U",2cecaa71-80cf-4769-8adb-f742559dc30a,1,kg
"hard coal preparation, coal washing | hard coal | EN15804, U",3ab1ea1e-1064-4179-9cc1-e7826f6814c5,1,kg
"hard coal, import from ID | hard coal | EN15804, U",fc810825-0270-4278-b9eb-56c472d839c5,1,kg
"hard coal, import from ID | hard coal | EN15804, U",cc7ab3eb-4286-408e-8869-c1e93c03e709,1,kg
"market for hard coal | hard coal | EN15804, U",0e9e50f0-c955-4ad2-831f-a667d9667380,1,kg
