Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],NREF [MJ],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP,electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_NREF,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP,nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_NREF,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP,renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_NREF,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, West North Central",a92f1110-9bee-3fa5-82c9-a922cfa84c06,RNA,UNIT_PROCESS,"This dataset represents the West North Central U.S. (MT, NE, ND, SD, WY (Reference 10)) average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.04972286191171789,0.000522634883988322,5.4714910242567394e-05,1.1595599526631364e-10,0.018306854152524792,0.6250490736938453,0.04924229401220421,1.5524976710941823e-05,1.702469287554559e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Mixed recyclables, at collection, commercial",d4647fd6-57bf-3557-b3fe-be8dbc0eb6da,US,UNIT_PROCESS,"This attributional unit process LCI represents the estimated transport requirements per unit weight of postconsumer recyclables from commercial sources. The LCI study was conducted by Franklin Associates, Ltd. and sponsored jointly by NAPCOR, the American Chemistry Council (ACC), the Association of Postconsumer Plastic Recyclers (APR), and the PET Resin Association (PETRA). Using life cycle inventory (LCI) methodology, the study determines and quantifies the energy requirements, solid wastes, and atmospheric and waterborne emissions for the processes required to collect postconsumer PET and HDPE packaging, sort and separate the material, and reprocess it into clean recycled resin.

Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process. Please email comments to lci@nrel.gov.",1.0,kg,0.10270094820606729,0.00015648157950910342,5.1113033538801676e-05,2.0773315170296138e-10,0.0054712380510330665,1.1726045041978979,0.09918842616238094,2.8164808630134945e-05,1.027441915382002e-05,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, East North Central",f16cca9e-8d63-3dca-a1a6-7e3f9e54b313,RNA,UNIT_PROCESS,"This dataset represents the East North Central U.S. (IA, MI, MN, WI (Reference 10)) average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.05072496968173227,0.0005258188418971937,5.534856851176268e-05,1.1827126738553633e-10,0.01842062278386144,0.6375293140655971,0.05023268296756391,1.586475958745361e-05,1.785105392964254e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,"Transport, pipeline, natural gas",57cdac3b-a289-330e-8e55-6b7e2c6885fb,RNA,UNIT_PROCESS,"Fugitive and non-combustion greenhouse gas emissions from natural gas pipeline intra- and inter-state transmission and distribution are updated values representative of the average for the U.S. in 2009. The data and metadata for energy consumption during transport of natural gas are available in full in the final report and appendices, Cradle-to-Gate Life Cycle Inventory of Nine Plastic Resins and Four Polyurethane Precursors. This report has been extensively reviewed within Franklin Associates and has undergone partial critical review by ACC Plastics Division members and is available at: www.americanchemistry.com.  Quantities may vary slightly between the reference to main source and and this module due to rounding. Important note: although most of the data in the US LCI database has undergone some sort of review, the database as a whole has not yet undergone a formal validation process.  Please email comments to lci@nrel.gov.",1.0,t*km,0.15780711373856549,4.001211298327044e-05,2.4604573944204276e-06,3.0832210295481953e-12,0.0013389343074763803,0.4992508312201028,0.027474060840030522,0.004654319747381892,4.5448256130569394e-08,0,0,0,0,0,0,0,0,0,0,N/A,0.029796456256858374,4.001211298327045e-05,2.4604573944204276e-06,3.083221029548195e-12,0.0012732651469369249,0.4992508312201028,0.027335591855265507,8.74558724911018e-05,4.5448256130569295e-08,0.4743465097493398,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4859: Other Transit and Ground Passenger Transportation,"Transport, passenger car, gasoline powered",553fff99-b003-39a4-b53e-a9b3da050c71,RNA,UNIT_PROCESS,"This dataset represents the U.S. average airborne emissions for operating a gasoline powered passenger car. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.19091015831720387,0.000543504474183782,0.00011386738255678065,4.3014548328777486e-10,0.018804467987087486,2.300982777799281,0.18752841940483894,6.46000886521612e-05,5.924861251530782e-06,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4854: School and Employee Bus Transportation,"Transport, school bus, diesel powered, Southwest",f54c5355-f6cf-3a17-8564-d01fb359af48,RNA,UNIT_PROCESS,"This dataset represents the Southwestern U.S. (AZ, CO, NM, UT (Reference 10)) average airborne emissions for operating a diesel powered school bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.01478326292399361,0.00014507598480911643,1.5605819498331734e-05,3.442544129197113e-11,0.005092586210415236,0.1855668621672336,0.014620562897625089,4.972047766713485e-06,8.777019325174598e-08,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, East North Central",f10a3980-2f50-3f3c-be84-abb02ff0ba33,RNA,UNIT_PROCESS,"This dataset represents the East North Central U.S. (IA, MI, MN, WI (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.1270787468475836,0.00112281064815391,0.00012635411271995483,2.962858752285367e-10,0.03932368075375704,1.5970990670627923,0.12583892730728702,3.982646656620789e-05,4.632231980003536e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
56: Administrative and Support and Waste Management and Remediation Services/5621: Waste Collection,"Transport, refuse truck, diesel powered, Southeast",015667f8-18c8-3f3c-bcb9-903185af6f04,RNA,UNIT_PROCESS,"This dataset represents the Southeast U.S. (AL, FL, GA, NC, SC, VA (Reference 10)) average airborne emissions for operating a diesel powered refuse truck. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,t*km,0.13177481135439353,0.0010729030391707732,0.0001252408393879446,3.072277137821354e-10,0.0375790015400676,1.6560799419776857,0.1304919375197671,4.120339708064112e-05,4.799370638458886e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
42: Wholesale Trade/4247: Petroleum and Petroleum Products Merchant Wholesalers,"Asphalt binder, x% ground rubber tire (GRT), consumption mix, at terminal, from crude oil, x% ground rubber tire",78f5734a-b99e-4dd7-a05d-715ad4c55a7c,RNA,UNIT_PROCESS,"This inventory is based on the asphalt binder inventory in NAICS #4247, for varying percentages of GRT.
Tnis is based on the slopes in Figure 4.8, LCA for Asphalt Binder, by Sphera. Using slopes calculated by table provided by Sphera. 
When using this inventory only the following indicators are reliable:
TRACI 2.1: GWP and AP
CED: Sum of Non-renewable, fossil + Non-renewable, nuclear",1.0,kg,0.649026628578648,0.0018731657143464,1.0980719117854745e-05,0.0,0.0377,57.80407999817461,0.649026628578648,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
48-49: Transportation and Warehousing/4852: Interurban and Rural Bus Transportation,"Transport, intercity bus, diesel powered, Alaska",83fff53a-ffc2-3d4f-8141-69264f86b529,RNA,UNIT_PROCESS,"This dataset represents the Alaska average airborne emissions for operating a diesel powered intercity bus. The inventory includes all vehicle operation processes, including off-network and refueling activities.
The refinery-to-pump transportation and distribution data are calculated from Argonne National Laboratory's GREET 1.8d.1 model.
The vehicle operation data are calculated from EPA's MOVES2010a model, using the assumptions described in the corresponding detailed spreadsheet.  Emissions factors in MOVES2010a are largely based on EPA's Mobile Source Observation Database, which in turn includes data from a variety of vehicle studies (References 6-8).
MOVES2010a acknowledges sources of uncertainty in the model structure, the population and acitivty data, and other model parameters. As of July 2011, the uncertainty calculation function of the model has not been activated.",1.0,p*km,0.05019258908978592,0.0005447332573269619,5.629368695650844e-05,1.169247493815937e-10,0.019081682614417166,0.6302710448476628,0.04970583141161107,1.5706177094787824e-05,1.7443514012056513e-07,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,0,MJ
