LCA Stage,Process,Material,Qty,Unit,GWP,AP,EP,ODP,POCP,Fossil CO2,CH4,N2O,Biogenic CO2 Emission,Biogenic CO2 removal
C3,Recycle,Aluminum,1,kg,0.243,0.00065,0.000781,7.9E-09,0.00552,0,0,0,0,0
C3,Recycle,Steel,1,kg,0.0218,0.000165,0.000117,2.13E-09,0.00336,0,0,0,0,0
C3,Recycle,Drywall,1,kg,0.0218,0.000165,0.000117,2.13E-09,0.00336,0,0,0,0,0
C3,Recycle,Concrete,1,kg,0.00323,0.0000425,0.0000033,6.13E-12,0.00138,0,0,0,0,0
C3,Recycle,Polyethylene,1,kg,0.714,0.00162,0.00244,6.92E-09,0.0237,0,0,0,0,0
C3,Recycle,Polypropylene,1,kg,0.358,0.000996,0.00174,4.39E-09,0.0148,0,0,0,0,0
C3,Recycle,Wood,1,kg,0.00947,0.0000268,0.0000463,1.13E-10,0.000283,0.0877,0.00021,0.00000293,0.66,-1.17
C3,Compost,Wood,1,kg,0.00947,0.0000268,0.0000463,1.13E-10,0.000283,0.0877,0.00021,0.00000293,0.66,-1.17
C4,Incinerate,Polystyrene,1,kg,3.17,0.000326,0.00148,1.19E-09,0.0101,3.16,0.0000692,0.00000836,0,0
C4,Incinerate,Polyethylene,1,kg,3,0.00031,0.0014,1.14E-09,0.00957,2.99,0.0000682,0.00000565,0,0
C4,Incinerate,Polypropylene,1,kg,2.54,0.000303,0.00118,1.07E-09,0.00938,2.53,0.0000654,0.00000479,0,0
C4,Incinerate,Polyvinylchloride,1,kg,2.33,0.00307,0.00231,4.63E-08,0.0408,2.25,0.00252,0.0000244,0,0
C4,Incinerate,Unspecified Plastics,1,kg,2.35,0.000537,0.00121,3.01E-09,0.0146,2.34,0.000175,0.0000267,0,0
C4,Incinerate,Wood,1,kg,0.0127,0.000291,0.00073,8.43E-10,0.00919,0.00998,0.00005,0.000135,0.5,0
C4,Landfill,Aluminum,1,kg,0.0279,0.00021,0.0000374,5.11E-09,0.00355,0.026,0.0000927,0.000000558,0,0
C4,Landfill,Steel,1,kg,0.0134,0.0000917,0.0000266,4.08E-09,0.00252,0.0164,0.0000673,0.000000225,0,0
C4,Landfill,Drywall,1,kg,0.0152,0.0249,0.000018,4.21E-09,0.00265,0.014,0.0000446,0.000000321,0,0
C4,Landfill,Concrete,1,kg,0.00741,0.0000537,0.00000773,2.82E-09,0.00153,0.00682,0.0000212,0.000000157,0,0
C4,Landfill,Inert,1,kg,0.0134,0.0000917,0.0000266,4.08E-09,0.00252,0.0123,0.0000376,0.000000287,0,0
C4,Landfill,Paint,1,kg,0.0915,0.0000954,0.0112,1.59E-09,0.00259,0.0284,0.00252,0.000000368,0,0
C4,Landfill,Polyurethane,1,kg,0.0973,0.000131,0.0317,4.28E-09,0.00307,0.0331,0.00252,0.00000418,0,0
C4,Landfill,Polystyrene,1,kg,0.119,0.0000945,0.0156,4.09E-09,0.00259,0.035,0.00337,0.000000413,0,0
C4,Landfill,Polyethylene,1,kg,0.114,0.0000939,0.0146,4.09E-09,0.00258,0.0338,0.0032,0.000000372,0,0
C4,Landfill,Polypropylene,1,kg,0.0981,0.0000935,0.0123,4.09E-09,0.00257,0.0305,0.0027,0.000000359,0,0
C4,Landfill,Polyvinylchloride,1,kg,0.0672,0.000246,0.00793,4.09E-09,0.00256,0.0238,0.00173,0.000000356,0,0
C4,Landfill,Unspecified Plastics,1,kg,0.0913,0.000103,0.013,4.1E-09,0.00261,0.0292,0.00247,0.000000679,0,0
C4,Landfill,Wood,1,kg,0.16,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.0066,0.000000383,-0.202,-1.61
C4,Landfill,Bamboo,1,kg,0.16,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.0066,0.000000383,-0.202,-1.61
C4,Landfill,Agricultural Residues- Low Lignin,1,kg,3.08,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.138,0.000000383,-0.38,-0.875
C4,Landfill,Agricultural Residues- High Lignin,1,kg,1.15,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.051,0.000000383,-0.118,-1.43
C4,Landfill,Cellulose,1,kg,1.17,0.000143,0.00639,4.16E-09,0.00266,0.0139,0.052,0.00000101,-0.144,-1.51
C4,Landfill,Fungi,1,kg,5.95,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.267,0.000000383,-0.755,-0.287
D,Compost,Wood,1,kg,0.0777,0.000428,0.000255,3.3E-09,0.00369,0.0172,0.000215,0.00000226,1.67,-0.16
D,Recycle,Wood,1,kg,0.476,0.00261,0.00509,2.71E-09,0.0286,0.512,0.00303,0.00000891,0.66,-1.17
C4,Landfill,DEFAULT_BIOBASED,1,kg,0.16,0.0000934,0.00723,4.09E-09,0.00254,0.0125,0.0066,0.000000383,-0.202,-1.61
C4,Landfill,DEFAULT_OTHER,1,kg,0.0134,0.0000917,0.0000266,4.08E-09,0.00252,0.0123,0.0000376,0.000000287,0,0
