Process,Material,LCA Stage,Qty,Unit,GWP-fossil,AP,EP,ODP,POCP,NREF,CO2-fossil,CH4-fossil,N2O,Bio-based,% stored bioC emitted as CO2,% stored bioC emitted as CH4,Biogenic C temporal emission profile,Mineral C potential,EOL particle diameter max.,EOL exposure,Mineral C temporal emission profile
Incinerate,"Adhesives, sealants, and coatings",C3,1,kg,2.394682832,0.000179552,0.000413297,9.25643E-10,0.005852248,0.22121033,2.393095394,5.28267E-05,3.30719E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,"Adhesives, sealants, and coatings",C4,1,kg,0.099780508,3.95853E-05,0.011202763,5.98525E-10,0.001046272,0.264997111,0.027385931,0.002580555,4.26392E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Agricultural Residue (high lignin),C3,1,kg,0.06435052,0.000400689,0.000291147,1.28813E-09,0.010604203,0.486053835,0.060122304,0.000138961,8.74813E-07,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Agricultural Residues (high lignin),C4,1,kg,0.069444552,0.000183474,3.65164E-05,2.87659E-09,0.009394423,1.063416914,0.066473868,8.79606E-05,1.21509E-06,TRUE,7%,8%,Exponential decay,FALSE,---,---,---
Incinerate,Agricultural Residues (low lignin),C3,1,kg,0.066604497,0.000407419,5.99897E-05,1.80539E-09,0.01085712,0.548689255,0.061815688,0.000157387,9.96886E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Agricultural Residues (low lignin),C4,1,kg,0.069444552,0.000183474,3.65164E-05,2.87659E-09,0.009394423,1.063416914,0.066473868,8.79606E-05,1.21509E-06,TRUE,23%,23%,Exponential decay,FALSE,---,---,---
Recycle,Aluminum,C3,1,kg,0.49554524,0.000222778,0.00053005,1.96287E-09,0.004621699,0.634059684,0.48310214,0.000248795,1.91083E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Aluminum,C4,1,kg,0.021686884,0.000128083,7.46728E-06,1.02441E-09,0.001834291,0.3676384,0.018539783,0.000104898,6.07969E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Aluminum,C3,1,kg,0.016284434,4.88711E-05,5.94378E-06,6.55732E-10,0.00125462,0.274484569,0.0138081,8.17347E-05,5.16002E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Asphalt,C4,1,kg,0.018771437,4.18516E-05,0.00084971,5.96743E-10,0.001046591,0.264898059,0.01166956,0.000248529,4.42043E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Asphalt sheet,C4,1,kg,0.123901724,9.24101E-05,0.015996143,6.11343E-10,0.001076295,0.265689828,0.032089878,0.00327104,7.38437E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Asphalt sheet,C3,1,kg,2.365357822,0.000643456,0.000456848,1.53086E-09,0.011969045,0.535122148,2.348026361,0.000131491,5.11447E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Cardboard,C3,1,kg,0.033725337,0.000234308,0.000311262,7.20896E-10,0.006917911,0.257628111,0.021625042,6.12443E-05,3.9098E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Cardboard,C4,1,kg,0.001088683,4.55937E-06,0.112736733,4.07685E-11,0.0001309,0.014550642,0.000955866,4.14395E-06,4.81734E-08,TRUE,23%,22%,Exponential decay,FALSE,---,---,---
Recycle,Carpet,C3,1,kg,2.975289498,0.006101121,0.000526647,5.55829E-08,0.140078397,46.15123415,2.773628619,0.00686108,3.17298E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Carpet,C3,1,kg,0.9976,0.001700424,0.000106162,0,0.038954499,0,0.9976,0,0,FALSE,---,---,---,FALSE,---,---,---
Landfill,Carpet,C4,1,kg,0.078223251,0.000215991,4.13283E-05,4.28855E-10,0.006898071,0.843072314,0.076239922,5.69879E-05,1.42283E-06,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Carpet padding,C3,1,kg,2.033087,0.12235949,0.007839086,0,3.289568619,0,1.460095,0.020464,0,FALSE,---,---,---,FALSE,---,---,---
Recycle,Carpet padding,C3,1,kg,0.512915735,0.001068136,0.000167006,2.53855E-08,0.024514825,8.590085272,0.463301676,0.001400047,3.61581E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Carpet padding,C4,1,kg,0.146573103,0.00041641,7.8742E-05,5.72454E-10,0.013292487,1.567316148,0.143224395,0.000111214,8.40861E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Cellulose,C3,1,kg,0.021611686,0.000167989,0.000269909,5.30448E-10,0.004848797,0.206629784,0.017391416,5.1059E-05,1.04434E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Cellulose,C4,1,kg,0.013415241,8.36614E-05,0.006374302,6.52868E-10,0.0011314,0.268781478,0.010833618,8.05111E-05,1.12162E-06,TRUE,8%,8%,Exponential decay,FALSE,---,---,---
Landfill,Cement,C4,1,kg,0.005631295,1.81577E-05,0.000315174,1.42456E-10,0.000548603,0.070988272,0.005005754,2.00934E-05,2.16735E-07,FALSE,---,---,---,TRUE,609.6,In ground,Square root
Recycle,Cement,C3,1,kg,0.005078999,1.50139E-05,1.36009E-06,1.82663E-10,0.000447488,0.062393896,0.004522856,1.76538E-05,2.04898E-07,FALSE,---,---,---,TRUE,50.8,In ground,Square root
Landfill,Cement-fiber slab,C4,1,kg,0.015374693,5.32246E-05,9.81219E-05,4.46578E-10,0.001513054,0.197662029,0.012231838,5.72247E-05,5.71295E-06,FALSE,---,---,---,TRUE,609.6,In ground,Square root
Incinerate,Cement-fiber slab,C3,1,kg,0.011642906,4.20535E-05,9.72166E-05,3.63042E-10,0.001169908,0.151298156,0.008904828,4.41222E-05,5.57448E-06,FALSE,---,---,---,TRUE,---,---,---
Recycle,Clay brick,C3,1,kg,0.004412893,1.31102E-05,1.20421E-06,1.67746E-10,0.000389429,0.054112576,0.003928968,1.53136E-05,1.8045E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Clay brick,C4,1,kg,0.012231146,3.73604E-05,6.13523E-06,1.6233E-10,0.00115705,0.134668872,0.011883087,1.1181E-05,1.1359E-07,FALSE,---,---,---,FALSE,---,---,---
Recycle,Concrete,C3,1,kg,0.004542618,1.35984E-05,1.10198E-06,1.01688E-10,0.000417704,0.056437714,0.004049892,1.59494E-05,1.68562E-07,FALSE,---,---,---,TRUE,50.8,In ground,Square root
Landfill,Concrete,C4,1,kg,0.059089064,0.000168631,3.10564E-05,3.6433E-10,0.008767291,0.631079978,0.057641091,4.75013E-05,4.09394E-07,FALSE,---,---,---,TRUE,609.6,In ground,Square root
Landfill,Concrete (reinforced),C4,1,kg,0.059089064,0.000168631,3.10564E-05,3.6433E-10,0.008767291,0.631079978,0.057641091,4.75013E-05,4.09394E-07,FALSE,---,---,---,TRUE,609.6,In ground,Square root
Recycle,Concrete (reinforced),C3,1,kg,0.006361745,1.90439E-05,1.54328E-06,1.4241E-10,0.000584976,0.079038629,0.005671703,2.23365E-05,2.36064E-07,FALSE,---,---,---,TRUE,50.8,In ground,Square root
Landfill,Slag (steel),C4,1,kg,0.010456889,3.11756E-05,0.000371198,5.97794E-10,0.000798047,0.276723721,0.007974471,8.50811E-05,3.07253E-07,FALSE,---,---,---,TRUE,---,---,---
Incinerate,Fiberboard,C3,1,kg,0.072627486,0.000150792,0.000274537,4.27776E-10,0.004932124,0.172995063,0.0670249,4.07521E-05,1.67865E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Fiberboard,C4,1,kg,0.078122809,4.02197E-05,0.007314574,6.03938E-10,0.001057746,0.265789433,0.010822058,0.002397695,5.24183E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Incinerate,Fiberglass insulation ,C3,1,kg,0.118890339,8.20071E-05,2.78467E-05,9.14845E-10,0.002228466,0.376784852,0.114538007,0.000110537,4.48718E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Fiberglass insulation,C4,1,kg,0.118656054,0.000197999,3.72043E-05,1.33596E-10,0.006603405,0.724549087,0.072580046,0.001642006,3.73511E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Flooring (cork),C3,1,kg,0.152328876,0.000241684,0.000316834,6.41984E-10,0.00802619,0.259901901,0.134829652,5.93737E-05,5.97011E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Flooring (cork),C4,1,kg,0.077653433,4.0009E-05,0.007213328,6.02415E-10,0.001054956,0.265181174,0.010555017,0.002390523,5.1874E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Incinerate,Flooring (laminate),C3,1,kg,0.265282316,0.000243448,0.000323721,6.67025E-10,0.008082065,0.262630037,0.247947222,6.0049E-05,5.90089E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Flooring (laminate),C4,1,kg,0.079530935,4.08519E-05,0.007618314,6.08508E-10,0.001066117,0.267614209,0.01162318,0.002419211,5.40515E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Flooring (synthetic resin),C3,1,kg,1.672880553,0.001322916,0.000758854,3.55584E-09,0.044376994,1.415730554,1.516546057,0.000319372,0.000555898,FALSE,---,---,---,FALSE,---,---,---
Landfill,Flooring (synthetic resin),C4,1,kg,0.016306085,4.20392E-05,0.002428679,5.96029E-10,0.001044988,0.264861388,0.011192196,0.000177689,4.25461E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Flooring (synthetic rubber),C3,1,kg,3.158439876,0.000385261,0.000548957,1.58497E-09,0.010710831,0.445694515,3.155001275,0.000108012,1.36028E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Flooring (synthetic rubber),C4,1,kg,0.115203464,5.68673E-05,0.015313052,7.24293E-10,0.001278168,0.31384188,0.031918263,0.002964293,9.54245E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Fungi,C3,1,kg,0.066604497,0.000407419,5.99897E-05,1.80539E-09,0.01085712,0.548689255,0.061815688,0.000157387,9.96886E-07,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Fungi,C4,1,kg,0.069444552,0.000183474,3.65164E-05,2.87659E-09,0.009394423,1.063416914,0.066473868,8.79606E-05,1.21509E-06,TRUE,42%,42%,Exponential decay,FALSE,---,---,---
Incinerate,Glass,C3,1,kg,0.021212397,6.46629E-05,7.8096E-06,8.80666E-10,0.001675389,0.367848764,0.017899985,0.000109279,6.93781E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Glass,C4,1,kg,0.024028358,0.000272654,2.71252E-05,5.11671E-11,0.009590295,0.28876438,0.023678055,7.62682E-06,5.14942E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Glass fiber reinforced polymer,C3,1,kg,2.11431115,0.000436323,0.000437177,1.61307E-09,0.013527041,0.559336394,2.088714746,0.000136238,8.19808E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Glass fiber reinforced polymer,C4,1,kg,0.009441057,1.93598E-05,1.67113E-06,1.76373E-10,0.000444491,0.146445058,0.008801156,2.17713E-05,1.00684E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Gravel,C4,1,kg,0.001088683,4.55937E-06,9.77016E-05,4.07685E-11,0.0001309,0.014550642,0.000955866,4.14395E-06,4.81734E-08,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Gypsum,C3,1,kg,0.021544921,7.09336E-05,2.04172E-05,8.70208E-10,0.001868816,0.362081082,0.017987682,0.000106983,1.86778E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Gypsum,C4,1,kg,0.074498615,0.02378285,0.000328324,6.61244E-10,0.00116605,0.277959317,0.01151334,0.002241808,6.98294E-07,FALSE,---,---,---,FALSE,---,---,---
Recycle,Gypsum,C3,1,kg,0.004589427,1.37489E-05,1.25399E-06,1.71691E-10,0.000409554,0.05629902,0.004086312,1.59317E-05,1.87328E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Gypsum,C4,1,kg,0.061944768,0.000174547,3.13387E-05,5.68924E-10,0.008801847,0.651091214,0.060268668,5.43208E-05,5.22658E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Gypsum board,C3,1,kg,0.022245646,8.04337E-05,3.74105E-05,8.61261E-10,0.002162397,0.355908728,0.018196285,0.000104293,4.01842E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Gypsum board,C4,1,kg,0.061944768,0.000174547,3.13387E-05,5.68924E-10,0.008801847,0.651091214,0.060268668,5.43208E-05,5.22658E-07,FALSE,---,---,---,FALSE,---,---,---
Recycle,Gypsum drywall,C3,1,kg,0.004589427,1.37489E-05,1.25399E-06,1.71691E-10,0.000409554,0.05629902,0.004086312,1.59317E-05,1.87328E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Gypsum drywall,C4,1,kg,0.061944768,0.000174547,3.13387E-05,5.68924E-10,0.008801847,0.651091214,0.060268668,5.43208E-05,5.22658E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Inert,C4,1,kg,0.024028358,0.000272654,2.71252E-05,5.11671E-11,0.009590295,0.28876438,0.023678055,7.62682E-06,5.14942E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Laminated wood board,C3,1,kg,0.239349865,0.000223617,0.000314086,6.18612E-10,0.007412634,0.243439956,0.224507752,5.59053E-05,5.0042E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Laminated wood board,C4,1,kg,0.079155435,4.06833E-05,0.007537317,6.0729E-10,0.001063884,0.267127602,0.011409547,0.002413474,5.3616E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Landfill,Limestone,C4,1,kg,0.001088683,4.55937E-06,0.001944613,4.07685E-11,0.0001309,0.014550642,0.000955866,4.14395E-06,4.81734E-08,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Mass timber,C3,1,kg,0.20045119,0.000193871,0.000299634,5.45994E-10,0.006408488,0.214654834,0.189348548,4.96899E-05,3.65916E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Mass timber,C4,1,kg,0.078592184,4.04305E-05,0.007415821,6.05461E-10,0.001060536,0.266397691,0.011089098,0.002404867,5.29627E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Incinerate,Medium density fiberboard,C3,1,kg,0.524606821,0.000441756,0.000420069,1.15115E-09,0.014776377,0.454530851,0.482341917,0.000101485,0.000148678,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Medium density fiberboard,C4,1,kg,0.083285938,4.25377E-05,0.008428286,6.20696E-10,0.001088438,0.27248028,0.013759504,0.002476589,5.84065E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Landfill,Mineral plaster,C4,1,kg,0.001088683,4.55937E-06,0.000314072,4.07685E-11,0.0001309,0.014550642,0.000955866,4.14395E-06,4.81734E-08,FALSE,---,---,---,TRUE,10,In ground,Square root
Recycle,Mineral plaster,C3,1,kg,0.000622527,1.72719E-06,2.82406E-07,8.29003E-11,3.96051E-05,0.007023145,0.000549746,2.00599E-06,3.96927E-08,FALSE,---,---,---,TRUE,8,In ground,Square root
Landfill,Mineral wool,C4,1,kg,0.001088683,4.55937E-06,0.004056361,4.07685E-11,0.0001309,0.014550642,0.000955866,4.14395E-06,4.81734E-08,FALSE,---,---,---,TRUE,10,In ground,Square root
Incinerate,Paint,C3,1,kg,2.394682832,0.000179552,0.000413297,9.25643E-10,0.005852248,0.221210331,2.393095394,5.28267E-05,3.30719E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Paint (emulsion),C4,1,kg,0.048732834,6.68093E-05,0.004613126,5.99027E-10,0.001049262,0.265411212,0.017513059,0.001110023,4.2671E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Paint,C4,1,kg,0.099780508,3.95853E-05,0.011202763,5.98525E-10,0.001046272,0.264997111,0.027385931,0.002580555,4.26392E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Paint (emulsion),C3,1,kg,1.112784271,0.000349968,0.000192428,6.09527E-09,0.007399063,0.865839333,1.104486832,0.000242832,5.02941E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Paper,C4,1,kg,1.189868423,0.000132248,0.007704891,9.08534E-10,0.00168882,0.283187759,0.011957228,0.042002407,6.77349E-06,TRUE,23%,22%,Exponential decay,FALSE,---,---,---
Incinerate,Paper (building waste),C3,1,kg,0.040298043,0.000262065,0.000309329,7.68715E-10,0.008122234,0.300924297,0.023316502,7.15004E-05,5.64274E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Incinerate,Paper (packaging),C3,1,kg,0.040298043,0.000262065,0.000309329,7.68715E-10,0.008122234,0.300924297,0.023316502,7.15004E-05,5.64274E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Incinerate,Paper (building waste),C3,1,kg,0.021611686,0.000167989,0.000269909,5.30448E-10,0.004848797,0.206629784,0.017391416,5.1059E-05,1.04434E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Incinerate,Paper (packaging),C3,1,kg,0.042374354,0.000272512,0.000313708,7.95192E-10,0.008485786,0.311402962,0.023974915,7.3772E-05,6.15366E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Incinerate,Particle board (3.5% melamine-formaldehyde resin),C3,1,kg,0.488618242,0.000357159,0.000382562,9.59215E-10,0.011875215,0.374557454,0.457832845,8.44734E-05,0.000107165,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Particle board (3.5% melamine-formaldehyde resin),C4,1,kg,0.082722687,4.22849E-05,0.008306791,6.18868E-10,0.00108509,0.271750369,0.013439055,0.002467982,5.77533E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Incinerate,Particle board (unspecified binder),C3,1,kg,0.394944568,0.000342602,0.000371895,9.09086E-10,0.011429221,0.358580444,0.365144569,8.07671E-05,0.000103843,TRUE,100%,0%,Pulse,FALSE,---,---,---
