zip_code,reeds_ba,cambium_gea
501,p128,NYISO
544,p128,NYISO
1001,p131,ISONE
1002,p131,ISONE
1003,p131,ISONE
1004,p131,ISONE
1005,p131,ISONE
1007,p131,ISONE
1008,p131,ISONE
1009,p131,ISONE
1010,p131,ISONE
1011,p131,ISONE
1012,p131,ISONE
1013,p131,ISONE
1014,p131,ISONE
1020,p131,ISONE
1021,p131,ISONE
1022,p131,ISONE
1026,p131,ISONE
1027,p131,ISONE
1028,p131,ISONE
1029,p131,ISONE
1030,p131,ISONE
1031,p131,ISONE
1032,p131,ISONE
1033,p131,ISONE
1034,p131,ISONE
1035,p131,ISONE
1036,p131,ISONE
1037,p131,ISONE
1038,p131,ISONE
1039,p131,ISONE
1040,p131,ISONE
1041,p131,ISONE
1050,p131,ISONE
1053,p131,ISONE
1054,p131,ISONE
1056,p131,ISONE
1057,p131,ISONE
1059,p131,ISONE
1060,p131,ISONE
1061,p131,ISONE
1062,p131,ISONE
1063,p131,ISONE
1066,p131,ISONE
1068,p131,ISONE
1069,p131,ISONE
1070,p131,ISONE
1071,p131,ISONE
1072,p131,ISONE
1073,p131,ISONE
1074,p131,ISONE
1075,p131,ISONE
1077,p131,ISONE
1079,p131,ISONE
1080,p131,ISONE
1081,p131,ISONE
1082,p131,ISONE
1083,p131,ISONE
1084,p131,ISONE
1085,p131,ISONE
1086,p131,ISONE
1088,p131,ISONE
1089,p131,ISONE
1090,p131,ISONE
1092,p131,ISONE
1093,p131,ISONE
1094,p131,ISONE
1095,p131,ISONE
1096,p131,ISONE
1097,p131,ISONE
1098,p131,ISONE
1101,p131,ISONE
1102,p131,ISONE
1103,p131,ISONE
1104,p131,ISONE
1105,p131,ISONE
1106,p131,ISONE
1107,p131,ISONE
1108,p131,ISONE
1109,p131,ISONE
1111,p131,ISONE
1115,p131,ISONE
1116,p131,ISONE
1118,p131,ISONE
1119,p131,ISONE
1128,p131,ISONE
1129,p131,ISONE
1138,p131,ISONE
1139,p131,ISONE
1144,p131,ISONE
1151,p131,ISONE
1152,p131,ISONE
1199,p131,ISONE
1201,p131,ISONE
1202,p131,ISONE
1203,p131,ISONE
1220,p131,ISONE
1222,p131,ISONE
1223,p131,ISONE
1224,p131,ISONE
1225,p131,ISONE
1226,p131,ISONE
1227,p131,ISONE
1229,p131,ISONE
1230,p131,ISONE
1235,p131,ISONE
1236,p131,ISONE
1237,p131,ISONE
1238,p131,ISONE
1240,p131,ISONE
1242,p131,ISONE
1243,p131,ISONE
1244,p131,ISONE
1245,p131,ISONE
1247,p131,ISONE
1252,p131,ISONE
1253,p131,ISONE
1254,p131,ISONE
1255,p131,ISONE
1256,p131,ISONE
1257,p131,ISONE
1258,p131,ISONE
1259,p131,ISONE
1260,p131,ISONE
1262,p131,ISONE
1263,p131,ISONE
1264,p131,ISONE
1266,p131,ISONE
1267,p131,ISONE
1270,p131,ISONE
1301,p131,ISONE
1302,p131,ISONE
1330,p131,ISONE
1331,p131,ISONE
1337,p131,ISONE
1338,p131,ISONE
1339,p131,ISONE
1340,p131,ISONE
1341,p131,ISONE
1342,p131,ISONE
1343,p131,ISONE
1344,p131,ISONE
1346,p131,ISONE
1347,p131,ISONE
1349,p131,ISONE
1350,p131,ISONE
1351,p131,ISONE
1354,p131,ISONE
1355,p131,ISONE
1360,p131,ISONE
1364,p131,ISONE
1366,p131,ISONE
1367,p131,ISONE
1368,p131,ISONE
1370,p131,ISONE
1373,p131,ISONE
1375,p131,ISONE
1376,p131,ISONE
1378,p131,ISONE
1379,p131,ISONE
1380,p131,ISONE
1420,p131,ISONE
1430,p131,ISONE
1431,p131,ISONE
1432,p131,ISONE
1434,p131,ISONE
1436,p131,ISONE
1438,p131,ISONE
1440,p131,ISONE
1441,p131,ISONE
1450,p131,ISONE
1451,p131,ISONE
1452,p131,ISONE
