ZIP,Climate Zone
501,4A
601,0A
602,1A
603,1A
604,1A
605,1A
606,0A
610,1A
611,0A
612,0A
613,0A
614,0A
616,0A
617,0A
622,0A
623,0A
624,0A
627,1A
631,1A
637,0A
638,0A
641,0A
646,0A
647,0A
650,0A
652,0A
653,0A
656,0A
659,0A
660,0A
662,1A
664,0A
667,0A
669,1A
670,1A
674,0A
676,1A
677,1A
678,1A
680,1A
681,1A
682,1A
683,0A
685,1A
687,0A
688,0A
690,1A
692,0A
693,0A
694,0A
698,0A
703,0A
704,0A
705,0A
707,0A
714,0A
715,0A
716,0A
717,0A
718,0A
719,0A
720,0A
721,0A
723,0A
725,0A
726,0A
727,0A
728,0A
729,0A
730,0A
731,0A
732,0A
733,0A
735,0A
736,0A
737,0A
738,0A
739,0A
740,0A
741,0A
742,0A
744,0A
745,0A
751,0A
754,0A
757,0A
765,0A
766,0A
767,0A
769,0A
771,0A
772,0A
773,0A
775,0A
777,0A
778,0A
780,0A
782,0A
783,0A
784,0A
785,0A
786,0A
791,0A
792,0A
794,0A
795,0A
801,
802,
803,
804,
820,
830,
831,
840,
850,
901,0A
902,0A
907,0A
908,0A
909,0A
910,0A
911,0A
912,0A
913,0A
914,0A
915,0A
916,0A
917,0A
918,0A
919,0A
920,0A
921,0A
922,0A
923,0A
924,0A
925,0A
926,0A
927,0A
928,0A
929,0A
931,0A
934,0A
935,0A
936,0A
937,0A
940,0A
949,0A
950,0A
951,0A
952,0A
953,0A
954,0A
956,0A
957,0A
958,0A
959,0A
960,0A
961,0A
962,0A
963,0A
965,0A
966,0A
968,0A
969,0A
970,0A
971,0A
975,0A
976,0A
977,0A
979,0A
981,0A
982,0A
983,0A
984,0A
985,0A
986,0A
987,0A
988,0A
1001,5A
1002,5A
1003,5A
1004,5A
1005,5A
1007,5A
1008,5A
1009,5A
1010,5A
1011,5A
1012,5A
1013,5A
1014,5A
1020,5A
1021,5A
1022,5A
1026,5A
1027,5A
1028,5A
1029,5A
1030,5A
1031,5A
1032,5A
1033,5A
1034,5A
1035,5A
1036,5A
1037,5A
1038,5A
1039,5A
1040,5A
1041,5A
1050,5A
1053,5A
1054,5A
1056,5A
1057,5A
1059,5A
1060,5A
1061,5A
1062,5A
1063,5A
1066,5A
1068,5A
1069,5A
1070,5A
1071,5A
1072,5A
1073,5A
1074,5A
1075,5A
1077,5A
1079,5A
1080,5A
1081,5A
1082,5A
1083,5A
1084,5A
1085,5A
1086,5A
1088,5A
1089,5A
1090,5A
1092,5A
1093,5A
1094,5A
1095,5A
1096,5A
1097,5A
1098,5A
1101,5A
1103,5A
1104,5A
1105,5A
1106,5A
1107,5A
1108,5A
1109,5A
1111,5A
1115,5A
1116,5A
1118,5A
1119,5A
1128,5A
1129,5A
1138,5A
1139,5A
1144,5A
1151,5A
1152,5A
1199,5A
1201,5A
1202,5A
1220,5A
1222,5A
1223,5A
1224,5A
1225,5A
1226,5A
1227,5A
1229,5A
1230,5A
1235,5A
1236,5A
1237,5A
1238,5A
1240,5A
1242,5A
1243,5A
1244,5A
1245,5A
1247,5A
1252,5A
1253,5A
1254,5A
1255,5A
1256,5A
1257,5A
1258,5A
1259,5A
1260,5A
1262,5A
1263,5A
1264,5A
1266,5A
1267,5A
1270,5A
1301,5A
1302,5A
1330,5A
1331,5A
1337,5A
1338,5A
1339,5A
1340,5A
1341,5A
1342,5A
1343,5A
1344,5A
1346,5A
1347,5A
1349,5A
1350,5A
1351,5A
1354,5A
1355,5A
1360,5A
1364,5A
1366,5A
1367,5A
1368,5A
1370,5A
1373,5A
1375,5A
1376,5A
1378,5A
1379,5A
1380,5A
1420,5A
1430,5A
1431,5A
1432,5A
1434,5A
1436,5A
1438,5A
1440,5A
1441,5A
1450,5A
1451,5A
1452,5A
1453,5A
1460,5A
1462,5A
1463,5A
1464,5A
1467,5A
1468,5A
1469,5A
1472,5A
1473,5A
1474,5A
1475,5A
1501,5A
1503,5A
1504,5A
1505,5A
1506,5A
1507,5A
1508,5A
1509,5A
1510,5A
1515,5A
1516,5A
1518,5A
1519,5A
1520,5A
1521,5A
1522,5A
1523,5A
1524,5A
1525,5A
1526,5A
1527,5A
1529,5A
1531,5A
1532,5A
1534,5A
1535,5A
1536,5A
1537,5A
1538,5A
1540,5A
1541,5A
1542,5A
1543,5A
1545,5A
1546,5A
1550,5A
1560,5A
1561,5A
1562,5A
1564,5A
1566,5A
1568,5A
1569,5A
1570,5A
1571,5A
1581,5A
1583,5A
1585,5A
1586,5A
1588,5A
1590,5A
1602,5A
1603,5A
1604,5A
1605,5A
1606,5A
1607,5A
1608,5A
1609,5A
1610,5A
1611,5A
1612,5A
1613,5A
1614,5A
1653,5A
1655,5A
1701,5A
1702,5A
1703,5A
1704,5A
1718,5A
1719,5A
1720,5A
1721,5A
1730,5A
1731,5A
1740,5A
1741,5A
1742,5A
1745,5A
1746,5A
1747,5A
1748,5A
1749,5A
1752,5A
1754,5A
1756,5A
1757,5A
1760,5A
1770,5A
1772,5A
1773,5A
1775,5A
1776,5A
1778,5A
1784,5A
1801,5A
1803,5A
1805,5A
1810,5A
1812,5A
1821,5A
1822,5A
1824,5A
1826,5A
1827,5A
1830,5A
1831,5A
1832,5A
1833,5A
1834,5A
1835,5A
1840,5A
1841,5A
1842,5A
1843,5A
1844,5A
1845,5A
1850,5A
1851,5A
1852,5A
1853,5A
1854,5A
1860,5A
1862,5A
1863,5A
1864,5A
1865,5A
1866,5A
1867,5A
1876,5A
1879,5A
1880,5A
1885,5A
1886,5A
1887,5A
1888,5A
1889,5A
1890,5A
1899,5A
1901,5A
1902,5A
1903,5A
1904,5A
1905,5A
1906,5A
1907,5A
1908,5A
1910,5A
1913,5A
1915,5A
1921,5A
1922,5A
1923,5A
1929,5A
1930,5A
1931,5A
1936,5A
1937,5A
1938,5A
1940,5A
1944,5A
1945,5A
1949,5A
1950,5A
1951,5A
1952,5A
1960,5A
1961,5A
1965,5A
1966,5A
1969,5A
1970,5A
1971,5A
1982,5A
1983,5A
1984,5A
1985,5A
2018,5A
2019,5A
2020,5A
2021,5A
2025,5A
2026,5A
2027,5A
2030,5A
2032,5A
2035,5A
2038,5A
2041,5A
2043,5A
2044,5A
2045,5A
2047,5A
2048,5A
2050,5A
2051,5A
2052,5A
2053,5A
2054,5A
2056,5A
2059,5A
2060,5A
2061,5A
2062,5A
2065,5A
2066,5A
2067,5A
2070,5A
2071,5A
2072,5A
2081,5A
2090,5A
2093,5A
2108,5A
2109,5A
2110,5A
2111,5A
2112,5A
2113,5A
2114,5A
2115,5A
2116,5A
2117,5A
2118,5A
2119,5A
2120,5A
2121,5A
2122,5A
2123,5A
2124,5A
2125,5A
2126,5A
2127,5A
2128,5A
2129,5A
2130,5A
2131,5A
2132,5A
2133,5A
2134,5A
2135,5A
2136,5A
2137,5A
2138,5A
2139,5A
2140,5A
2141,5A
2142,5A
2143,5A
2144,5A
2145,5A
2148,5A
2149,5A
2150,5A
2151,5A
2152,5A
2155,5A
2163,5A
2169,5A
2170,5A
2171,5A
2176,5A
2180,5A
2184,5A
2185,5A
2186,5A
2188,5A
2189,5A
2190,5A
2191,5A
2196,5A
2199,5A
2201,5A
2203,5A
2205,5A
2210,5A
2215,5A
2217,5A
2222,5A
2238,5A
2269,5A
2301,5A
2302,5A
2303,5A
2304,5A
2305,5A
2322,5A
2324,5A
2325,5A
2327,5A
2330,5A
2331,5A
2332,5A
2333,5A
2334,5A
2337,5A
2338,5A
2339,5A
2341,5A
2343,5A
2344,5A
2345,5A
2346,5A
2347,5A
2348,5A
2349,5A
2350,5A
2351,5A
2355,5A
2356,5A
2357,5A
2358,5A
2359,5A
2360,5A
2361,5A
2362,5A
2364,5A
2366,5A
2367,5A
2368,5A
2370,5A
2375,5A
2379,5A
2381,5A
2382,5A
2420,5A
2421,5A
2445,5A
2446,5A
2447,5A
2451,5A
2452,5A
2453,5A
2454,5A
2455,5A
2458,5A
2459,5A
2460,5A
2461,5A
2462,5A
2464,5A
2465,5A
2466,5A
2467,5A
2468,5A
2471,5A
2472,5A
2474,5A
2476,5A
2477,5A
2478,5A
2481,5A
2482,5A
2492,5A
2493,5A
2494,5A
2532,5A
2534,5A
2535,5A
2536,5A
2537,5A
2538,5A
2539,5A
2540,5A
2541,5A
2542,5A
2543,5A
2552,5A
2553,5A
2554,5A
2556,5A
2557,5A
2558,5A
2559,5A
2561,5A
2562,5A
2563,5A
2564,5A
2568,5A
2571,5A
2574,5A
2575,5A
2576,5A
2584,5A
2601,5A
2630,5A
2631,5A
2632,5A
2633,5A
2634,5A
2635,5A
2637,5A
2638,5A
2639,5A
2641,5A
2642,5A
2643,5A
2644,5A
2645,5A
2646,5A
2647,5A
2648,5A
2649,5A
2650,5A
2651,5A
2652,5A
2653,5A
2655,5A
2657,5A
2659,5A
2660,5A
2661,5A
2662,5A
2663,5A
2664,5A
2666,5A
2667,5A
2668,5A
2669,5A
2670,5A
2671,5A
2672,5A
2673,5A
2675,5A
2702,5A
2703,5A
2712,5A
2713,5A
2715,5A
2717,5A
2718,5A
2719,5A
2720,5A
2721,5A
2722,5A
2723,5A
2724,5A
2725,5A
2726,5A
2738,5A
2739,5A
2740,5A
2741,5A
2742,5A
2743,5A
2744,5A
2745,5A
2746,5A
2747,5A
2748,5A
2760,5A
2761,5A
2762,5A
2763,5A
2764,5A
2766,5A
2767,5A
2768,5A
2769,5A
2770,5A
2771,5A
2777,5A
2779,5A
2780,5A
2790,5A
2791,5A
2801,4A
2802,4A
2804,4A
2806,4A
2807,4A
2808,4A
2809,4A
2812,4A
2813,4A
2814,4A
2815,4A
2816,5A
2817,5A
2818,5A
2822,4A
2823,4A
2824,4A
2825,4A
2826,4A
2827,5A
2828,4A
2829,4A
2830,4A
2831,4A
2832,4A
2833,4A
2835,4A
2836,4A
2837,4A
2838,4A
2839,4A
2840,4A
2841,4A
2842,4A
2852,4A
2857,4A
2858,4A
2859,4A
2860,4A
2861,4A
2862,4A
2863,4A
2864,4A
2865,4A
2871,4A
2872,4A
2873,4A
2874,4A
2875,4A
2876,4A
2877,4A
2878,4A
2879,4A
2880,4A
2881,4A
2882,4A
2883,4A
2885,4A
2886,5A
2887,5A
2888,5A
2889,5A
2891,4A
2892,4A
2893,5A
2894,4A
2895,4A
2896,4A
2898,4A
2901,4A
2902,4A
2903,4A
2904,4A
2905,4A
2906,4A
2907,4A
2908,4A
2909,4A
2910,4A
2911,4A
2912,4A
2914,4A
2915,4A
2916,4A
2917,4A
2918,4A
2919,4A
2920,4A
2921,4A
2940,4A
3031,5A
3032,5A
3033,5A
3034,5A
3036,5A
3037,5A
3038,5A
3041,5A
3042,5A
3043,5A
3044,5A
3045,5A
3046,5A
3047,5A
3048,5A
3049,5A
3051,5A
3052,5A
3053,5A
3054,5A
3055,5A
3057,5A
3060,5A
3061,5A
3062,5A
3063,5A
3064,5A
3070,5A
3071,5A
3073,5A
3076,5A
3077,5A
3079,5A
3082,5A
3084,5A
3086,5A
3087,5A
3101,5A
3102,5A
3103,5A
3104,5A
3105,5A
3106,5A
3108,5A
3109,5A
3110,5A
3111,5A
3215,6A
3216,5A
3217,6A
3218,6A
3220,6A
3221,5A
3222,6A
3223,6A
3224,5A
3225,6A
3226,6A
3227,6A
3229,5A
3230,5A
3231,5A
3233,5A
3234,5A
3235,5A
3237,6A
3238,6A
3240,6A
3241,6A
3242,5A
3243,5A
3244,5A
3245,6A
3246,6A
3249,6A
3251,6A
3252,6A
3253,6A
3254,6A
3255,5A
3256,6A
3257,5A
3258,5A
3259,6A
3260,5A
3261,5A
3262,6A
3263,5A
3264,6A
3266,6A
3268,5A
3269,6A
3272,5A
3273,5A
3275,5A
3276,6A
3278,5A
3279,6A
3280,6A
3281,5A
3282,6A
3284,6A
3285,6A
3287,5A
3289,6A
3290,5A
3291,5A
3299,6A
3301,5A
3302,5A
3303,5A
3304,5A
3305,5A
3307,5A
3431,5A
3435,5A
3440,5A
3441,5A
3442,5A
3443,5A
3444,5A
3445,5A
3446,5A
3447,5A
3448,5A
3449,5A
3450,5A
3451,5A
3452,5A
3455,5A
3456,5A
3457,5A
3458,5A
3461,5A
3462,5A
3464,5A
3465,5A
3466,5A
3467,5A
3468,5A
3469,5A
3470,5A
3561,6A
3570,6A
3574,6A
3575,6A
3576,6A
3579,6A
3580,6A
3581,6A
3582,6A
3583,6A
3584,6A
3585,6A
3586,6A
3588,6A
3589,6A
3590,6A
3592,6A
3593,6A
3595,6A
3597,6A
3598,6A
3601,6A
3602,5A
3603,6A
3604,5A
3605,6A
3607,6A
3608,5A
3609,5A
3740,6A
3741,6A
3743,6A
3745,6A
3746,6A
3748,6A
3749,6A
3750,6A
3751,6A
3752,6A
3753,6A
3754,6A
3755,6A
3756,6A
3765,6A
3766,6A
3768,6A
3769,6A
3770,6A
3771,6A
3773,6A
3774,6A
3777,6A
3779,6A
3780,6A
3781,6A
3782,6A
3784,6A
