State,State_Initial,ZIP
Alabama,AL,36101
Alaska,AK,99801
Arizona,AZ,85001
Arkansas,AR,72201
California,CA,94203
Colorado,CO,80201
Connecticut,CT,06101
Delaware,DE,19901
District of Columbia,DC,20001
Florida,FL,32301
Georgia,GA,30301
Hawaii,HI,96801
Idaho,ID,83702
Illinois,IL,62701
Indiana,IN,46204
Iowa,IA,50309
Kansas,KS,66612
Kentucky,KY,40601
Louisiana,LA,70802
Maine,ME,04330
Maryland,MD,21401
Massachusetts,MA,02133
Michigan,MI,48933
Minnesota,MN,55155
Mississippi,MS,39201
Missouri,MO,65101
Montana,MT,59620
Nebraska,NE,68508
Nevada,NV,89701
New Hampshire,NH,03301
New Jersey,NJ,08608
New Mexico,NM,87501
New York,NY,12207
North Carolina,NC,27601
North Dakota,ND,58505
Ohio,OH,43215
Oklahoma,OK,73105
Oregon,OR,97301
Pennsylvania,PA,17120
Rhode Island,RI,02903
South Carolina,SC,29201
South Dakota,SD,57501
Tennessee,TN,37243
Texas,TX,78701
Utah,UT,84103
Vermont,VT,05602
Virginia,VA,23219
Washington,WA,98504
West Virginia,WV,25305
Wisconsin,WI,53703
Wyoming,WY,82002
