USZIP,County,City,State,State_Code
71486,Sabine Parish,Zwolle,Louisiana,LA
52079,Jackson,Zwingle,Iowa,IA
59547,Blaine,Zurich,Montana,MT
23898,Isle of Wight,Zuni,Virginia,VA
87327,McKinley,Zuni,New mexico,NM
55992,Goodhue,Zumbrota,Minnesota,MN
59546,Phillips,Zortman,Montana,MT
33890,Hardee,Zolfo springs,Florida,FL
41397,Lee,Zoe,Kentucky,KY
44656,Tuscarawas,Zoarville,Ohio,OH
44697,Tuscarawas,Zoar,Ohio,OH
28790,Henderson,Zirconia,North carolina,NC
28698,Watauga,Zionville,North carolina,NC
18092,Lehigh,Zionsville,Pennsylvania,PA
46077,Boone,Zionsville,Indiana,IN
17985,Schuylkill,Zion grove,Pennsylvania,PA
60099,Lake,Zion,Illinois,IL
72556,Izard,Zion,Arkansas,AR
55398,Sherburne,Zimmerman,Minnesota,MN
98953,Yakima,Zillah,Washington,WA
97049,Clackamas,Zigzag,Oregon,OR
19492,Montgomery,Zieglersville,Pennsylvania,PA
87053,Sandoval,Zia pueblo,New mexico,NM
33540,Pasco,Zephyrhills,Florida,FL
33541,Pasco,Zephyrhills,Florida,FL
33544,Pasco,Zephyrhills,Florida,FL
89448,Douglas,Zephyr cove,Nevada,NV
76890,Brown,Zephyr,Texas,TX
95595,Trinity,Zenia,California,CA
53195,Walworth,Zenda,Wisconsin,WI
67159,Kingman,Zenda,Kansas,KS
32798,Orange,Zellwood,Florida,FL
16063,Butler,Zelienople,Pennsylvania,PA
62999,Franklin,Zeigler,Illinois,IL
49464,Ottawa,Zeeland,Michigan,MI
58581,McIntosh,Zeeland,North dakota,ND
27597,Wake,Zebulon,North carolina,NC
30295,Pike,Zebulon,Georgia,GA
50278,Story,Zearing,Iowa,IA
99546,Aleutians West Census Area,Zcta 99546,Alaska,AK
99353,Benton,Zcta 99353,Washington,WA
99349,Grant,Zcta 99349,Washington,WA
99338,Benton,Zcta 99338,Washington,WA
98683,Clark,Zcta 98683,Washington,WA
98375,Pierce,Zcta 98375,Washington,WA
98367,Kitsap,Zcta 98367,Washington,WA
98363,Clallam,Zcta 98363,Washington,WA
98296,Snohomish,Zcta 98296,Washington,WA
98274,Skagit,Zcta 98274,Washington,WA
98092,King,Zcta 98092,Washington,WA
98029,King,Zcta 98029,Washington,WA
97408,Lane,Zcta 97408,Oregon,OR
97008,Washington,Zcta 97008,Oregon,OR
96737,Hawaii,Zcta 96737,Hawaii,HI
95519,Humboldt,Zcta 95519,California,CA
95033,Santa Cruz,Zcta 95033,California,CA
93458,Santa Barbara,Zcta 93458,California,CA
92887,Orange,Zcta 92887,California,CA
92886,Orange,Zcta 92886,California,CA
92883,Riverside,Zcta 92883,California,CA
92882,Riverside,Zcta 92882,California,CA
92881,Riverside,Zcta 92881,California,CA
92880,Riverside,Zcta 92880,California,CA
92879,Riverside,Zcta 92879,California,CA
92870,Orange,Zcta 92870,California,CA
92869,Orange,Zcta 92869,California,CA
92868,Orange,Zcta 92868,California,CA
92867,Orange,Zcta 92867,California,CA
92866,Orange,Zcta 92866,California,CA
92865,Orange,Zcta 92865,California,CA
92861,Orange,Zcta 92861,California,CA
92860,Riverside,Zcta 92860,California,CA
92845,Orange,Zcta 92845,California,CA
92844,Orange,Zcta 92844,California,CA
92843,Orange,Zcta 92843,California,CA
92841,Orange,Zcta 92841,California,CA
92840,Orange,Zcta 92840,California,CA
92835,Orange,Zcta 92835,California,CA
92833,Orange,Zcta 92833,California,CA
92832,Orange,Zcta 92832,California,CA
92831,Orange,Zcta 92831,California,CA
92782,Orange,Zcta 92782,California,CA
92780,Orange,Zcta 92780,California,CA
92694,Orange,Zcta 92694,California,CA
92620,Orange,Zcta 92620,California,CA
92618,Orange,Zcta 92618,California,CA
92614,Orange,Zcta 92614,California,CA
92612,Orange,Zcta 92612,California,CA
92606,Orange,Zcta 92606,California,CA
92604,Orange,Zcta 92604,California,CA
92602,Orange,Zcta 92602,California,CA
92551,Riverside,Zcta 92551,California,CA
92313,San Bernardino,Zcta 92313,California,CA
92091,San Diego,Zcta 92091,California,CA
92078,San Diego,Zcta 92078,California,CA
91377,Ventura,Zcta 91377,California,CA
90275,Los Angeles,Zcta 90275,California,CA
89815,Elko,Zcta 89815,Nevada,NV
89156,Clark,Zcta 89156,Nevada,NV
89149,Clark,Zcta 89149,Nevada,NV
89148,Clark,Zcta 89148,Nevada,NV
89147,Clark,Zcta 89147,Nevada,NV
89146,Clark,Zcta 89146,Nevada,NV
89145,Clark,Zcta 89145,Nevada,NV
89144,Clark,Zcta 89144,Nevada,NV
89143,Clark,Zcta 89143,Nevada,NV
89142,Clark,Zcta 89142,Nevada,NV
89141,Clark,Zcta 89141,Nevada,NV
89052,Clark,Zcta 89052,Nevada,NV
89048,Nye,Zcta 89048,Nevada,NV
89027,Clark,Zcta 89027,Nevada,NV
88242,Lea,Zcta 88242,New mexico,NM
86305,Yavapai,Zcta 86305,Arizona,AZ
85739,Pima,Zcta 85739,Arizona,AZ
85650,Cochise,Zcta 85650,Arizona,AZ
85379,Maricopa,Zcta 85379,Arizona,AZ
85087,Maricopa,Zcta 85087,Arizona,AZ
84790,Washington,Zcta 84790,Utah,UT
84341,Cache,Zcta 84341,Utah,UT
84098,Summit,Zcta 84098,Utah,UT
84097,Utah,Zcta 84097,Utah,UT
83713,Ada,Zcta 83713,Idaho,ID
83607,Canyon,Zcta 83607,Idaho,ID
82072,Albany,Zcta 82072,Wyoming,WY
80528,Larimer,Zcta 80528,Colorado,CO
80260,Adams,Zcta 80260,Colorado,CO
80246,Denver,Zcta 80246,Colorado,CO
80138,Douglas,Zcta 80138,Colorado,CO
80128,Jefferson,Zcta 80128,Colorado,CO
80007,Jefferson,Zcta 80007,Colorado,CO
78657,Llano,Zcta 78657,Texas,TX
78046,Webb,Zcta 78046,Texas,TX
78045,Webb,Zcta 78045,Texas,TX
78015,Bexar,Zcta 78015,Texas,TX
77657,Hardin,Zcta 77657,Texas,TX
77354,Montgomery,Zcta 77354,Texas,TX
77320,Walker,Zcta 77320,Texas,TX
77318,Montgomery,Zcta 77318,Texas,TX
77316,Montgomery,Zcta 77316,Texas,TX
77306,Montgomery,Zcta 77306,Texas,TX
76802,Brown,Zcta 76802,Texas,TX
76549,Bell,Zcta 76549,Texas,TX
76548,Bell,Zcta 76548,Texas,TX
76088,Parker,Zcta 76088,Texas,TX
76002,Tarrant,Zcta 76002,Texas,TX
76001,Tarrant,Zcta 76001,Texas,TX
75672,Harrison,Zcta 75672,Texas,TX
75654,Rusk,Zcta 75654,Texas,TX
75167,Ellis,Zcta 75167,Texas,TX
