origin_state,distance (km),eol_pathway
AK,11,Compost
AK,65,Compost
AK,3050,Incinerate
AK,3109,Incinerate
AK,4057,Incinerate
AK,18,Landfill
AK,243,Landfill
AK,303,Landfill
AK,11,Recycle
AK,11,Recycle
AK,13,Recycle
AK,21,Recycle
AK,23,Recycle
AK,26,Recycle
AK,44,Recycle
AK,46,Recycle
AK,49,Recycle
AK,50,Recycle
AK,55,Recycle
AK,57,Recycle
AK,58,Recycle
AK,70,Recycle
AK,116,Recycle
AK,120,Recycle
AK,141,Recycle
AK,141,Recycle
AL,224,Compost
AL,224,Compost
AL,346,Compost
AL,346,Compost
AL,385,Compost
AL,385,Compost
AL,16,Incinerate
AL,16,Incinerate
AL,573,Incinerate
AL,573,Incinerate
AL,609,Incinerate
AL,609,Incinerate
AL,13,Landfill
AL,13,Landfill
AL,14,Landfill
AL,14,Landfill
AL,16,Landfill
AL,16,Landfill
AL,2,Recycle
AL,2,Recycle
AL,2,Recycle
AL,2,Recycle
AL,13,Recycle
AL,13,Recycle
AL,13,Recycle
AL,19,Recycle
AL,19,Recycle
AL,20,Recycle
AL,24,Recycle
AL,25,Recycle
AL,26,Recycle
AL,36,Recycle
AL,36,Recycle
AL,39,Recycle
AL,39,Recycle
AL,44,Recycle
AL,49,Recycle
AL,49,Recycle
AL,55,Recycle
AL,55,Recycle
AL,60,Recycle
AL,60,Recycle
AL,84,Recycle
AL,84,Recycle
AL,105,Recycle
AL,105,Recycle
AL,107,Recycle
AL,107,Recycle
AL,114,Recycle
AL,114,Recycle
AL,119,Recycle
AL,119,Recycle
AL,120,Recycle
AL,127,Recycle
AL,133,Recycle
AL,133,Recycle
AL,133,Recycle
AL,133,Recycle
AL,138,Recycle
AL,142,Recycle
AL,142,Recycle
AL,142,Recycle
AL,144,Recycle
AL,144,Recycle
AL,146,Recycle
AL,146,Recycle
AL,148,Recycle
AL,148,Recycle
AL,149,Recycle
AL,149,Recycle
AL,150,Recycle
AL,150,Recycle
AL,151,Recycle
AL,151,Recycle
AL,154,Recycle
AL,158,Recycle
AL,158,Recycle
AL,158,Recycle
AL,158,Recycle
AL,158,Recycle
AL,158,Recycle
AL,159,Recycle
AL,159,Recycle
AL,160,Recycle
AL,160,Recycle
AL,161,Recycle
AL,161,Recycle
AL,162,Recycle
AL,162,Recycle
AL,162,Recycle
AL,163,Recycle
AL,163,Recycle
AL,165,Recycle
AL,165,Recycle
AL,165,Recycle
AL,166,Recycle
AL,166,Recycle
AL,166,Recycle
AL,167,Recycle
AL,168,Recycle
AL,168,Recycle
AL,172,Recycle
AL,172,Recycle
AL,174,Recycle
AL,174,Recycle
AL,175,Recycle
AL,175,Recycle
AL,177,Recycle
AL,177,Recycle
AL,177,Recycle
AL,178,Recycle
AL,178,Recycle
AL,179,Recycle
AL,179,Recycle
AL,179,Recycle
AL,179,Recycle
AL,181,Recycle
AL,183,Recycle
AL,185,Recycle
AL,196,Recycle
AL,198,Recycle
AL,198,Recycle
AL,199,Recycle
AL,199,Recycle
AL,201,Recycle
AL,201,Recycle
AL,203,Recycle
AL,204,Recycle
AL,217,Recycle
AL,218,Recycle
AL,222,Recycle
AL,226,Recycle
AL,227,Recycle
AL,228,Recycle
AL,228,Recycle
AL,229,Recycle
AL,229,Recycle
AL,230,Recycle
AL,234,Recycle
AL,234,Recycle
AL,235,Recycle
AL,235,Recycle
AL,236,Recycle
AL,241,Recycle
