Assembly,Material,Weight,unit,RSL Category
Column foundation,"Normalweight concrete, 4000 psi",668697,kg,substructure
Column foundation,"Steel, reinforcing rod",74893,kg,substructure
Wall foundation,"Normalweight concrete, 4000 psi",1905120,kg,substructure
Wall foundation,"Steel, reinforcing rod",213370,kg,substructure
Slab on grade,"Normalweight concrete, 4000 psi",535815,kg,substructure
Slab on grade,"Steel, welded wire mesh",3601,kg,superstructure
Elevated slabs,"Lightweight concrete, 5000 psi",2551980,kg,superstructure
Elevated slabs,"Steel decking, galvanized",132267,kg,superstructure
Elevated slabs,"Steel, welded wire mesh",17149,kg,superstructure
Structural framing: beams,"Steel, hot rolled structural steel",145303,kg,superstructure
Structural framing: girders,"Steel, hot rolled structural steel",65264,kg,superstructure
Structural columns,"Steel, hot rolled structural steel",116629,kg,superstructure
Structural walls,"Normalweight concrete, 6000 psi",1092652,kg,superstructure
Structural walls,"Steel, reinforcing rod",142771,kg,superstructure
